"Date_statistics","2022-07-08","2022-08-11","2022-08-15","diff21","diff32"
2020-01-01,4,NA,NA,NA,NA
2020-01-04,1,NA,NA,NA,NA
2020-01-06,1,NA,NA,NA,NA
2020-01-16,1,NA,NA,NA,NA
2020-01-20,2,NA,NA,NA,NA
2020-01-22,1,NA,NA,NA,NA
2020-01-24,2,NA,NA,NA,NA
2020-01-25,1,NA,NA,NA,NA
2020-01-26,2,NA,NA,NA,NA
2020-01-27,3,NA,NA,NA,NA
2020-01-29,1,NA,NA,NA,NA
2020-01-31,3,NA,NA,NA,NA
2020-02-01,3,NA,NA,NA,NA
2020-02-03,2,NA,NA,NA,NA
2020-02-06,2,NA,NA,NA,NA
2020-02-07,2,NA,NA,NA,NA
2020-02-10,5,NA,NA,NA,NA
2020-02-11,1,NA,NA,NA,NA
2020-02-12,2,NA,NA,NA,NA
2020-02-13,1,NA,NA,NA,NA
2020-02-14,4,NA,NA,NA,NA
2020-02-15,2,NA,NA,NA,NA
2020-02-16,3,NA,NA,NA,NA
2020-02-17,3,NA,NA,NA,NA
2020-02-18,1,NA,NA,NA,NA
2020-02-19,5,NA,NA,NA,NA
2020-02-20,9,NA,NA,NA,NA
2020-02-21,9,NA,NA,NA,NA
2020-02-22,5,NA,NA,NA,NA
2020-02-23,10,NA,NA,NA,NA
2020-02-24,22,NA,NA,NA,NA
2020-02-25,24,NA,NA,NA,NA
2020-02-26,34,NA,NA,NA,NA
2020-02-27,65,NA,NA,NA,NA
2020-02-28,70,NA,NA,NA,NA
2020-02-29,65,NA,NA,NA,NA
2020-03-01,134,NA,NA,NA,NA
2020-03-02,144,NA,NA,NA,NA
2020-03-03,128,NA,NA,NA,NA
2020-03-04,140,NA,NA,NA,NA
2020-03-05,166,NA,NA,NA,NA
2020-03-06,202,NA,NA,NA,NA
2020-03-07,239,NA,NA,NA,NA
2020-03-08,240,NA,NA,NA,NA
2020-03-09,449,NA,NA,NA,NA
2020-03-10,419,NA,NA,NA,NA
2020-03-11,526,NA,NA,NA,NA
2020-03-12,577,NA,NA,NA,NA
2020-03-13,678,NA,NA,NA,NA
2020-03-14,695,NA,NA,NA,NA
2020-03-15,759,NA,NA,NA,NA
2020-03-16,1057,NA,NA,NA,NA
2020-03-17,825,NA,NA,NA,NA
2020-03-18,865,NA,NA,NA,NA
2020-03-19,823,NA,NA,NA,NA
2020-03-20,1000,NA,NA,NA,NA
2020-03-21,874,NA,NA,NA,NA
2020-03-22,749,NA,NA,NA,NA
2020-03-23,1201,NA,NA,NA,NA
2020-03-24,969,NA,NA,NA,NA
2020-03-25,1030,NA,NA,NA,NA
2020-03-26,952,NA,NA,NA,NA
2020-03-27,1073,NA,NA,NA,NA
2020-03-28,866,NA,NA,NA,NA
2020-03-29,800,NA,NA,NA,NA
2020-03-30,1119,NA,NA,NA,NA
2020-03-31,855,NA,NA,NA,NA
2020-04-01,1120,NA,NA,NA,NA
2020-04-02,1027,NA,NA,NA,NA
2020-04-03,1053,NA,NA,NA,NA
2020-04-04,998,NA,NA,NA,NA
2020-04-05,788,NA,NA,NA,NA
2020-04-06,1152,NA,NA,NA,NA
2020-04-07,996,NA,NA,NA,NA
2020-04-08,1035,NA,NA,NA,NA
2020-04-09,886,NA,NA,NA,NA
2020-04-10,1015,NA,NA,NA,NA
2020-04-11,834,NA,NA,NA,NA
2020-04-12,735,NA,NA,NA,NA
2020-04-13,778,NA,NA,NA,NA
2020-04-14,755,NA,NA,NA,NA
2020-04-15,745,NA,NA,NA,NA
2020-04-16,710,NA,NA,NA,NA
2020-04-17,699,NA,NA,NA,NA
2020-04-18,604,NA,NA,NA,NA
2020-04-19,463,NA,NA,NA,NA
2020-04-20,652,NA,NA,NA,NA
2020-04-21,474,NA,NA,NA,NA
