new.infection,corrections.cases,net.infection,new.hospitals,corrections.hospitals,net.hospitals,new.deaths,corrections.deaths,net.deaths,date,positive_7daverage,positive_14d,growth_infections
89,-12,77,2,-2,0,3,0,3,2020-07-02,,,
80,-5,75,4,0,4,2,0,2,2020-07-03,,,
75,-14,61,1,0,1,6,0,6,2020-07-04,,,
76,-3,73,1,0,1,1,0,1,2020-07-05,,,
51,-15,36,0,0,0,1,0,1,2020-07-06,,,
45,-8,37,3,-1,2,4,0,4,2020-07-07,,,
66,-14,52,3,0,3,3,0,3,2020-07-08,69,,
64,-12,52,0,-2,-2,2,0,2,2020-07-09,65,,
81,-39,42,6,-5,1,1,-2,-1,2020-07-10,65,,
89,-8,81,4,-1,3,1,0,1,2020-07-11,67,,
102,-1,101,3,-1,2,0,0,0,2020-07-12,71,,
75,-4,71,2,-1,1,0,0,0,2020-07-13,75,,
97,-44,53,3,-5,-2,1,-3,-2,2020-07-14,82,,
117,-11,106,6,-1,5,1,0,1,2020-07-15,89,69,129
125,-26,99,3,-2,1,2,-1,1,2020-07-16,98,65,150.8
115,-12,103,1,-5,-4,2,-1,1,2020-07-17,103,65,158.5
152,-25,127,3,-2,1,1,-3,-2,2020-07-18,112,67,167.2
155,-11,144,3,0,3,0,0,0,2020-07-19,119,71,167.6
186,-1,185,2,0,2,0,0,0,2020-07-20,135,75,180
177,-14,163,2,0,2,1,-1,0,2020-07-21,147,82,179.3
176,-8,168,1,-1,0,3,0,3,2020-07-22,155,89,174.2
179,-16,163,3,0,3,0,0,0,2020-07-23,163,98,166.3
215,-24,191,3,-4,-1,0,0,0,2020-07-24,177,103,171.8
144,-7,137,3,-1,2,1,0,1,2020-07-25,176,112,157.1
234,-20,214,2,0,2,0,0,0,2020-07-26,187,119,157.1
210,-5,205,5,0,5,1,0,1,2020-07-27,191,135,141.5
223,0,223,6,0,6,4,0,4,2020-07-28,197,147,134
248,-1,247,3,0,3,2,0,2,2020-07-29,208,155,134.2
343,-1,342,5,0,5,0,0,0,2020-07-30,231,163,141.7
356,-18,338,8,-1,7,0,0,0,2020-07-31,251,177,141.8
439,-8,431,5,-2,3,1,0,1,2020-08-01,293,176,166.5
376,-10,366,6,0,6,1,0,1,2020-08-02,314,187,167.9
