"Date_statistics","2022-07-07","2022-07-08","2022-08-02","2022-08-04","diff21","diff32","diff43"
2020-01-31,1,1,NA,NA,0,NA,NA
2020-02-13,1,1,NA,NA,0,NA,NA
2020-02-20,2,2,NA,NA,0,NA,NA
2020-02-21,1,1,NA,NA,0,NA,NA
2020-02-23,1,1,NA,NA,0,NA,NA
2020-02-24,2,2,NA,NA,0,NA,NA
2020-02-25,4,4,NA,NA,0,NA,NA
2020-02-26,4,4,NA,NA,0,NA,NA
2020-02-27,7,7,NA,NA,0,NA,NA
2020-02-28,5,5,NA,NA,0,NA,NA
2020-02-29,5,5,NA,NA,0,NA,NA
2020-03-01,9,9,NA,NA,0,NA,NA
2020-03-02,13,13,NA,NA,0,NA,NA
2020-03-03,6,6,NA,NA,0,NA,NA
2020-03-04,12,12,NA,NA,0,NA,NA
2020-03-05,19,19,NA,NA,0,NA,NA
2020-03-06,29,29,NA,NA,0,NA,NA
2020-03-07,35,35,NA,NA,0,NA,NA
2020-03-08,24,24,NA,NA,0,NA,NA
2020-03-09,54,54,NA,NA,0,NA,NA
2020-03-10,50,50,NA,NA,0,NA,NA
2020-03-11,76,76,NA,NA,0,NA,NA
2020-03-12,80,80,NA,NA,0,NA,NA
2020-03-13,90,90,NA,NA,0,NA,NA
2020-03-14,89,89,NA,NA,0,NA,NA
2020-03-15,114,114,NA,NA,0,NA,NA
2020-03-16,155,155,NA,NA,0,NA,NA
2020-03-17,132,132,NA,NA,0,NA,NA
2020-03-18,148,148,NA,NA,0,NA,NA
2020-03-19,145,145,NA,NA,0,NA,NA
2020-03-20,167,167,NA,NA,0,NA,NA
2020-03-21,154,154,NA,NA,0,NA,NA
2020-03-22,141,141,NA,NA,0,NA,NA
2020-03-23,218,218,NA,NA,0,NA,NA
2020-03-24,182,182,NA,NA,0,NA,NA
2020-03-25,182,182,NA,NA,0,NA,NA
2020-03-26,182,182,NA,NA,0,NA,NA
2020-03-27,181,181,NA,NA,0,NA,NA
2020-03-28,152,152,NA,NA,0,NA,NA
2020-03-29,122,122,NA,NA,0,NA,NA
2020-03-30,172,172,NA,NA,0,NA,NA
2020-03-31,133,133,NA,NA,0,NA,NA
2020-04-01,161,161,NA,NA,0,NA,NA
2020-04-02,118,118,NA,NA,0,NA,NA
2020-04-03,148,148,NA,NA,0,NA,NA
2020-04-04,134,134,NA,NA,0,NA,NA
2020-04-05,97,97,NA,NA,0,NA,NA
2020-04-06,155,155,NA,NA,0,NA,NA
2020-04-07,138,138,NA,NA,0,NA,NA
2020-04-08,133,133,NA,NA,0,NA,NA
2020-04-09,114,114,NA,NA,0,NA,NA
2020-04-10,130,130,NA,NA,0,NA,NA
2020-04-11,81,81,NA,NA,0,NA,NA
2020-04-12,101,101,NA,NA,0,NA,NA
2020-04-13,67,67,NA,NA,0,NA,NA
2020-04-14,105,105,NA,NA,0,NA,NA
2020-04-15,83,83,NA,NA,0,NA,NA
2020-04-16,91,91,NA,NA,0,NA,NA
2020-04-17,68,68,NA,NA,0,NA,NA
2020-04-18,64,64,NA,NA,0,NA,NA
2020-04-19,51,51,NA,NA,0,NA,NA
2020-04-20,69,69,NA,NA,0,NA,NA
2020-04-21,62,62,NA,NA,0,NA,NA
2020-04-22,44,44,NA,NA,0,NA,NA
2020-04-23,39,39,NA,NA,0,NA,NA
