"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,3,1,1,8,"2020-04-21"
"<20",3,3,1,1,8,"2020-04-22"
"<20",3,3,1,1,8,"2020-04-23"
"<20",3,3,1,1,8,"2020-04-24"
"<20",3,3,1,1,8,"2020-04-25"
"<20",3,3,1,1,8,"2020-04-26"
"<20",4,4,1,1,10,"2020-04-27"
"<20",4,4,1,1,10,"2020-04-28"
"<20",3,3,1,1,8,"2020-04-29"
"<20",3,3,1,1,8,"2020-04-30"
"<20",4,2,1,1,8,"2020-05-01"
"<20",4,2,1,1,8,"2020-05-02"
"<20",4,3,1,1,9,"2020-05-03"
"<20",3,3,1,1,8,"2020-05-04"
"<20",3,3,1,1,8,"2020-05-05"
"<20",5,1,1,1,8,"2020-05-06"
"<20",5,1,1,1,8,"2020-05-07"
"<20",5,0,1,1,7,"2020-05-08"
"<20",5,0,1,1,7,"2020-05-09"
"<20",5,0,1,1,7,"2020-05-10"
"<20",5,1,1,1,8,"2020-05-11"
"<20",4,0,4,1,9,"2020-05-12"
"<20",4,0,4,1,9,"2020-05-13"
"<20",4,0,4,1,9,"2020-05-14"
"<20",2,1,6,1,10,"2020-05-15"
"<20",2,0,6,1,9,"2020-05-16"
"<20",2,0,6,1,9,"2020-05-17"
"<20",2,0,6,1,9,"2020-05-18"
"<20",3,0,5,1,9,"2020-05-19"
"<20",3,0,5,1,9,"2020-05-20"
"<20",3,0,6,1,10,"2020-05-21"
"<20",3,0,6,1,10,"2020-05-22"
"<20",3,0,6,1,10,"2020-05-23"
"<20",3,0,6,1,10,"2020-05-24"
"<20",2,0,7,1,10,"2020-05-25"
"<20",2,0,7,1,10,"2020-05-26"
"<20",1,0,8,1,10,"2020-05-27"
"<20",1,0,8,1,10,"2020-05-28"
"<20",1,1,8,1,11,"2020-05-29"
"<20",0,0,9,1,10,"2020-05-30"
"<20",0,0,9,1,10,"2020-05-31"
"<20",0,0,9,1,10,"2020-06-01"
"<20",0,0,9,1,10,"2020-06-02"
"<20",0,0,9,1,10,"2020-06-03"
"<20",0,0,9,1,10,"2020-06-04"
"<20",0,0,9,1,10,"2020-06-05"
"<20",0,0,9,1,10,"2020-06-06"
"<20",0,0,9,1,10,"2020-06-07"
"<20",0,0,9,1,10,"2020-06-08"
"<20",0,0,9,1,10,"2020-06-09"
"<20",0,0,9,1,10,"2020-06-10"
"<20",0,0,9,1,10,"2020-06-11"
"<20",0,0,9,1,10,"2020-06-12"
"<20",0,0,9,1,10,"2020-06-13"
"<20",0,0,9,1,10,"2020-06-14"
"<20",0,1,9,1,11,"2020-06-15"
"<20",0,1,9,1,11,"2020-06-16"
"<20",0,1,9,1,11,"2020-06-17"
"<20",0,1,9,1,11,"2020-06-18"
"<20",0,1,9,1,11,"2020-06-19"
"<20",0,0,9,1,10,"2020-06-20"
"<20",0,0,9,1,10,"2020-06-21"
"<20",0,0,9,1,10,"2020-06-22"
"<20",0,0,9,1,10,"2020-06-23"
"<20",0,0,10,1,11,"2020-06-24"
"<20",0,0,10,1,11,"2020-06-25"
"<20",0,0,10,1,11,"2020-06-27"
"<20",0,0,10,1,11,"2020-06-28"
"<20",0,1,10,1,12,"2020-06-29"
"<20",0,0,10,1,11,"2020-06-30"
"<20",0,0,10,1,11,"2020-07-01"
"<20",0,0,10,1,11,"2020-07-02"
"<20",0,0,10,1,11,"2020-07-03"
"<20",0,0,10,1,11,"2020-07-04"
"<20",0,0,10,1,11,"2020-07-07"
"<20",0,0,10,1,11,"2020-07-08"
"<20",0,0,10,1,11,"2020-07-13"
"<20",0,0,10,1,11,"2020-07-14"
"<20",0,0,10,1,11,"2020-07-18"
"<20",0,0,10,1,11,"2020-07-19"
"<20",0,0,10,1,11,"2020-07-20"
"<20",0,0,10,1,11,"2020-07-21"
"<20",0,0,10,1,11,"2020-07-22"
"<20",0,0,10,1,11,"2020-07-23"
"<20",0,0,10,1,11,"2020-07-24"
"<20",0,0,10,1,11,"2020-07-25"
"<20",0,0,10,1,11,"2020-07-26"
"<20",0,0,10,1,11,"2020-07-27"
"<20",0,0,10,1,11,"2020-07-28"
"<20",0,0,10,1,11,"2020-07-29"
"<20",0,0,9,1,10,"2020-07-30"
"<20",0,1,8,1,10,"2020-07-31"
"<20",0,1,8,1,10,"2020-08-01"
"<20",0,1,8,1,10,"2020-08-02"
"<20",0,1,8,1,10,"2020-08-03"
"<20",0,1,8,1,10,"2020-08-04"
"<20",0,1,8,1,10,"2020-08-05"
"<20",0,1,8,1,10,"2020-08-06"
"<20",0,1,8,1,10,"2020-08-07"
"<20",0,1,8,1,10,"2020-08-08"
"<20",0,1,8,1,10,"2020-08-09"
"<20",0,0,8,1,9,"2020-08-10"
"<20",0,0,8,1,9,"2020-08-11"
"<20",0,0,8,1,9,"2020-08-12"
"<20",0,0,8,1,9,"2020-08-13"
"<20",0,0,8,1,9,"2020-08-14"
"<20",0,0,8,1,9,"2020-08-15"
"<20",0,0,8,1,9,"2020-08-16"
"<20",0,0,7,1,8,"2020-08-17"
"<20",0,0,7,1,8,"2020-08-18"
"<20",0,0,7,1,8,"2020-08-19"
"<20",0,0,7,1,8,"2020-08-20"
"<20",0,0,7,1,8,"2020-08-21"
"<20",0,0,7,1,8,"2020-08-22"
"<20",0,0,7,1,8,"2020-08-23"
"<20",0,0,7,1,8,"2020-08-24"
"<20",0,0,7,1,8,"2020-08-25"
"<20",0,0,7,1,8,"2020-08-26"
"<20",0,0,7,1,8,"2020-08-27"
"<20",0,0,7,1,8,"2020-08-28"
"<20",0,0,7,1,8,"2020-08-31"
"<20",0,0,7,1,8,"2020-09-01"
"<20",0,0,7,1,8,"2020-09-02"
"<20",0,0,7,1,8,"2020-09-03"
"<20",0,0,7,1,8,"2020-09-04"
