"date","age_group","cases","ggd_code"
2021-10-04,"0-9",6,"GG4816"
2021-10-04,"10-19",11,"GG4816"
2021-10-04,"20-29",19,"GG4816"
2021-10-04,"30-39",9,"GG4816"
2021-10-04,"40-49",10,"GG4816"
2021-10-04,"50-59",9,"GG4816"
2021-10-04,"60-69",4,"GG4816"
2021-10-04,"70-79",1,"GG4816"
2021-10-04,"80-89",3,"GG4816"
2021-10-04,"90+",1,"GG4816"
2021-10-04,"0-9",11,"GG3406"
2021-10-04,"10-19",22,"GG3406"
2021-10-04,"20-29",36,"GG3406"
2021-10-04,"30-39",37,"GG3406"
2021-10-04,"40-49",26,"GG3406"
2021-10-04,"50-59",18,"GG3406"
2021-10-04,"60-69",12,"GG3406"
2021-10-04,"70-79",2,"GG3406"
2021-10-04,"0-9",7,"GG5608"
2021-10-04,"10-19",19,"GG5608"
2021-10-04,"20-29",12,"GG5608"
2021-10-04,"30-39",16,"GG5608"
2021-10-04,"40-49",7,"GG5608"
2021-10-04,"50-59",9,"GG5608"
2021-10-04,"60-69",2,"GG5608"
2021-10-04,"70-79",4,"GG5608"
2021-10-04,"80-89",2,"GG5608"
2021-10-04,"0-9",3,"GG0706"
2021-10-04,"10-19",13,"GG0706"
2021-10-04,"20-29",9,"GG0706"
2021-10-04,"30-39",7,"GG0706"
2021-10-04,"40-49",6,"GG0706"
2021-10-04,"50-59",6,"GG0706"
2021-10-04,"60-69",6,"GG0706"
2021-10-04,"70-79",5,"GG0706"
2021-10-04,"80-89",2,"GG0706"
2021-10-04,"0-9",6,"GG2209"
2021-10-04,"10-19",11,"GG2209"
2021-10-04,"20-29",13,"GG2209"
2021-10-04,"30-39",18,"GG2209"
2021-10-04,"40-49",12,"GG2209"
2021-10-04,"50-59",4,"GG2209"
2021-10-04,"60-69",5,"GG2209"
2021-10-04,"70-79",3,"GG2209"
2021-10-04,"80-89",1,"GG2209"
2021-10-04,"0-9",15,"GG7206"
2021-10-04,"10-19",27,"GG7206"
2021-10-04,"20-29",10,"GG7206"
2021-10-04,"30-39",12,"GG7206"
2021-10-04,"40-49",14,"GG7206"
2021-10-04,"50-59",11,"GG7206"
2021-10-04,"60-69",4,"GG7206"
2021-10-04,"70-79",5,"GG7206"
2021-10-04,"80-89",1,"GG7206"
2021-10-04,"0-9",5,"GG2014"
2021-10-04,"10-19",16,"GG2014"
2021-10-04,"20-29",16,"GG2014"
