"Datum","IC_Bedden_COVID_Nederland","IC_Bedden_COVID_Internationaal","IC_Bedden_Non_COVID_Nederland","Kliniek_Bedden_Nederland","IC_Nieuwe_Opnames_COVID_Nederland","Kliniek_Nieuwe_Opnames_COVID_Nederland"
"12-09-2022",29,0,581,448,2,53
"09-09-2022",31,0,629,386,4,45
"08-09-2022",29,0,655,397,4,46
"07-09-2022",28,0,643,415,3,43
"06-09-2022",27,0,615,442,2,60
"05-09-2022",29,0,526,420,3,54
"02-09-2022",30,0,628,420,3,37
"01-09-2022",33,0,589,438,4,40
"31-08-2022",28,0,609,461,3,43
"30-08-2022",31,0,608,480,5,45
"29-08-2022",30,0,583,491,1,49
"26-08-2022",34,0,627,521,3,58
"25-08-2022",30,0,613,522,1,62
"24-08-2022",32,0,638,527,2,66
"23-08-2022",41,0,591,539,2,50
"22-08-2022",43,0,549,566,6,64
"19-08-2022",43,0,625,602,3,72
"18-08-2022",40,0,617,638,2,70
"17-08-2022",44,0,604,646,5,74
"16-08-2022",42,0,595,657,4,93
"15-08-2022",44,0,591,642,3,75
"12-08-2022",43,0,590,636,5,78
"11-08-2022",36,0,601,654,7,80
"10-08-2022",33,0,601,704,4,71
"09-08-2022",41,0,594,750,1,86
"08-08-2022",48,0,534,775,7,84
"05-08-2022",40,0,578,836,7,112
"04-08-2022",35,0,617,831,3,114
"03-08-2022",43,0,598,839,4,94
"02-08-2022",44,0,583,837,6,118
"01-08-2022",41,0,566,851,3,90
"29-07-2022",42,0,611,895,4,95
"28-07-2022",42,0,606,975,7,116
"27-07-2022",40,0,612,1038,6,107
"26-07-2022",46,0,601,1046,5,158
"25-07-2022",48,0,578,1076,10,135
"22-07-2022",44,0,616,1069,13,148
"21-07-2022",38,0,651,1087,9,168
"20-07-2022",41,0,648,1108,7,152
"19-07-2022",44,0,645,1081,8,153
"18-07-2022",45,0,616,1062,7,130
"15-07-2022",46,0,644,959,3,123
"14-07-2022",48,0,680,1011,8,138
"13-07-2022",44,0,660,1000,4,155
"12-07-2022",47,0,659,961,9,175
"11-07-2022",44,0,611,926,6,144
"08-07-2022",35,0,671,811,3,115
"07-07-2022",35,0,691,827,3,119
"06-07-2022",42,0,676,801,1,86
"05-07-2022",45,0,657,822,11,144
"04-07-2022",39,0,623,789,7,124
"01-07-2022",41,0,638,717,3,107
"30-06-2022",36,0,643,694,5,109
"29-06-2022",39,0,654,675,4,75
"28-06-2022",35,0,666,692,8,117
"27-06-2022",37,0,629,648,5,92
"24-06-2022",27,0,666,566,2,96
"23-06-2022",25,0,674,563,3,84
