"","model","week","year","deaths_week_mid","deaths_week_low","deaths_week_high","deaths_low_cumsum","deaths_mid_cumsum","deaths_high_cumsum","weekyear"
"1","Dynamisch",10,2020,0,0,0,0,0,0,"2020-10"
"2","Dynamisch",11,2020,35,35,35,35,35,35,"2020-11"
"3","Dynamisch",12,2020,412,412,412,447,447,447,"2020-12"
"4","Dynamisch",13,2020,1250,1250,1250,1697,1697,1697,"2020-13"
"5","Dynamisch",14,2020,1921,1921,1921,3618,3618,3618,"2020-14"
"6","Dynamisch",15,2020,1977,1977,1977,5595,5595,5595,"2020-15"
"7","Dynamisch",16,2020,1469,1469,1469,7064,7064,7064,"2020-16"
"8","Dynamisch",17,2020,1095,1095,1095,8159,8159,8159,"2020-17"
"9","Dynamisch",18,2020,667,667,667,8826,8826,8826,"2020-18"
"10","Dynamisch",19,2020,435,435,435,9261,9261,9261,"2020-19"
"11","Dynamisch",20,2020,283,283,283,9544,9544,9544,"2020-20"
"12","Dynamisch",21,2020,217,217,217,9761,9761,9761,"2020-21"
"13","Dynamisch",22,2020,149,149,149,9910,9910,9910,"2020-22"
"14","Dynamisch",23,2020,107,107,107,10017,10017,10017,"2020-23"
"15","Dynamisch",24,2020,66,66,66,10083,10083,10083,"2020-24"
"16","Dynamisch",25,2020,49,49,49,10132,10132,10132,"2020-25"
"17","Dynamisch",26,2020,34,34,34,10166,10166,10166,"2020-26"
"18","Dynamisch",27,2020,32,32,32,10198,10198,10198,"2020-27"
"19","Dynamisch",28,2020,25,25,25,10223,10223,10223,"2020-28"
"20","Dynamisch",29,2020,8,8,8,10231,10231,10231,"2020-29"
"21","Dynamisch",30,2020,18,18,18,10249,10249,10249,"2020-30"
"22","Dynamisch",31,2020,22,22,22,10271,10271,10271,"2020-31"
"23","Dynamisch",32,2020,28,28,28,10299,10299,10299,"2020-32"
"24","Dynamisch",33,2020,52,52,52,10351,10351,10351,"2020-33"
"25","Dynamisch",34,2020,48,48,48,10399,10399,10399,"2020-34"
"26","Dynamisch",35,2020,31,31,31,10430,10430,10430,"2020-35"
"27","Dynamisch",36,2020,27,27,27,10457,10457,10457,"2020-36"
"28","Dynamisch",37,2020,32,32,32,10489,10489,10489,"2020-37"
"29","Dynamisch",38,2020,67,67,67,10556,10556,10556,"2020-38"
"30","Dynamisch",39,2020,139,139,139,10695,10695,10695,"2020-39"
"31","Dynamisch",40,2020,195,195,195,10890,10890,10890,"2020-40"
"32","Dynamisch",41,2020,269,269,269,11159,11159,11159,"2020-41"
"33","Dynamisch",42,2020,434,434,434,11593,11593,11593,"2020-42"
"34","Dynamisch",43,2020,643,643,643,12236,12236,12236,"2020-43"
"35","Dynamisch",44,2020,856,856,856,13092,13092,13092,"2020-44"
"36","Dynamisch",45,2020,894,894,894,13986,13986,13986,"2020-45"
"37","Dynamisch",46,2020,782,782,782,14768,14768,14768,"2020-46"
"38","Dynamisch",47,2020,668,668,668,15436,15436,15436,"2020-47"
"39","Dynamisch",48,2020,652,652,652,16088,16088,16088,"2020-48"
"40","Dynamisch",49,2020,614,614,614,16702,16702,16702,"2020-49"
"41","Dynamisch",50,2020,697,697,697,17399,17399,17399,"2020-50"
"42","Dynamisch",51,2020,942,942,942,18341,18341,18341,"2020-51"
"43","Dynamisch",52,2020,1124,1124,1124,19465,19465,19465,"2020-52"
"44","Dynamisch",53,2020,1189,1189,1189,20654,20654,20654,"2020-53"
"45","Dynamisch",1,2021,1144,1144,1144,21798,21798,21798,"2021-01"
"46","Dynamisch",2,2021,1025,1025,1025,22823,22823,22823,"2021-02"
"47","Dynamisch",3,2021,983,983,983,23806,23806,23806,"2021-03"
"48","Dynamisch",4,2021,820,820,820,24626,24626,24626,"2021-04"
"49","Dynamisch",5,2021,734,734,734,25360,25360,25360,"2021-05"
"50","Dynamisch",6,2021,689,689,689,26049,26049,26049,"2021-06"
"51","Dynamisch",7,2021,651,651,651,26700,26700,26700,"2021-07"
"52","Dynamisch",8,2021,502,502,502,27202,27202,27202,"2021-08"
"53","Dynamisch",9,2021,423,423,423,27625,27625,27625,"2021-09"
"54","Dynamisch",10,2021,384,384,384,28009,28009,28009,"2021-10"
"55","Dynamisch",11,2021,351,351,351,28360,28360,28360,"2021-11"
"56","Dynamisch",12,2021,335,335,335,28695,28695,28695,"2021-12"
"57","Dynamisch",13,2021,364,364,364,29059,29059,29059,"2021-13"
"58","Dynamisch",14,2021,330,330,330,29389,29389,29389,"2021-14"
"59","Dynamisch",15,2021,343,343,343,29732,29732,29732,"2021-15"
"60","Dynamisch",16,2021,302,302,302,30034,30034,30034,"2021-16"
"61","Dynamisch",17,2021,318,318,318,30352,30352,30352,"2021-17"
"62","Dynamisch",18,2021,280,280,280,30632,30632,30632,"2021-18"
"63","Dynamisch",19,2021,241,241,241,30873,30873,30873,"2021-19"
"64","Dynamisch",20,2021,190,190,190,31063,31063,31063,"2021-20"
"65","Dynamisch",21,2021,114,114,114,31177,31177,31177,"2021-21"
"66","Dynamisch",22,2021,116,116,116,31293,31293,31293,"2021-22"
"67","Dynamisch",23,2021,64,64,64,31357,31357,31357,"2021-23"
"68","Dynamisch",24,2021,51,51,51,31408,31408,31408,"2021-24"
"69","Dynamisch",25,2021,27,27,27,31435,31435,31435,"2021-25"
"70","Dynamisch",26,2021,22,22,22,31457,31457,31457,"2021-26"
"71","Dynamisch",27,2021,21,21,21,31478,31478,31478,"2021-27"
"72","Dynamisch",28,2021,19,19,19,31497,31497,31497,"2021-28"
"73","Dynamisch",29,2021,68,68,68,31565,31565,31565,"2021-29"
"74","Dynamisch",30,2021,72,72,72,31637,31637,31637,"2021-30"
