Jaar,Week,Groningen,Fryslan,Drenthe,Overijssel,Flevoland,Gelderland,Utrecht,Noord-Holland,Zuid-Holland,Zeeland,Noord-Brabant,Limburg
2020,1,-13.33,8.27,5.36,-10.57,-13.21,-5.87,5.61,-14.37,-7.48,-9.41,-5.98,10.76
2020,2,-0.82,4.44,-1.77,1.75,13.21,-5.83,-3.21,10.39,-2.03,-9.2,5.5,4.33
2020,3,-3.23,13.97,5.31,-8.62,1.89,-8.41,-5.48,-3.86,-6.81,3.41,-7.6,-16.67
2020,4,2.38,-12.95,-10.34,-14.47,-5.66,-12.06,-0.9,-14.53,-9.04,-15.56,-12.99,-4.58
2020,5,-8.73,-15.11,0.86,-3.85,11.32,-6.57,-15.49,-5.97,-10.66,0,-6.41,-3.35
2020,6,-3.15,-13.04,-1.72,-10.39,-7.84,0.94,6.19,-11.95,-8.71,1.1,-5.59,-8.46
2020,7,-28.91,-0.72,-16.52,-0.43,19.61,-5.87,-4.82,-3.28,-7.87,-1.1,-3.83,-12.77
2020,8,-2.4,-22.3,-17.54,-14.54,-25,-9.69,-12.72,-21.05,-10.16,-13.19,-8.25,-9.78
2020,9,-17.74,-6.47,-8.04,2.64,-1.92,-0.48,-11.11,-8.3,-13.13,-6.67,-4.45,-12.09
2020,10,1.61,-19.42,-16.07,-0.45,-17.31,-4.61,-10.31,-2.61,-9.76,-9.09,-3.93,-2.96
2020,11,-4.13,-10.87,-5.45,5.02,5.77,-2.23,-2.76,-5.74,-5.81,2.33,7.77,5.66
2020,12,4.2,4.44,-0.93,14.35,0,15.01,0.47,10.71,-3.28,10.59,45.59,29.57
2020,13,4.27,13.53,7.62,42.25,-6.25,46.77,34.3,35.41,12.16,4.82,105.51,96.39
2020,14,9.73,2.31,8.74,55.24,25.53,71.12,58.33,57.46,50.99,22.5,131.02,136.1
2020,15,-7.14,25.78,10.78,58.74,28.26,80.49,73.74,64.65,61.47,15.79,109.35,108.97
2020,16,6.36,11.2,15.84,40.8,62.22,44.88,39.29,42.6,55.61,26.67,63.55,82.17
2020,17,0,21.67,25,33.5,43.18,33.43,34.9,37.41,37.93,47.3,37.44,60.18
2020,18,-1.9,-2.5,14.29,17.68,41.86,17.8,20.83,19.45,29.27,-6.76,16,27.03
2020,19,-1.92,4.24,-5.1,-1.03,9.3,3.41,0,5.03,10.86,2.74,9.46,13.24
2020,20,-20.39,-8.55,-9.28,-4.15,9.52,-7.47,-7.98,3.68,3.55,8.22,-3.8,18.06
2020,21,-6.86,-14.91,-6.25,-4.21,11.9,4.64,3.8,-7.89,2.31,9.46,3.85,3.74
2020,22,-1.96,0,6.32,-8.95,7.32,0,0,-17.91,8.3,-12.16,0.24,12.74
2020,23,5.88,-20.18,3.16,4.23,7.32,4.12,2.2,-13.41,0.36,1.35,0,-8.02
2020,24,8.82,-3.48,3.13,-2.66,2.33,-2.34,-7.14,1.18,3.08,-20.27,-12.22,4.23
2020,25,-6.73,8.7,1.05,-5.88,23.81,3.57,-4.97,-6.62,7.83,-10.96,-7.33,-6.57
2020,26,0.96,0,-9.47,8.02,4.65,-1.51,2.78,-12.11,-2,12.5,-5.19,2.82
2020,27,-9.71,5.26,0,2.15,-11.36,-1.79,4.97,-11.61,-2.89,4.17,-6.17,1.4
2020,28,-0.96,-7.02,-14.58,-0.54,-4.55,-0.3,-9.34,-6.15,0.73,-11.27,-5.21,-3.26
2020,29,-15.38,-20.18,1.04,2.19,-20,-9.28,-11.41,-5.92,-3.07,8.45,-9.45,-12.96
2020,30,0.99,4.42,8.42,-5.46,-6.67,-2.99,0.55,-0.95,-0.72,-1.45,-5.5,0.94
2020,31,-15,-8.04,18.28,0,-11.36,-1.52,-6.67,-4.78,4.72,1.45,0.25,0
2020,32,-5,0,4.26,-3.31,2.27,-8.21,-10.44,1.91,-0.36,16.18,5.81,-14.15
2020,33,33.33,0.9,30.85,15.3,54.55,16.67,27.78,23.44,28.91,15.94,13.96,-0.96
2020,34,8.33,-1.79,-9.57,0,-6.98,15.38,2.23,10.1,16.51,4.35,-3.81,11
2020,35,7.29,2.7,8.51,0,20.93,2.75,5.03,0.72,-0.55,-2.9,3.53,4.81
2020,36,-2.06,0,4.26,-1.62,16.67,5.15,-3.37,-4.77,6.76,-1.45,-3.02,-3.81
2020,37,10.1,-1.79,20,6.99,19.05,2.11,9.94,5.23,3.64,-1.43,-10.97,-13.62
2020,38,10,-6.14,29.47,-0.53,34.88,2.1,-13.66,-0.47,2.89,2.86,-7.33,-10.7
2020,39,-3.96,3.48,6.32,0.53,11.36,11.01,-12.02,3.04,17.02,-12.5,3.88,-2.34
2020,40,-15.53,-4.31,26.88,20.63,22.22,10.91,2.13,7.64,8.23,0,4.76,9.13
2020,41,-14.42,17.95,0,5.76,30.43,4.07,-1.58,10.37,9.97,10.81,12.74,2.71
2020,42,4.81,4.17,10.64,-1.03,17.02,12.36,2.6,15.86,23.16,-16,19.44,13.39
2020,43,9.43,3.31,5.21,17.53,0,24.78,12.95,17.08,37.31,9.21,28.74,-3.13
2020,44,11.21,13.22,31.96,32.82,33.33,17.61,25.39,29.86,43.58,1.3,31.07,7.96
2020,45,9.26,7.44,22.45,31.63,27.66,19.83,23.98,20.9,37.61,-3.85,31.89,0.44
2020,46,-6.42,2.48,16.16,31.47,4.17,28.77,31.31,20.89,31.05,12.99,21.52,7.73
2020,47,-10,13.71,7.84,18.91,-6.25,9.62,13.64,8.06,26.45,2.56,8.2,5.98
2020,48,-15.18,12.9,7.69,14.29,22.92,6.5,11.27,8.84,16.37,21.52,18.42,22.03
2020,49,15.93,6.56,0.96,17.16,64.58,19.14,22.82,20.21,8.03,-10.26,22.39,17.65
2020,50,6.14,5.6,7.62,28.91,16,14.14,26.44,12.6,18,-15.19,29.74,4.56
