Week,date,cases_cumulative_healthcare,hospitalized_healthcare,deaths_healthcare,cases_cumulative_education,hospitalized_education,deaths_education
28,7/7/2020,17351,537,13,NA,NA,NA
29,14-7-2020,17408,537,13,NA,NA,NA
30,21-7-2020,17481,537,13,NA,NA,NA
31,28-7-2020,17590,538,13,NA,NA,NA
32,4/8/2020,17759,539,13,NA,NA,NA
33,11/8/2020,18046,539,13,NA,NA,NA
34,18-8-2020,18346,540,13,NA,NA,NA
35,25-8-2020,18632,541,13,NA,NA,NA
36,1/9/2020,18940,542,13,NA,NA,NA
37,8/9/2020,19372,542,13,NA,NA,NA
38,15-9-2020,20090,542,13,NA,NA,NA
39,22-9-2020,21256,547,13,NA,NA,NA
40,29-9-2020,23007,554,13,NA,NA,NA
41,6/10/2020,25607,562,13,NA,NA,NA
42,13-10-2020,29289,575,14,NA,NA,NA
43,20-10-2020,34367,588,14,NA,NA,NA
44,27-10-2020,40896,602,14,NA,NA,NA
45,3/11/2020,47755,620,15,NA,NA,NA
46,10/11/2020,53844,637,15,NA,NA,NA
47,17-11-2020,58424,654,15,NA,NA,NA
48,24-11-2020,62884,667,16,NA,NA,NA
49,1/12/2020,66942,678,16,NA,NA,NA
50,8/12/2020,71324,686,18,NA,NA,NA
51,15-12-2020,77986,698,18,NA,NA,NA
52,22-12-2020,87608,716,19,NA,NA,NA
53,29-12-2020,96042,729,21,NA,NA,NA
1,5/1/2021,103697,748,21,NA,NA,NA
2,12/1/2021,110438,766,22,NA,NA,NA
3,19-1-2021,116300,781,23,NA,NA,NA
4,26-1-2021,121572,804,24,NA,NA,NA
5,2/2/2021,125739,816,25,45016,249,8
6,9/2/2021,129150,828,25,45875,257,9
7,16-2-2021,132416,851,26,46870,261,9
8,23-2-2021,135299,865,26,48133,267,9
9,2/3/2021,138053,883,27,49554,272,9
10,9/3/2021,140540,896,28,50997,279,9
11,16-3-2021,143488,908,28,52961,284,9
12,23-3-2021,146741,917,30,55383,288,9
13,30-3-2021,150344,927,30,58084,297,9
14,6/4/2021,153653,936,30,60618,304,9
15,13-4-2021,157045,950,31,63025,316,9
16,20-4-2021,160505,958,31,65594,318,10
17,27-4-2021,164204,968,31,68460,323,10
18,4/5/2021,167443,977,31,70872,332,10
19,11/5/2021,170647,985,32,72929,340,10
20,18-5-2021,172880,994,32,74333,343,10
21,25-5-2021,174578,1001,32,75453,347,11
22,1/6/2021,175777,1006,32,76553,347,11
23,8/6/2021,176588,1008,32,77388,348,11
24,15-6-2021,177039,1010,32,77869,350,11
25,22-6-2021,177300,1015,32,78188,351,11
26,29-6-2021,177474,1016,32,78387,352,11
27,6/7/2021,177763,1016,32,78653,353,11
28,13-7-2021,179736,1016,32,80243,353,11
29,20-7-2021,182820,1017,32,82300,355,11
30,27-7-2021,184810,1021,32,83334,356,11
31,3/8/2021,185953,1027,32,83743,356,11
32,10/8/2021,186988,1030,32,84091,357,11
33,17-8-2021,187890,1033,32,84315,358,11
34,24-8-2021,188758,1036,32,84546,358,11
35,31-8-2021,189642,1039,32,84880,358,11
36,7/9/2021,190555,1043,32,85421,360,11
37,14-9-2021,191424,1043,33,86054,360,11
38,21-9-2021,192227,1047,33,86588,363,11
39,28-9-2021,192971,1048,33,87117,363,11
40,5/10/2021,193802,1049,33,87699,365,11
41,12/10/2021,195130,1050,33,88509,371,11
42,19-10-2021,197237,1053,33,89771,376,11
43,26-10-2021,200389,1059,33,91356,376,11
44,2/11/2021,204978,1062,33,93417,378,11
45,9/11/2021,210496,1066,33,96136,379,11
46,16-11-2021,215341,1067,33,98851,381,11
47,23-11-2021,220411,1068,33,101579,382,11
48,30-11-2021,225354,1071,33,104116,384,11
49,7/12/2021,230054,1077,33,106478,386,11
50,14-12-2021,234120,1082,33,108824,388,11
51,21-12-2021,237981,1084,33,111445,389,11
52,28-12-2021,241078,1088,33,113663,390,11
1,4/1/2022,244502,1090,33,115190,390,11
2,11/1/2022,247763,1091,34,116033,390,12
3,18/1/2022,250676,1093,34,117457,390,12
4,25/01/2022,253824,1094,34,119216,393,12
5,1/2/2022,258365,1095,34,121530,393,12
6,8/2/2022,263349,1097,34,123608,393,12
7,15/02/2022,268244,1098,34,125606,394,12
8,22/02/2022,273557,1098,34,128146,394,12
9,1/3/2022,278092,1099,34,130112,395,12
10,8/3/2022,283804,1101,34,131793,395,12
11,15/03/2022,289006,1102,34,133515,396,12
