"Eerste ziektedag";"Onbekend";"Na 4 augustus 2022";"Op 4 augustus 2022 of eerder"
"27-4-2022";0;0;1
"28-4-2022";0;0;0
"29-4-2022";0;0;0
"30-4-2022";0;0;1
"1-5-2022";0;0;1
"2-5-2022";0;0;1
"3-5-2022";0;0;0
"4-5-2022";0;0;0
"5-5-2022";0;0;0
"6-5-2022";0;0;0
"7-5-2022";0;0;0
"8-5-2022";0;0;0
"9-5-2022";0;0;0
"10-5-2022";0;0;0
"11-5-2022";0;0;0
"12-5-2022";0;0;1
"13-5-2022";0;0;0
"14-5-2022";0;0;1
"15-5-2022";0;0;2
"16-5-2022";0;0;6
"17-5-2022";0;0;4
"18-5-2022";0;0;3
"19-5-2022";0;0;1
"20-5-2022";0;0;5
"21-5-2022";0;0;7
"22-5-2022";0;0;1
"23-5-2022";0;0;0
"24-5-2022";0;0;2
"25-5-2022";0;0;6
"26-5-2022";0;0;2
"27-5-2022";1;0;3
"28-5-2022";0;0;8
"29-5-2022";0;0;8
"30-5-2022";0;0;4
"31-5-2022";0;0;3
"1-6-2022";0;0;5
"2-6-2022";0;0;5
"3-6-2022";0;0;10
"4-6-2022";0;0;4
"5-6-2022";0;0;9
"6-6-2022";0;0;7
"7-6-2022";0;0;9
"8-6-2022";0;0;11
"9-6-2022";0;0;14
"10-6-2022";0;0;6
"11-6-2022";0;0;5
"12-6-2022";0;0;18
"13-6-2022";0;0;12
"14-6-2022";0;0;15
"15-6-2022";0;0;9
"16-6-2022";0;0;11
"17-6-2022";0;0;14
"18-6-2022";0;0;16
"19-6-2022";0;0;13
"20-6-2022";0;0;32
"21-6-2022";0;0;18
"22-6-2022";0;0;22
"23-6-2022";0;0;15
"24-6-2022";0;0;14
"25-6-2022";0;0;22
"26-6-2022";0;0;12
"27-6-2022";0;0;20
"28-6-2022";0;0;15
"29-6-2022";0;0;25
"30-6-2022";0;0;24
"1-7-2022";0;0;24
"2-7-2022";0;0;16
"3-7-2022";0;0;17
"4-7-2022";0;0;22
"5-7-2022";0;0;19
"6-7-2022";0;0;26
"7-7-2022";0;0;26
"8-7-2022";0;0;30
"9-7-2022";0;0;20
"10-7-2022";0;0;25
"11-7-2022";0;0;24
"12-7-2022";0;0;19
"13-7-2022";0;0;21
"14-7-2022";0;0;19
"15-7-2022";0;0;23
"16-7-2022";0;0;17
"17-7-2022";0;0;12
"18-7-2022";0;0;19
"19-7-2022";0;0;14
"20-7-2022";0;0;14
"21-7-2022";0;0;9
"22-7-2022";0;0;12
"23-7-2022";0;0;10
"24-7-2022";0;0;10
"25-7-2022";0;1;20
"26-7-2022";0;0;10
"27-7-2022";0;0;6
"28-7-2022";0;2;9
"29-7-2022";0;2;4
"30-7-2022";0;2;6
"31-7-2022";0;1;5
"1-8-2022";0;6;6
"2-8-2022";0;4;4
"3-8-2022";0;2;0
"4-8-2022";0;0;0
"5-8-2022";0;1;0
"6-8-2022";0;0;0
"7-8-2022";0;1;0
