Eerste ziektedag,Onbekend,Na 4 juli 2022,Op 4 juli 2022 of eerder,Meldingsdatum,Infecties
27/04/2022,,0,1,14/07/2022,1
28/04/2022,,0,0,14/07/2022,0
29/04/2022,,0,0,14/07/2022,0
30/04/2022,,0,1,14/07/2022,1
01/05/2022,,0,1,14/07/2022,1
02/05/2022,,0,1,14/07/2022,1
03/05/2022,,0,0,14/07/2022,0
04/05/2022,,0,0,14/07/2022,0
05/05/2022,,0,0,14/07/2022,0
06/05/2022,,0,0,14/07/2022,0
07/05/2022,,0,0,14/07/2022,0
08/05/2022,,0,0,14/07/2022,0
09/05/2022,,0,0,14/07/2022,0
10/05/2022,,0,0,14/07/2022,0
11/05/2022,,0,0,14/07/2022,0
12/05/2022,,0,1,14/07/2022,1
13/05/2022,,0,0,14/07/2022,0
14/05/2022,,0,1,14/07/2022,1
15/05/2022,,0,2,14/07/2022,2
16/05/2022,,0,6,14/07/2022,6
17/05/2022,,0,4,14/07/2022,4
18/05/2022,,0,3,14/07/2022,3
19/05/2022,,0,1,14/07/2022,1
20/05/2022,,0,5,14/07/2022,5
21/05/2022,,0,5,14/07/2022,5
22/05/2022,,0,1,14/07/2022,1
23/05/2022,,0,1,14/07/2022,1
24/05/2022,,0,2,14/07/2022,2
25/05/2022,,0,6,14/07/2022,6
26/05/2022,,0,2,14/07/2022,2
27/05/2022,1,0,3,14/07/2022,4
28/05/2022,,0,8,14/07/2022,8
29/05/2022,,0,8,14/07/2022,8
30/05/2022,,0,4,14/07/2022,4
31/05/2022,,0,3,14/07/2022,3
01/06/2022,,0,5,14/07/2022,5
02/06/2022,,0,5,14/07/2022,5
03/06/2022,,0,9,14/07/2022,9
04/06/2022,,1,3,14/07/2022,4
05/06/2022,,0,9,14/07/2022,9
06/06/2022,,0,7,14/07/2022,7
07/06/2022,,0,9,14/07/2022,9
08/06/2022,,0,11,14/07/2022,11
09/06/2022,,0,13,14/07/2022,13
10/06/2022,,0,6,14/07/2022,6
11/06/2022,,0,4,14/07/2022,4
12/06/2022,,0,16,14/07/2022,16
13/06/2022,,0,12,14/07/2022,12
14/06/2022,,0,15,14/07/2022,15
15/06/2022,,0,9,14/07/2022,9
16/06/2022,,0,9,14/07/2022,9
17/06/2022,,0,16,14/07/2022,16
18/06/2022,,0,14,14/07/2022,14
19/06/2022,,0,12,14/07/2022,12
20/06/2022,,1,28,14/07/2022,29
21/06/2022,,0,14,14/07/2022,14
22/06/2022,,0,22,14/07/2022,22
23/06/2022,,0,10,14/07/2022,10
24/06/2022,,0,12,14/07/2022,12
25/06/2022,,2,16,14/07/2022,18
26/06/2022,,2,8,14/07/2022,10
27/06/2022,,0,14,14/07/2022,14
28/06/2022,,7,5,14/07/2022,12
29/06/2022,,15,11,14/07/2022,26
30/06/2022,,16,10,14/07/2022,26
01/07/2022,,13,5,14/07/2022,18
02/07/2022,,10,2,14/07/2022,12
03/07/2022,,7,1,14/07/2022,8
04/07/2022,,7,,14/07/2022,7
05/07/2022,,2,,14/07/2022,2
06/07/2022,,5,,14/07/2022,5
07/07/2022,,2,,14/07/2022,2
