Eerste ziektedag,Onbekend,na 11 juli,op 11 juli of eerder,Meldingsdatum,Infecties
27/04/2022,,0,1,18/07/2022,1
28/04/2022,,0,0,18/07/2022,0
29/04/2022,,0,0,18/07/2022,0
30/04/2022,,0,1,18/07/2022,1
01/05/2022,,0,1,18/07/2022,1
02/05/2022,,0,1,18/07/2022,1
03/05/2022,,0,0,18/07/2022,0
04/05/2022,,0,0,18/07/2022,0
05/05/2022,,0,0,18/07/2022,0
06/05/2022,,0,0,18/07/2022,0
07/05/2022,,0,0,18/07/2022,0
08/05/2022,,0,0,18/07/2022,0
09/05/2022,,0,0,18/07/2022,0
10/05/2022,,0,0,18/07/2022,0
11/05/2022,,0,0,18/07/2022,0
12/05/2022,,0,1,18/07/2022,1
13/05/2022,,0,0,18/07/2022,0
14/05/2022,,0,1,18/07/2022,1
15/05/2022,,0,2,18/07/2022,2
16/05/2022,,0,6,18/07/2022,6
17/05/2022,,0,4,18/07/2022,4
18/05/2022,,0,3,18/07/2022,3
19/05/2022,,0,1,18/07/2022,1
20/05/2022,,0,5,18/07/2022,5
21/05/2022,,0,7,18/07/2022,7
22/05/2022,,0,1,18/07/2022,1
23/05/2022,,0,0,18/07/2022,0
24/05/2022,,0,2,18/07/2022,2
25/05/2022,,0,6,18/07/2022,6
26/05/2022,,0,2,18/07/2022,2
27/05/2022,1,0,3,18/07/2022,4
28/05/2022,,0,8,18/07/2022,8
29/05/2022,,0,8,18/07/2022,8
30/05/2022,,0,4,18/07/2022,4
31/05/2022,,0,3,18/07/2022,3
01/06/2022,,0,5,18/07/2022,5
02/06/2022,,0,5,18/07/2022,5
03/06/2022,,0,9,18/07/2022,9
04/06/2022,,0,4,18/07/2022,4
05/06/2022,,0,9,18/07/2022,9
06/06/2022,,0,7,18/07/2022,7
07/06/2022,,0,9,18/07/2022,9
08/06/2022,,0,11,18/07/2022,11
09/06/2022,,0,13,18/07/2022,13
10/06/2022,,0,6,18/07/2022,6
11/06/2022,,0,5,18/07/2022,5
12/06/2022,,0,18,18/07/2022,18
13/06/2022,,0,12,18/07/2022,12
14/06/2022,,0,15,18/07/2022,15
15/06/2022,,0,9,18/07/2022,9
16/06/2022,,0,11,18/07/2022,11
17/06/2022,,0,16,18/07/2022,16
18/06/2022,,1,14,18/07/2022,15
19/06/2022,,0,12,18/07/2022,12
20/06/2022,,1,30,18/07/2022,31
21/06/2022,,0,16,18/07/2022,16
22/06/2022,,0,21,18/07/2022,21
23/06/2022,,1,10,18/07/2022,11
24/06/2022,,0,13,18/07/2022,13
25/06/2022,,1,18,18/07/2022,19
26/06/2022,,1,10,18/07/2022,11
27/06/2022,,1,18,18/07/2022,19
28/06/2022,,0,11,18/07/2022,11
29/06/2022,,0,25,18/07/2022,25
30/06/2022,,1,26,18/07/2022,27
01/07/2022,,2,15,18/07/2022,17
02/07/2022,,0,12,18/07/2022,12
03/07/2022,,1,10,18/07/2022,11
04/07/2022,,1,17,18/07/2022,18
05/07/2022,,14,6,18/07/2022,20
06/07/2022,,16,10,18/07/2022,26
07/07/2022,,15,9,18/07/2022,24
08/07/2022,,23,6,18/07/2022,29
09/07/2022,,7,2,18/07/2022,9
10/07/2022,,3,11,18/07/2022,14
11/07/2022,,4,,18/07/2022,4
12/07/2022,,3,,18/07/2022,3
13/07/2022,,2,,18/07/2022,2
