Report_round,Eerste ziektedag,Meldingsdatum,Toename
1,27/04/2022,18/07/2022,0
1,28/04/2022,18/07/2022,0
1,29/04/2022,18/07/2022,0
1,30/04/2022,18/07/2022,0
1,01/05/2022,18/07/2022,0
1,02/05/2022,18/07/2022,0
1,03/05/2022,18/07/2022,0
1,04/05/2022,18/07/2022,0
1,05/05/2022,18/07/2022,0
1,06/05/2022,18/07/2022,0
1,07/05/2022,18/07/2022,0
1,08/05/2022,18/07/2022,0
1,09/05/2022,18/07/2022,0
1,10/05/2022,18/07/2022,0
1,11/05/2022,18/07/2022,0
1,12/05/2022,18/07/2022,0
1,13/05/2022,18/07/2022,0
1,14/05/2022,18/07/2022,0
1,15/05/2022,18/07/2022,0
1,16/05/2022,18/07/2022,0
1,17/05/2022,18/07/2022,0
1,18/05/2022,18/07/2022,0
1,19/05/2022,18/07/2022,0
1,20/05/2022,18/07/2022,0
1,21/05/2022,18/07/2022,2
1,22/05/2022,18/07/2022,0
1,23/05/2022,18/07/2022,-1
1,24/05/2022,18/07/2022,0
1,25/05/2022,18/07/2022,0
1,26/05/2022,18/07/2022,0
1,27/05/2022,18/07/2022,0
1,28/05/2022,18/07/2022,0
1,29/05/2022,18/07/2022,0
1,30/05/2022,18/07/2022,0
1,31/05/2022,18/07/2022,0
1,01/06/2022,18/07/2022,0
1,02/06/2022,18/07/2022,0
1,03/06/2022,18/07/2022,0
1,04/06/2022,18/07/2022,0
1,05/06/2022,18/07/2022,0
1,06/06/2022,18/07/2022,0
1,07/06/2022,18/07/2022,0
1,08/06/2022,18/07/2022,0
1,09/06/2022,18/07/2022,0
1,10/06/2022,18/07/2022,0
1,11/06/2022,18/07/2022,1
1,12/06/2022,18/07/2022,2
1,13/06/2022,18/07/2022,0
1,14/06/2022,18/07/2022,0
1,15/06/2022,18/07/2022,0
1,16/06/2022,18/07/2022,2
1,17/06/2022,18/07/2022,0
1,18/06/2022,18/07/2022,1
1,19/06/2022,18/07/2022,0
1,20/06/2022,18/07/2022,2
1,21/06/2022,18/07/2022,2
1,22/06/2022,18/07/2022,-1
1,23/06/2022,18/07/2022,1
1,24/06/2022,18/07/2022,1
1,25/06/2022,18/07/2022,1
1,26/06/2022,18/07/2022,1
1,27/06/2022,18/07/2022,5
1,28/06/2022,18/07/2022,-1
1,29/06/2022,18/07/2022,-1
1,30/06/2022,18/07/2022,1
1,01/07/2022,18/07/2022,-1
1,02/07/2022,18/07/2022,0
1,03/07/2022,18/07/2022,3
1,04/07/2022,18/07/2022,11
1,05/07/2022,18/07/2022,18
1,06/07/2022,18/07/2022,21
1,07/07/2022,18/07/2022,22
1,08/07/2022,18/07/2022,29
1,09/07/2022,18/07/2022,9
1,10/07/2022,18/07/2022,14
1,11/07/2022,18/07/2022,4
1,12/07/2022,18/07/2022,3
1,13/07/2022,18/07/2022,2
1,14/07/2022,18/07/2022,0
1,15/07/2022,18/07/2022,0
1,16/07/2022,18/07/2022,0
1,17/07/2022,18/07/2022,0
1,18/07/2022,18/07/2022,0
1,19/07/2022,18/07/2022,0
1,20/07/2022,18/07/2022,0
1,21/07/2022,18/07/2022,0
1,22/07/2022,18/07/2022,0
1,23/07/2022,18/07/2022,0
1,24/07/2022,18/07/2022,0
1,25/07/2022,18/07/2022,0
1,26/07/2022,18/07/2022,0
1,27/07/2022,18/07/2022,0
1,28/07/2022,18/07/2022,0
1,29/07/2022,18/07/2022,0
1,30/07/2022,18/07/2022,0
1,31/07/2022,18/07/2022,0
1,01/08/2022,18/07/2022,0
2,27/04/2022,21/07/2022,0
2,28/04/2022,21/07/2022,0
2,29/04/2022,21/07/2022,0
2,30/04/2022,21/07/2022,0
2,01/05/2022,21/07/2022,0
2,02/05/2022,21/07/2022,0
2,03/05/2022,21/07/2022,0
2,04/05/2022,21/07/2022,0
2,05/05/2022,21/07/2022,0
2,06/05/2022,21/07/2022,0
2,07/05/2022,21/07/2022,0
2,08/05/2022,21/07/2022,0
2,09/05/2022,21/07/2022,0
2,10/05/2022,21/07/2022,0
2,11/05/2022,21/07/2022,0
2,12/05/2022,21/07/2022,0
2,13/05/2022,21/07/2022,0
2,14/05/2022,21/07/2022,0
2,15/05/2022,21/07/2022,0
2,16/05/2022,21/07/2022,0
2,17/05/2022,21/07/2022,0
2,18/05/2022,21/07/2022,0
2,19/05/2022,21/07/2022,0
2,20/05/2022,21/07/2022,0
2,21/05/2022,21/07/2022,0
2,22/05/2022,21/07/2022,0
2,23/05/2022,21/07/2022,0
2,24/05/2022,21/07/2022,0
2,25/05/2022,21/07/2022,0
2,26/05/2022,21/07/2022,1
2,27/05/2022,21/07/2022,0
2,28/05/2022,21/07/2022,0
2,29/05/2022,21/07/2022,0
2,30/05/2022,21/07/2022,0
2,31/05/2022,21/07/2022,0
2,01/06/2022,21/07/2022,0
2,02/06/2022,21/07/2022,0
2,03/06/2022,21/07/2022,1
2,04/06/2022,21/07/2022,0
2,05/06/2022,21/07/2022,0
2,06/06/2022,21/07/2022,0
2,07/06/2022,21/07/2022,0
2,08/06/2022,21/07/2022,0
2,09/06/2022,21/07/2022,0
2,10/06/2022,21/07/2022,0
2,11/06/2022,21/07/2022,0
2,12/06/2022,21/07/2022,0
2,13/06/2022,21/07/2022,0
2,14/06/2022,21/07/2022,0
2,15/06/2022,21/07/2022,1
2,16/06/2022,21/07/2022,1
2,17/06/2022,21/07/2022,-2
2,18/06/2022,21/07/2022,2
2,19/06/2022,21/07/2022,0
2,20/06/2022,21/07/2022,1
2,21/06/2022,21/07/2022,1
2,22/06/2022,21/07/2022,0
2,23/06/2022,21/07/2022,3
2,24/06/2022,21/07/2022,0
2,25/06/2022,21/07/2022,1
2,26/06/2022,21/07/2022,1
2,27/06/2022,21/07/2022,1
2,28/06/2022,21/07/2022,1
2,29/06/2022,21/07/2022,0
2,30/06/2022,21/07/2022,-3
2,01/07/2022,21/07/2022,3
2,02/07/2022,21/07/2022,1
2,03/07/2022,21/07/2022,4
2,04/07/2022,21/07/2022,0
2,05/07/2022,21/07/2022,4
2,06/07/2022,21/07/2022,-5
2,07/07/2022,21/07/2022,-4
2,08/07/2022,21/07/2022,3
2,09/07/2022,21/07/2022,6
2,10/07/2022,21/07/2022,2
2,11/07/2022,21/07/2022,14
2,12/07/2022,21/07/2022,8
2,13/07/2022,21/07/2022,5
2,14/07/2022,21/07/2022,3
2,15/07/2022,21/07/2022,3
2,16/07/2022,21/07/2022,1
2,17/07/2022,21/07/2022,0
2,18/07/2022,21/07/2022,0
2,19/07/2022,21/07/2022,0
2,20/07/2022,21/07/2022,0
2,21/07/2022,21/07/2022,0
2,22/07/2022,21/07/2022,0
2,23/07/2022,21/07/2022,0
2,24/07/2022,21/07/2022,0
2,25/07/2022,21/07/2022,0
2,26/07/2022,21/07/2022,0
2,27/07/2022,21/07/2022,0
2,28/07/2022,21/07/2022,0
2,29/07/2022,21/07/2022,0
2,30/07/2022,21/07/2022,0
2,31/07/2022,21/07/2022,0
2,01/08/2022,21/07/2022,0
3,27/04/2022,25/07/2022,0
3,28/04/2022,25/07/2022,0
3,29/04/2022,25/07/2022,0
3,30/04/2022,25/07/2022,0
3,01/05/2022,25/07/2022,0
3,02/05/2022,25/07/2022,0
3,03/05/2022,25/07/2022,0
3,04/05/2022,25/07/2022,0
3,05/05/2022,25/07/2022,0
3,06/05/2022,25/07/2022,0
3,07/05/2022,25/07/2022,0
3,08/05/2022,25/07/2022,0
3,09/05/2022,25/07/2022,0
3,10/05/2022,25/07/2022,0
3,11/05/2022,25/07/2022,0
3,12/05/2022,25/07/2022,0
3,13/05/2022,25/07/2022,0
3,14/05/2022,25/07/2022,0
3,15/05/2022,25/07/2022,0
3,16/05/2022,25/07/2022,0
3,17/05/2022,25/07/2022,0
3,18/05/2022,25/07/2022,0
3,19/05/2022,25/07/2022,0
3,20/05/2022,25/07/2022,0
3,21/05/2022,25/07/2022,0
3,22/05/2022,25/07/2022,0
3,23/05/2022,25/07/2022,0
3,24/05/2022,25/07/2022,0
3,25/05/2022,25/07/2022,0
3,26/05/2022,25/07/2022,0
3,27/05/2022,25/07/2022,0
3,28/05/2022,25/07/2022,0
3,29/05/2022,25/07/2022,0
3,30/05/2022,25/07/2022,0
3,31/05/2022,25/07/2022,0
3,01/06/2022,25/07/2022,0
3,02/06/2022,25/07/2022,0
3,03/06/2022,25/07/2022,0
3,04/06/2022,25/07/2022,0
3,05/06/2022,25/07/2022,0
3,06/06/2022,25/07/2022,0
3,07/06/2022,25/07/2022,0
3,08/06/2022,25/07/2022,0
3,09/06/2022,25/07/2022,0
3,10/06/2022,25/07/2022,0
3,11/06/2022,25/07/2022,0
3,12/06/2022,25/07/2022,0
3,13/06/2022,25/07/2022,0
3,14/06/2022,25/07/2022,0
3,15/06/2022,25/07/2022,1
3,16/06/2022,25/07/2022,0
3,17/06/2022,25/07/2022,0
3,18/06/2022,25/07/2022,0
3,19/06/2022,25/07/2022,0
3,20/06/2022,25/07/2022,0
3,21/06/2022,25/07/2022,0
3,22/06/2022,25/07/2022,0
3,23/06/2022,25/07/2022,1
3,24/06/2022,25/07/2022,0
3,25/06/2022,25/07/2022,0
3,26/06/2022,25/07/2022,0
3,27/06/2022,25/07/2022,0
3,28/06/2022,25/07/2022,0
3,29/06/2022,25/07/2022,0
3,30/06/2022,25/07/2022,1
3,01/07/2022,25/07/2022,2
3,02/07/2022,25/07/2022,1
3,03/07/2022,25/07/2022,0
3,04/07/2022,25/07/2022,1
3,05/07/2022,25/07/2022,-2
3,06/07/2022,25/07/2022,0
3,07/07/2022,25/07/2022,2
3,08/07/2022,25/07/2022,-7
3,09/07/2022,25/07/2022,4
3,10/07/2022,25/07/2022,4
3,11/07/2022,25/07/2022,14
3,12/07/2022,25/07/2022,6
3,13/07/2022,25/07/2022,12
3,14/07/2022,25/07/2022,24
3,15/07/2022,25/07/2022,15
3,16/07/2022,25/07/2022,9
3,17/07/2022,25/07/2022,6
3,18/07/2022,25/07/2022,6
3,19/07/2022,25/07/2022,2
3,20/07/2022,25/07/2022,1
3,21/07/2022,25/07/2022,1
3,22/07/2022,25/07/2022,2
3,23/07/2022,25/07/2022,0
3,24/07/2022,25/07/2022,0
3,25/07/2022,25/07/2022,0
3,26/07/2022,25/07/2022,0
3,27/07/2022,25/07/2022,0
3,28/07/2022,25/07/2022,0
3,29/07/2022,25/07/2022,0
3,30/07/2022,25/07/2022,0
3,31/07/2022,25/07/2022,0
3,01/08/2022,25/07/2022,0
4,27/04/2022,28/07/2022,0
4,28/04/2022,28/07/2022,0
4,29/04/2022,28/07/2022,0
4,30/04/2022,28/07/2022,0
4,01/05/2022,28/07/2022,0
4,02/05/2022,28/07/2022,0
4,03/05/2022,28/07/2022,0
4,04/05/2022,28/07/2022,0
4,05/05/2022,28/07/2022,0
4,06/05/2022,28/07/2022,0
4,07/05/2022,28/07/2022,0
4,08/05/2022,28/07/2022,0
4,09/05/2022,28/07/2022,0
4,10/05/2022,28/07/2022,0
4,11/05/2022,28/07/2022,0
4,12/05/2022,28/07/2022,0
4,13/05/2022,28/07/2022,0
4,14/05/2022,28/07/2022,0
4,15/05/2022,28/07/2022,0
4,16/05/2022,28/07/2022,0
4,17/05/2022,28/07/2022,0
4,18/05/2022,28/07/2022,0
4,19/05/2022,28/07/2022,0
4,20/05/2022,28/07/2022,0
4,21/05/2022,28/07/2022,0
4,22/05/2022,28/07/2022,0
4,23/05/2022,28/07/2022,0
4,24/05/2022,28/07/2022,0
4,25/05/2022,28/07/2022,0
4,26/05/2022,28/07/2022,0
4,27/05/2022,28/07/2022,0
4,28/05/2022,28/07/2022,0
4,29/05/2022,28/07/2022,0
4,30/05/2022,28/07/2022,0
4,31/05/2022,28/07/2022,0
4,01/06/2022,28/07/2022,0
4,02/06/2022,28/07/2022,0
4,03/06/2022,28/07/2022,0
4,04/06/2022,28/07/2022,0
4,05/06/2022,28/07/2022,0
4,06/06/2022,28/07/2022,0
4,07/06/2022,28/07/2022,0
4,08/06/2022,28/07/2022,0
4,09/06/2022,28/07/2022,0
4,10/06/2022,28/07/2022,0
4,11/06/2022,28/07/2022,0
4,12/06/2022,28/07/2022,0
4,13/06/2022,28/07/2022,0
4,14/06/2022,28/07/2022,0
4,15/06/2022,28/07/2022,-1
4,16/06/2022,28/07/2022,0
4,17/06/2022,28/07/2022,0
