Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,WHO_category,May_include_samples_listed_before,Sample_size,Variant_cases
3,2022-01-28T10:16:28Z,2020-11-30,B.1.351,Beta,VOC,VOC,FALSE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,P.1,Gamma,VOC,VOC,FALSE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,B.1.617.2,Delta,VOC,VOC,FALSE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,B.1.1.529,Omicron,VOC,VOC,FALSE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,B.1.621,Mu,VOI,VOI,FALSE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,C.37,Lambda,VOI,VOI,FALSE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,AY.4.2,"",VOI,"",TRUE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,C.36+S:L452R,"",VUM,"",FALSE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,B.1.1.318,"",VUM,VUM,FALSE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,P.1+S:P681H,"",VUM,"",TRUE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,B.1.617.2+S:K417N,"",VUM,"",TRUE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,C.1.2,"",VUM,VUM,FALSE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,B.1.617.2+S:E484del,"",VUM,"",TRUE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,B.1.617.2+S:Q613H,"",VUM,"",TRUE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,B.1.617.2+S:Q677H,"",VUM,"",TRUE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,B.1.640,"",VUM,VUM,FALSE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,B.1.1.7,Alpha,DEV,VOC,FALSE,75,1
3,2022-01-28T10:16:28Z,2020-11-30,B.1.1.519,"",DEV,VUM,FALSE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,BA.1,"",VOC,VOC,TRUE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,BA.2,"",VOC,VOC,TRUE,75,0
3,2022-01-28T10:16:28Z,2020-11-30,BA.3,"",VOC,VOC,TRUE,75,0
3,2022-01-28T10:16:28Z,2020-12-07,B.1.351,Beta,VOC,VOC,FALSE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,P.1,Gamma,VOC,VOC,FALSE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,B.1.617.2,Delta,VOC,VOC,FALSE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,B.1.1.529,Omicron,VOC,VOC,FALSE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,B.1.621,Mu,VOI,VOI,FALSE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,C.37,Lambda,VOI,VOI,FALSE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,AY.4.2,"",VOI,"",TRUE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,C.36+S:L452R,"",VUM,"",FALSE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,B.1.1.318,"",VUM,VUM,FALSE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,P.1+S:P681H,"",VUM,"",TRUE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,B.1.617.2+S:K417N,"",VUM,"",TRUE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,C.1.2,"",VUM,VUM,FALSE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,B.1.617.2+S:E484del,"",VUM,"",TRUE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,B.1.617.2+S:Q613H,"",VUM,"",TRUE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,B.1.617.2+S:Q677H,"",VUM,"",TRUE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,B.1.640,"",VUM,VUM,FALSE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,B.1.1.7,Alpha,DEV,VOC,FALSE,127,1
3,2022-01-28T10:16:28Z,2020-12-07,B.1.1.519,"",DEV,VUM,FALSE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,BA.1,"",VOC,VOC,TRUE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,BA.2,"",VOC,VOC,TRUE,127,0
3,2022-01-28T10:16:28Z,2020-12-07,BA.3,"",VOC,VOC,TRUE,127,0
3,2022-01-28T10:16:28Z,2020-12-14,B.1.351,Beta,VOC,VOC,FALSE,203,0
3,2022-01-28T10:16:28Z,2020-12-14,P.1,Gamma,VOC,VOC,FALSE,203,0
3,2022-01-28T10:16:28Z,2020-12-14,B.1.617.2,Delta,VOC,VOC,FALSE,203,0
3,2022-01-28T10:16:28Z,2020-12-14,B.1.1.529,Omicron,VOC,VOC,FALSE,203,0
3,2022-01-28T10:16:28Z,2020-12-14,B.1.621,Mu,VOI,VOI,FALSE,203,0
3,2022-01-28T10:16:28Z,2020-12-14,C.37,Lambda,VOI,VOI,FALSE,203,0
3,2022-01-28T10:16:28Z,2020-12-14,AY.4.2,"",VOI,"",TRUE,203,0
3,2022-01-28T10:16:28Z,2020-12-14,C.36+S:L452R,"",VUM,"",FALSE,203,0
3,2022-01-28T10:16:28Z,2020-12-14,B.1.1.318,"",VUM,VUM,FALSE,203,0
3,2022-01-28T10:16:28Z,2020-12-14,P.1+S:P681H,"",VUM,"",TRUE,203,0
3,2022-01-28T10:16:28Z,2020-12-14,B.1.617.2+S:K417N,"",VUM,"",TRUE,203,0
3,2022-01-28T10:16:28Z,2020-12-14,C.1.2,"",VUM,VUM,FALSE,203,0
3,2022-01-28T10:16:28Z,2020-12-14,B.1.617.2+S:E484del,"",VUM,"",TRUE,203,0
