Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,WHO_category,Is_subvariant_of,Sample_size,Variant_cases
4,2023-04-14T15:20:27Z,2020-11-30,Recombinants,Recombinants,"","","",75,0
4,2023-04-14T15:20:27Z,2020-11-30,B.1.1.529,Omicron,"",VOC,"",75,0
4,2023-04-14T15:20:27Z,2020-11-30,BA.2,Omicron,VOC,"",B.1.1.529,75,0
4,2023-04-14T15:20:27Z,2020-11-30,BA.4,Omicron,VOC,VUM,B.1.1.529,75,0
4,2023-04-14T15:20:27Z,2020-11-30,BA.5,Omicron,VOC,VUM,B.1.1.529,75,0
4,2023-04-14T15:20:27Z,2020-11-30,BA.2.75,Omicron,VOI,VUM,BA.2,75,0
4,2023-04-14T15:20:27Z,2020-11-30,BQ.1,Omicron,VOI,VUM,BA.5,75,0
4,2023-04-14T15:20:27Z,2020-11-30,XBB,Omicron,VOI,VUM,Recombinants,75,0
4,2023-04-14T15:20:27Z,2020-11-30,XBB.1.5,Omicron,VOI,VUM,XBB,75,0
4,2023-04-14T15:20:27Z,2020-11-30,BA.2.3.20,Omicron,DEV,VUM,BA.2,75,0
4,2023-04-14T15:20:27Z,2020-11-30,BF.7,Omicron,DEV,VUM,BA.5,75,0
4,2023-04-14T15:20:27Z,2020-11-30,XBC,Omicron,VUM,"",Recombinants,75,0
4,2023-04-14T15:20:27Z,2020-11-30,BN.1,Omicron,VUM,"",BA.2.75,75,0
4,2023-04-14T15:20:27Z,2020-11-30,CH.1.1,Omicron,VUM,"",BA.2.75,75,0
4,2023-04-14T15:20:27Z,2020-11-30,XAY,Omicron,VUM,"",Recombinants,75,0
4,2023-04-14T15:20:27Z,2020-11-30,BQ.1.1,Omicron,"",VUM,BQ.1,75,0
4,2023-04-14T15:20:27Z,2020-11-30,BA.4.6,Omicron,"",VUM,BA.4,75,0
4,2023-04-14T15:20:27Z,2020-11-30,BA.3,Omicron,DEV,"",B.1.1.529,75,0
4,2023-04-14T15:20:27Z,2020-11-30,BA.2.12.1,Omicron,DEV,VUM,BA.2+S:L452X,75,0
4,2023-04-14T15:20:27Z,2020-11-30,BA.1,Omicron,DEV,"",B.1.1.529,75,0
4,2023-04-14T15:20:27Z,2020-11-30,B.1.617.2,Delta,DEV,"","",75,0
4,2023-04-14T15:20:27Z,2020-11-30,B.1.351,Beta,DEV,"","",75,0
4,2023-04-14T15:20:27Z,2020-11-30,P.1,Gamma,DEV,"","",75,0
4,2023-04-14T15:20:27Z,2020-11-30,B.1.1.7,Alpha,DEV,"","",75,1
4,2023-04-14T15:20:27Z,2020-11-30,B.1.621,Mu,DEV,"","",75,0
4,2023-04-14T15:20:27Z,2020-11-30,C.37,Lambda,DEV,"","",75,0
4,2023-04-14T15:20:27Z,2020-11-30,BA.2+S:L452X,Omicron,DEV,"",BA.2,75,0
4,2023-04-14T15:20:27Z,2020-11-30,XAK,Omicron,DEV,"",Recombinants,75,0
4,2023-04-14T15:20:27Z,2020-11-30,XBF,Omicron,"",VUM,Recombinants,75,0
4,2023-04-14T15:20:27Z,2020-11-30,XBB.1.9,Omicron,VOI,VUM,XBB,75,0
4,2023-04-14T15:20:27Z,2020-12-07,Recombinants,Recombinants,"","","",127,0
4,2023-04-14T15:20:27Z,2020-12-07,B.1.1.529,Omicron,"",VOC,"",127,0
4,2023-04-14T15:20:27Z,2020-12-07,BA.2,Omicron,VOC,"",B.1.1.529,127,0
4,2023-04-14T15:20:27Z,2020-12-07,BA.4,Omicron,VOC,VUM,B.1.1.529,127,0
4,2023-04-14T15:20:27Z,2020-12-07,BA.5,Omicron,VOC,VUM,B.1.1.529,127,0
4,2023-04-14T15:20:27Z,2020-12-07,BA.2.75,Omicron,VOI,VUM,BA.2,127,0
4,2023-04-14T15:20:27Z,2020-12-07,BQ.1,Omicron,VOI,VUM,BA.5,127,0
4,2023-04-14T15:20:27Z,2020-12-07,XBB,Omicron,VOI,VUM,Recombinants,127,0
4,2023-04-14T15:20:27Z,2020-12-07,XBB.1.5,Omicron,VOI,VUM,XBB,127,0
4,2023-04-14T15:20:27Z,2020-12-07,BA.2.3.20,Omicron,DEV,VUM,BA.2,127,0
4,2023-04-14T15:20:27Z,2020-12-07,BF.7,Omicron,DEV,VUM,BA.5,127,0
4,2023-04-14T15:20:27Z,2020-12-07,XBC,Omicron,VUM,"",Recombinants,127,0
4,2023-04-14T15:20:27Z,2020-12-07,BN.1,Omicron,VUM,"",BA.2.75,127,0
4,2023-04-14T15:20:27Z,2020-12-07,CH.1.1,Omicron,VUM,"",BA.2.75,127,0
4,2023-04-14T15:20:27Z,2020-12-07,XAY,Omicron,VUM,"",Recombinants,127,0
4,2023-04-14T15:20:27Z,2020-12-07,BQ.1.1,Omicron,"",VUM,BQ.1,127,0
4,2023-04-14T15:20:27Z,2020-12-07,BA.4.6,Omicron,"",VUM,BA.4,127,0
4,2023-04-14T15:20:27Z,2020-12-07,BA.3,Omicron,DEV,"",B.1.1.529,127,0
4,2023-04-14T15:20:27Z,2020-12-07,BA.2.12.1,Omicron,DEV,VUM,BA.2+S:L452X,127,0
4,2023-04-14T15:20:27Z,2020-12-07,BA.1,Omicron,DEV,"",B.1.1.529,127,0
4,2023-04-14T15:20:27Z,2020-12-07,B.1.617.2,Delta,DEV,"","",127,0
4,2023-04-14T15:20:27Z,2020-12-07,B.1.351,Beta,DEV,"","",127,0
4,2023-04-14T15:20:27Z,2020-12-07,P.1,Gamma,DEV,"","",127,0
