Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,WHO_category,Sample_size,Variant_cases
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.351,Beta,VOC,VOC,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,P.1,Gamma,VOC,VOC,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.617.2,Delta,VOC,VOC,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.621,Mu,VOI,VOI,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,C.37,Lambda,VOI,VOI,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,C.36+S:L452R,"",VUM,"",75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.1.318,"",VUM,VUM,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,P.1+S:P681H,"",VUM,"",75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.617.2+S:K417N,"",VUM,"",75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,C.1.2,"",VUM,VUM,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.617.2+S:E484del,"",VUM,"",75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.617.2+S:Q613H,"",VUM,"",75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.617.2+S:Q677H,"",VUM,"",75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,AY.4.2,"",VUM,"",75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.1.7,Alpha,DEV,VOI,75,1
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.427/B.1.429,"",DEV,VUM,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.525,"",DEV,VUM,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.617.1,"",DEV,VUM,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.620,"",DEV,VUM,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.214.2,"",DEV,VUM,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.526,"",DEV,VUM,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.1.519,"",DEV,VUM,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,R.1,"","",VUM,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.466.2,"","",VUM,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,C.36.3,"","",VUM,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.1.523,"","",VUM,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.619,"","",VUM,75,0
1.1,2021-10-29T15:03:00Z,2020-11-30T00:00:00Z,B.1.630,"","",VUM,75,0
1.1,2021-10-29T15:03:00Z,2020-12-07T00:00:00Z,B.1.351,Beta,VOC,VOC,127,0
1.1,2021-10-29T15:03:00Z,2020-12-07T00:00:00Z,P.1,Gamma,VOC,VOC,127,0
1.1,2021-10-29T15:03:00Z,2020-12-07T00:00:00Z,B.1.617.2,Delta,VOC,VOC,127,0
1.1,2021-10-29T15:03:00Z,2020-12-07T00:00:00Z,B.1.621,Mu,VOI,VOI,127,0
1.1,2021-10-29T15:03:00Z,2020-12-07T00:00:00Z,C.37,Lambda,VOI,VOI,127,0
1.1,2021-10-29T15:03:00Z,2020-12-07T00:00:00Z,C.36+S:L452R,"",VUM,"",127,0
1.1,2021-10-29T15:03:00Z,2020-12-07T00:00:00Z,B.1.1.318,"",VUM,VUM,127,0
1.1,2021-10-29T15:03:00Z,2020-12-07T00:00:00Z,P.1+S:P681H,"",VUM,"",127,0
1.1,2021-10-29T15:03:00Z,2020-12-07T00:00:00Z,B.1.617.2+S:K417N,"",VUM,"",127,0
1.1,2021-10-29T15:03:00Z,2020-12-07T00:00:00Z,C.1.2,"",VUM,VUM,127,0
