"tests","positive_tests","date","lab"
"","",2021-12-01,"GGD_Amsterdam"
"200","1",2021-12-02,"GGD_Amsterdam"
"","",2021-12-03,"GGD_Amsterdam"
"","",2021-12-04,"GGD_Amsterdam"
"170","2",2021-12-05,"GGD_Amsterdam"
"189","5",2021-12-06,"GGD_Amsterdam"
"190","4",2021-12-07,"GGD_Amsterdam"
"189","6",2021-12-08,"GGD_Amsterdam"
"191","6",2021-12-09,"GGD_Amsterdam"
"","",2021-12-10,"GGD_Amsterdam"
"","",2021-12-11,"GGD_Amsterdam"
"189","7",2021-12-12,"GGD_Amsterdam"
"188","22",2021-12-13,"GGD_Amsterdam"
"192","27",2021-12-14,"GGD_Amsterdam"
"189","47",2021-12-15,"GGD_Amsterdam"
"189","33",2021-12-16,"GGD_Amsterdam"
"60","13",2021-12-17,"GGD_Amsterdam"
"51","18",2021-12-18,"GGD_Amsterdam"
"94","33",2021-12-19,"GGD_Amsterdam"
"95","46",2021-12-20,"GGD_Amsterdam"
"","",2021-12-21,"GGD_Amsterdam"
"","",2021-12-22,"GGD_Amsterdam"
"885","0",2021-12-01,"Saltro"
"916","1",2021-12-02,"Saltro"
"888","4",2021-12-03,"Saltro"
"1121","3",2021-12-04,"Saltro"
"514","2",2021-12-05,"Saltro"
"798","2",2021-12-06,"Saltro"
"852","2",2021-12-07,"Saltro"
"811","1",2021-12-08,"Saltro"
"1041","0",2021-12-09,"Saltro"
"821","3",2021-12-10,"Saltro"
"553","7",2021-12-11,"Saltro"
"656","6",2021-12-12,"Saltro"
"263","0",2021-12-13,"Saltro"
"168","5",2021-12-14,"Saltro"
"775","30",2021-12-15,"Saltro"
"964","45",2021-12-16,"Saltro"
"922","64",2021-12-17,"Saltro"
"751","82",2021-12-18,"Saltro"
"777","92",2021-12-19,"Saltro"
"504","64",2021-12-20,"Saltro"
"","",2021-12-21,"Saltro"
"","",2021-12-22,"Saltro"
"2622","1",2021-12-01,"Synlab"
"3345","",2021-12-02,"Synlab"
"3500","1",2021-12-03,"Synlab"
"3921","5",2021-12-04,"Synlab"
"3665","3",2021-12-05,"Synlab"
"2635","5",2021-12-06,"Synlab"
"3669","5",2021-12-07,"Synlab"
"2941","13",2021-12-08,"Synlab"
"3155","11",2021-12-09,"Synlab"
"2724","23",2021-12-10,"Synlab"
"2563","18",2021-12-11,"Synlab"
"1868","22",2021-12-12,"Synlab"
"1940","23",2021-12-13,"Synlab"
"2667","72",2021-12-14,"Synlab"
"2137","74",2021-12-15,"Synlab"
"2513","161",2021-12-16,"Synlab"
"1027","81",2021-12-17,"Synlab"
"1989","195",2021-12-18,"Synlab"
"1284","135",2021-12-19,"Synlab"
"1660","237",2021-12-20,"Synlab"
"1545","303",2021-12-21,"Synlab"
"954","222",2021-12-22,"Synlab"
