"contrast","collection_date_num","estimate","SE","df","asymp.LCL","asymp.UCL","variant","collection_date","avg_r","r","r_LOWER","r_UPPER","Re","Re_LOWER","Re_UPPER","prob"
"B.1.1.7 (alpha)",18599.5,0.0885719705581435,0.00293094892133332,NA,0.0828274162318037,0.0943165248844834,"B.1.1.7 (alpha)",2020-12-03,0.0366740148505918,0.125245985408735,0.119501431082396,0.130990539735075,NA,NA,NA,0.00265818552691601
"B.1.351 (beta)",18599.5,0.0906220841958385,0.0127550564091411,NA,0.0656226330131452,0.115621535378532,"B.1.351 (beta)",2020-12-03,0.0366740148505918,0.12729609904643,0.102296647863737,0.152295550229124,NA,NA,NA,0.000132656880776606
"P.1 (gamma)",18599.5,0.195071925658535,0.0444771445534638,NA,0.107898324198565,0.282245527118506,"P.1 (gamma)",2020-12-03,0.0366740148505918,0.231745940509127,0.144572339049156,0.318919541969098,NA,NA,NA,9.66361085781994e-09
"C.37 (lambda)",18599.5,0.0088828271194641,0.131904447238776,NA,-0.2496451388692,0.267410793108128,"C.37 (lambda)",2020-12-03,0.0366740148505918,0.0455568419700559,-0.212971124018608,0.30408480795872,NA,NA,NA,3.30742338775377e-07
"B.1.617.2 (delta)",18599.5,-0.000478105132034445,0.0204896692338181,NA,-0.0406371188854563,0.0396809086213874,"B.1.617.2 (delta)",2020-12-03,0.0366740148505918,0.0361959097185574,-0.00396310403486449,0.0763549234719792,NA,NA,NA,0.000832865123015516
"other",18599.5,-0.000247967645818763,1.90542483787085e-05,NA,-0.000285313286393513,-0.000210622005244014,"other",2020-12-03,0.0366740148505918,0.036426047204773,0.0363887015641983,0.0364633928453478,1.1804009462052,1.18020644494833,1.18059546731159,0.996375952063342
"B.1.1.7 (alpha)",18600.5,0.0885424863781918,0.00292975865908958,NA,0.0828002649229818,0.0942847078334017,"B.1.1.7 (alpha)",2020-12-04,0.0452546960322521,0.133797182410444,0.128054960955234,0.139539403865654,NA,NA,NA,0.00290432997519258
"B.1.351 (beta)",18600.5,0.0905901562707503,0.0127527302573916,NA,0.0655952642617086,0.115585048279792,"B.1.351 (beta)",2020-12-04,0.0452546960322521,0.135844852303002,0.110849960293961,0.160839744312044,NA,NA,NA,0.000145238089658226
"P.1 (gamma)",18600.5,0.195031920422576,0.0444714137018353,NA,0.107869551225397,0.282194289619754,"P.1 (gamma)",2020-12-04,0.0452546960322521,0.240286616454828,0.153124247257649,0.327448985652006,NA,NA,NA,1.1744952430044e-08
"C.37 (lambda)",18600.5,0.00886509492647656,0.131869607146531,NA,-0.249594585736169,0.267324775589122,"C.37 (lambda)",2020-12-04,0.0452546960322521,0.0541197909587286,-0.204339889703917,0.312579471621375,NA,NA,NA,3.33690026263357e-07
"B.1.617.2 (delta)",18600.5,-0.000498918634276795,0.0204865224247464,NA,-0.0406517647552519,0.0396539274866983,"B.1.617.2 (delta)",2020-12-04,0.0452546960322521,0.0447557773979753,0.00460293127700018,0.0849086235189503,NA,NA,NA,0.000832458058216495
"other",18600.5,-0.000270955608851056,1.93896818949178e-05,NA,-0.000308958687036783,-0.000232952530665328,"other",2020-12-04,0.0452546960322521,0.044983740423401,0.0449457373452153,0.0450217435015867,1.22549557106882,1.22529299668812,1.22569816618873,0.996117628441954
"B.1.1.7 (alpha)",18601.5,0.0885003016117852,0.00292775830561057,NA,0.0827620007773504,0.0942386024462199,"B.1.1.7 (alpha)",2020-12-05,0.0523379351136152,0.1408382367254,0.135099935890966,0.146576537559835,NA,NA,NA,0.00317315716848532
"B.1.351 (beta)",18601.5,0.0905415347115989,0.0127469363740919,NA,0.0655579985051553,0.115525070918042,"B.1.351 (beta)",2020-12-05,0.0523379351136152,0.142879469825214,0.11789593361877,0.167863006031658,NA,NA,NA,0.00015900636105685
"P.1 (gamma)",18601.5,0.194962023332174,0.0444563777278,NA,0.107829124102577,0.28209492256177,"P.1 (gamma)",2020-12-05,0.0523379351136152,0.247299958445789,0.160167059216192,0.334432857675385,NA,NA,NA,1.42738320794107e-08
"C.37 (lambda)",18601.5,0.00885386474011359,0.131777863899798,NA,-0.249426002463112,0.26713373194334,"C.37 (lambda)",2020-12-05,0.0523379351136152,0.0611917998537287,-0.197088067349497,0.319471667056955,NA,NA,NA,3.36658789076878e-07
"B.1.617.2 (delta)",18601.5,-0.000518264948938415,0.0204782426331634,NA,-0.0406548829766114,0.0396183530787346,"B.1.617.2 (delta)",2020-12-05,0.0523379351136152,0.0518196701646767,0.0116830521370037,0.0919562881923497,NA,NA,NA,0.000832034162850085
"other",18601.5,-0.00029602942480924,1.97777321939659e-05,NA,-0.000334793067605292,-0.000257265782013188,"other",2020-12-05,0.0523379351136152,0.0520419056888059,0.0520031420460099,0.052080669331602,1.26347941959804,1.26326884807069,1.26369001286071,0.995835451374987
"B.1.1.7 (alpha)",18602.5,0.0884452360991932,0.00292494252066666,NA,0.0827124541018367,0.0941780180965496,"B.1.1.7 (alpha)",2020-12-06,0.0578851495620742,0.146330385661267,0.140597603663911,0.152063167658624,NA,NA,NA,0.00346670281714627
"B.1.351 (beta)",18602.5,0.0904760393586537,0.0127376733641474,NA,0.0655106583180896,0.115441420399218,"B.1.351 (beta)",2020-12-06,0.0578851495620742,0.148361188920728,0.123395807880164,0.173326569961292,NA,NA,NA,0.00017407019047935
"P.1 (gamma)",18602.5,0.194862054227598,0.0444320364650728,NA,0.107776862996285,0.281947245458912,"P.1 (gamma)",2020-12-06,0.0578851495620742,0.252747203789673,0.16566201255836,0.339832395020986,NA,NA,NA,1.73458016490469e-08
"C.37 (lambda)",18602.5,0.00884895640064438,0.131629217744788,NA,-0.249139569692321,0.266837482493609,"C.37 (lambda)",2020-12-06,0.0578851495620742,0.0667341059627186,-0.191254420130246,0.324722632055684,NA,NA,NA,3.39650900633515e-07
"B.1.617.2 (delta)",18602.5,-0.000536324235750026,0.0204648300272636,NA,-0.0406466540389206,0.0395740055674206,"B.1.617.2 (delta)",2020-12-06,0.0578851495620742,0.0573488253263242,0.0172384955231536,0.0974591551294948,NA,NA,NA,0.000831594608376478
"other",18602.5,-0.000323369253423763,2.02264740775644e-05,NA,-0.000363012414150022,-0.000283726092697503,"other",2020-12-06,0.0578851495620742,0.0575617803086505,0.0575221371479242,0.0576014234693767,1.29368676466681,1.29346824149681,1.29390531069815,0.995527275387296
"B.1.1.7 (alpha)",18603.5,0.0883770953976823,0.0029213056020635,NA,0.0826514416298028,0.0941027491655619,"B.1.1.7 (alpha)",2020-12-07,0.061896339377627,0.150273434775309,0.14454778100743,0.155999088543189,NA,NA,NA,0.00378717532245096
"B.1.351 (beta)",18603.5,0.0903934757691811,0.012724939852087,NA,0.065453051953652,0.11533389958471,"B.1.351 (beta)",2020-12-07,0.061896339377627,0.152289815146808,0.127349391331279,0.177230238962337,NA,NA,NA,0.000190547333389056
"P.1 (gamma)",18603.5,0.194731818666117,0.0443983897943474,NA,0.107712573697625,0.281751063634608,"P.1 (gamma)",2020-12-07,0.061896339377627,0.256628158043744,0.169608913075252,0.343647403012235,NA,NA,NA,2.10765507061432e-08
"C.37 (lambda)",18603.5,0.00885017546533585,0.131423669151089,NA,-0.248735482786905,0.266435833717577,"C.37 (lambda)",2020-12-07,0.061896339377627,0.0707465148429629,-0.186839143409278,0.328332173095204,NA,NA,NA,3.42668647344993e-07
"B.1.617.2 (delta)",18603.5,-0.000553290937444813,0.0204462849526267,NA,-0.0406272730622363,0.0395206911873467,"B.1.617.2 (delta)",2020-12-07,0.061896339377627,0.0613430484401822,0.0212690663153907,0.101417030564974,NA,NA,NA,0.000831140409069898
"other",18603.5,-0.000353169537428119,2.07446889140357e-05,NA,-0.000393828380570116,-0.000312510694286122,"other",2020-12-07,0.061896339377627,0.0615431698401989,0.0615025109970569,0.0615838286833409,1.31574979173816,1.31552331065192,1.31597629696939,0.995190773189892
"B.1.1.7 (alpha)",18604.5,0.088295669835791,0.00291684146548604,NA,0.0825787656148253,0.0940125740567566,"B.1.1.7 (alpha)",2020-12-08,0.0643715045602743,0.152667174396065,0.1469502701751,0.158384078617031,NA,NA,NA,0.00413696885729841
"B.1.351 (beta)",18604.5,0.0902936342717195,0.0127087344783249,NA,0.0653849724051202,0.115202296138319,"B.1.351 (beta)",2020-12-08,0.0643715045602743,0.154665138831994,0.129756476965394,0.179573800698593,NA,NA,NA,0.00020856549150857
"P.1 (gamma)",18604.5,0.194571106976269,0.0443554376429544,NA,0.107636046677566,0.281506167274971,"P.1 (gamma)",2020-12-08,0.0643715045602743,0.258942611536543,0.17200755123784,0.345877671835246,NA,NA,NA,2.56060670720108e-08
"C.37 (lambda)",18604.5,0.00885731226272529,0.131161218814902,NA,-0.248213952782861,0.265928577308311,"C.37 (lambda)",2020-12-08,0.0643715045602743,0.0732288168229996,-0.183842448222586,0.330300081868586,NA,NA,NA,3.45714322239666e-07
"B.1.617.2 (delta)",18604.5,-0.000569374725485446,0.0204226079344335,NA,-0.040596950747357,0.0394582012963861,"B.1.617.2 (delta)",2020-12-08,0.0643715045602743,0.0638021298347888,0.0237745538129173,0.10382970585666,NA,NA,NA,0.000830672409982153
"other",18604.5,-0.000385639948284815,2.13418259457432e-05,NA,-0.000427469158502794,-0.000343810738066835,"other",2020-12-08,0.0643715045602743,0.0639858646119895,0.0639440354017715,0.0640276938222075,1.32940061721562,1.32916612307341,1.32963513697587,0.994823421920822
"B.1.1.7 (alpha)",18605.5,0.0882007335323077,0.00291154362452531,NA,0.0824942128888208,0.0939072541757945,"B.1.1.7 (alpha)",2020-12-09,0.0653106451100184,0.153511378642326,0.147804857998839,0.159217899285813,NA,NA,NA,0.0045186771976911
"B.1.351 (beta)",18605.5,0.0901762889850577,0.0126890558962008,NA,0.0653061964306885,0.115046381539427,"B.1.351 (beta)",2020-12-09,0.0653106451100184,0.155486934095076,0.130616841540707,0.180357026649445,NA,NA,NA,0.000228263033957266
"P.1 (gamma)",18605.5,0.194379693276842,0.0443031799847486,NA,0.107547056106139,0.281212330447545,"P.1 (gamma)",2020-12-09,0.0653106451100184,0.25969033838686,0.172857701216157,0.346522975557563,NA,NA,NA,3.11036326886176e-08
"C.37 (lambda)",18605.5,0.00887014091160114,0.130841867663818,NA,-0.247575207379438,0.26531548920264,"C.37 (lambda)",2020-12-09,0.0653106451100184,0.0741807860216195,-0.182264562269419,0.330626134312658,NA,NA,NA,3.48790218057409e-07
"B.1.617.2 (delta)",18605.5,-0.000584801481083535,0.0203937996804586,NA,-0.0405559143627068,0.0393863114005398,"B.1.617.2 (delta)",2020-12-09,0.0653106451100184,0.0647258436289348,0.0247547307473115,0.104696956510558,NA,NA,NA,0.000830191274199648
"other",18605.5,-0.000421006367205468,2.20279441745966e-05,NA,-0.000464180344441136,-0.0003778323899698,"other",2020-12-09,0.0653106451100184,0.0648896387428129,0.0648464647655772,0.0649328127200486,1.33447342435141,1.3342308203305,1.33471605568884,0.994422488600301
"B.1.1.7 (alpha)",18606.5,0.0880920433831614,0.00290540517111373,NA,0.0823975538872821,0.0937865328790408,"B.1.1.7 (alpha)",2020-12-10,0.0647137610268574,0.152805804410019,0.147111314914139,0.158500293905898,NA,NA,NA,0.00493510830910894
"B.1.351 (beta)",18606.5,0.0900411968051247,0.0126659027699089,NA,0.0652164835444171,0.114865910065832,"B.1.351 (beta)",2020-12-10,0.0647137610268574,0.154754957831982,0.129930244571275,0.17957967109269,NA,NA,NA,0.000249789752336599
"P.1 (gamma)",18606.5,0.194157334463761,0.0442416168402419,NA,0.107445358839066,0.280869310088456,"P.1 (gamma)",2020-12-10,0.0647137610268574,0.258871095490619,0.172159119865924,0.345583071115314,NA,NA,NA,3.77738158510694e-08
"C.37 (lambda)",18606.5,0.00888841830789544,0.130465616863193,NA,-0.246819491964764,0.264596328580555,"C.37 (lambda)",2020-12-10,0.0647137610268574,0.0736021793347528,-0.182105730937907,0.329310089607413,NA,NA,NA,3.51898619767001e-07
"B.1.617.2 (delta)",18606.5,-0.000599814308306665,0.0203598610848701,NA,-0.0405044087648907,0.0393047801482774,"B.1.617.2 (delta)",2020-12-10,0.0647137610268574,0.0641139467185507,0.0242093522619667,0.104018541175135,NA,NA,NA,0.000829697469367308
"other",18606.5,-0.000459511898257238,2.28136383740952e-05,NA,-0.000504225807826785,-0.00041479798868769,"other",2020-12-10,0.0647137610268574,0.0642542491286001,0.0642095352190306,0.0642989630381697,1.33090578773158,1.33065494721153,1.33115665753284,0.993985014796752
"B.1.1.7 (alpha)",18607.5,0.0879693380204409,0.00289841875663588,NA,0.0822885416453192,0.0936501343955626,"B.1.1.7 (alpha)",2020-12-11,0.0625808523107895,0.15055019033123,0.144869393956109,0.156230986706352,NA,NA,NA,0.00538929968392952
"B.1.351 (beta)",18607.5,0.0898880963640085,0.012639273773451,NA,0.0651155749773029,0.114660617750714,"B.1.351 (beta)",2020-12-11,0.0625808523107895,0.152468948674798,0.127696427288092,0.177241470061504,NA,NA,NA,0.000273307648288113
"P.1 (gamma)",18607.5,0.19390376916912,0.0441707482770102,NA,0.107330693375996,0.280476844962245,"P.1 (gamma)",2020-12-11,0.0625808523107895,0.25648462147991,0.169911545686785,0.343057697273035,NA,NA,NA,4.58636500919898e-08
"C.37 (lambda)",18607.5,0.00891188308369434,0.130032467824271,NA,-0.245947070672741,0.263770836840129,"C.37 (lambda)",2020-12-11,0.0625808523107895,0.0714927353944839,-0.183366218361951,0.326351689150919,NA,NA,NA,3.55041796453446e-07
"B.1.617.2 (delta)",18607.5,-0.000614674575069198,0.020320793232881,NA,-0.0404426974488013,0.0392133482986629,"B.1.617.2 (delta)",2020-12-11,0.0625808523107895,0.0619661777357203,0.0221381548619883,0.101794200609452,NA,NA,NA,0.000829191253457289
"other",18607.5,-0.000501417909355581,2.37099550206229e-05,NA,-0.000547888567271067,-0.000454947251440096,"other",2020-12-11,0.0625808523107895,0.0620794344014339,0.0620329637435185,0.0621259050593494,1.31873919451087,1.31847997790108,1.3189984426787,0.993507800508879
"B.1.1.7 (alpha)",18608.5,0.0878323367488472,0.00289057661647825,NA,0.0821669106859962,0.0934977628116983,"B.1.1.7 (alpha)",2020-12-12,0.0589119189618174,0.146744255710665,0.141078829647814,0.152409681773516,NA,NA,NA,0.00588453441644601
"B.1.351 (beta)",18608.5,0.0897167069664106,0.0126091675925926,NA,0.0650031926098995,0.114430221322922,"B.1.351 (beta)",2020-12-12,0.0589119189618174,0.148628625928228,0.123915111571717,0.173342140284739,NA,NA,NA,0.000298991751357088
