"variant2","collection_date_num","prob","SE","df","asymp.LCL","asymp.UCL","collection_date","variant"
"B.1.1.7 (alpha)",18599.5,0.0158631754755549,0.00292061061653345,NA,0.010138883854284,0.0215874670968258,2020-12-03,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18599.5,0.001,0.000582263178167066,NA,0.001,0.00200587367024331,2020-12-03,"B.1.351 (beta)"
"P.1 (gamma)",18599.5,0.001,1.21015244251782e-07,NA,0.001,0.001,2020-12-03,"P.1 (gamma)"
"C.37 (lambda)",18599.5,0.001,1.97064285274992e-08,NA,0.001,0.001,2020-12-03,"C.37 (lambda)"
"B.1.617.2 (delta)",18599.5,0.001,4.01051808810488e-05,NA,0.001,0.001,2020-12-03,"B.1.617.2 (delta)"
"other",18599.5,0.983267797689032,0.00303367998590251,NA,0.977321894176043,0.989213701202021,2020-12-03,"other"
"B.1.1.7 (alpha)",18600.5,0.0166695203604878,0.00300573690694373,NA,0.0107783842758752,0.0225606564451003,2020-12-04,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18600.5,0.001,0.000600570698968099,NA,0.001,0.00208580958254603,2020-12-04,"B.1.351 (beta)"
"P.1 (gamma)",18600.5,0.001,1.40479679701097e-07,NA,0.001,0.001,2020-12-04,"P.1 (gamma)"
"C.37 (lambda)",18600.5,0.001,1.43318293365612e-08,NA,0.001,0.001,2020-12-04,"C.37 (lambda)"
"B.1.617.2 (delta)",18600.5,0.001,4.05959297535145e-05,NA,0.001,0.001,2020-12-04,"B.1.617.2 (delta)"
"other",18600.5,0.982417272252057,0.00312177579837541,NA,0.976298704119433,0.988535840384682,2020-12-04,"other"
"B.1.1.7 (alpha)",18601.5,0.0175162664357421,0.00309193285615527,NA,0.0114561893950617,0.0235763434764225,2020-12-05,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18601.5,0.001,0.000619221515846491,NA,0.001,0.00216862779929938,2020-12-05,"B.1.351 (beta)"
"P.1 (gamma)",18601.5,0.001,1.6302646552208e-07,NA,0.001,0.001,2020-12-05,"P.1 (gamma)"
"C.37 (lambda)",18601.5,0.001,1.03985690402891e-08,NA,0.001,0.001,2020-12-05,"C.37 (lambda)"
"B.1.617.2 (delta)",18601.5,0.001,4.1082212997505e-05,NA,0.001,0.001,2020-12-05,"B.1.617.2 (delta)"
"other",18601.5,0.981524131685085,0.00321094951836317,NA,0.975230786272917,0.987817477097253,2020-12-05,"other"
"B.1.1.7 (alpha)",18602.5,0.0184055599791276,0.00317914466579332,NA,0.01217455093253,0.0246365690257251,2020-12-06,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18602.5,0.00100356272302848,0.000638211223504029,NA,0.001,0.00225443373562562,2020-12-06,"B.1.351 (beta)"
"P.1 (gamma)",18602.5,0.001,1.89132868830976e-07,NA,0.001,0.001,2020-12-06,"P.1 (gamma)"
"C.37 (lambda)",18602.5,0.001,7.52998918365231e-09,NA,0.001,0.001,2020-12-06,"C.37 (lambda)"
"B.1.617.2 (delta)",18602.5,0.001,4.15642208111047e-05,NA,0.001,0.001,2020-12-06,"B.1.617.2 (delta)"
"other",18602.5,0.980586115326727,0.00330114243211514,NA,0.974115995051945,0.98705623560151,2020-12-06,"other"
"B.1.1.7 (alpha)",18603.5,0.0193396721610345,0.00326731353355506,NA,0.0129358553090663,0.0257434890130027,2020-12-07,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18603.5,0.00105459322603881,0.00065753458559217,NA,0.001,0.00234333733238894,2020-12-07,"B.1.351 (beta)"
"P.1 (gamma)",18603.5,0.001,2.19347754611032e-07,NA,0.001,0.001,2020-12-07,"P.1 (gamma)"
"C.37 (lambda)",18603.5,0.001,5.44405665867408e-09,NA,0.001,0.001,2020-12-07,"C.37 (lambda)"
"B.1.617.2 (delta)",18603.5,0.001,4.20421559809047e-05,NA,0.001,0.001,2020-12-07,"B.1.617.2 (delta)"
"other",18603.5,0.979600831414351,0.00339229044948718,NA,0.972952064308256,0.986249598520445,2020-12-07,"other"
"B.1.1.7 (alpha)",18604.5,0.0203210066232068,0.00335637536273847,NA,0.0137426317936419,0.0268993814527718,2020-12-08,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18604.5,0.00110819412677788,0.00067718547771522,NA,0.001,0.00243545327395326,2020-12-08,"B.1.351 (beta)"
"P.1 (gamma)",18604.5,0.001,2.54301854480471e-07,NA,0.001,0.001,2020-12-08,"P.1 (gamma)"
"C.37 (lambda)",18604.5,0.001,3.93103740624799e-09,NA,0.001,0.001,2020-12-08,"C.37 (lambda)"
"B.1.617.2 (delta)",18604.5,0.001,4.25162325782761e-05,NA,0.001,0.001,2020-12-08,"B.1.617.2 (delta)"
"other",18604.5,0.978565749171653,0.00348432379676038,NA,0.971736600019527,0.985394898323779,2020-12-08,"other"
"B.1.1.7 (alpha)",18605.5,0.0213521074885286,0.0034462604629918,NA,0.0145975610997203,0.0281066538773369,2020-12-09,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18605.5,0.00116449894130336,0.000697156827741353,NA,0.001,0.0025309012152526,2020-12-09,"B.1.351 (beta)"
"P.1 (gamma)",18605.5,0.001,2.94719413334886e-07,NA,0.001,0.001,2020-12-09,"P.1 (gamma)"
"C.37 (lambda)",18605.5,0.001,2.83588310655085e-09,NA,0.001,0.001,2020-12-09,"C.37 (lambda)"
"B.1.617.2 (delta)",18605.5,0.001,4.29866746054906e-05,NA,0.001,0.001,2020-12-09,"B.1.617.2 (delta)"
"other",18605.5,0.977478190448768,0.00357716670118343,NA,0.970467072547752,0.984489308349783,2020-12-09,"other"
"B.1.1.7 (alpha)",18606.5,0.0224356678190046,0.00353689324399531,NA,0.0155034844436108,0.0293678511943985,2020-12-10,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18606.5,0.00122364837247587,0.000717440553479687,NA,0.001,0.00262980601834454,2020-12-10,"B.1.351 (beta)"
"P.1 (gamma)",18606.5,0.001,3.41431379810806e-07,NA,0.001,0.001,2020-12-10,"P.1 (gamma)"
"C.37 (lambda)",18606.5,0.001,2.04455737869719e-09,NA,0.001,0.001,2020-12-10,"C.37 (lambda)"
"B.1.617.2 (delta)",18606.5,0.001,4.34537145911021e-05,NA,0.001,0.001,2020-12-10,"B.1.617.2 (delta)"
"other",18606.5,0.976335320897697,0.00367073706911201,NA,0.969140808445521,0.983529833349872,2020-12-10,"other"
"B.1.1.7 (alpha)",18607.5,0.0235745385383614,0.00362819190426926,NA,0.0164634130769939,0.030685663999729,2020-12-11,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18607.5,0.00128579068324456,0.000738027497824145,NA,0.001,0.0027322979985801,2020-12-11,"B.1.351 (beta)"
"P.1 (gamma)",18607.5,0.001,3.95390322680956e-07,NA,0.001,0.001,2020-12-11,"P.1 (gamma)"
"C.37 (lambda)",18607.5,0.001,1.47355795297491e-09,NA,0.001,0.001,2020-12-11,"C.37 (lambda)"
"B.1.617.2 (delta)",18607.5,0.001,4.39175921334683e-05,NA,0.001,0.001,2020-12-11,"B.1.617.2 (delta)"
"other",18607.5,0.975134140666685,0.00376494616015879,NA,0.967754981789042,0.982513299544329,2020-12-11,"other"
"B.1.1.7 (alpha)",18608.5,0.0247717378345872,0.00372006811786747,NA,0.0174805383035312,0.0320629373656431,2020-12-12,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18608.5,0.00135108208430475,0.000758907361515663,NA,0.001,0.00283851318047776,2020-12-12,"B.1.351 (beta)"
"P.1 (gamma)",18608.5,0.001,4.57687272218838e-07,NA,0.001,0.001,2020-12-12,"P.1 (gamma)"
"C.37 (lambda)",18608.5,0.001,1.06197409888696e-09,NA,0.001,0.001,2020-12-12,"C.37 (lambda)"
"B.1.617.2 (delta)",18608.5,0.001,4.43785523907543e-05,NA,0.001,0.001,2020-12-12,"B.1.617.2 (delta)"
"other",18608.5,0.9738714745983,0.00385969826039369,NA,0.966306605016737,0.981436344179864,2020-12-12,"other"
"B.1.1.7 (alpha)",18609.5,0.0260304610562061,0.00381242672237362,NA,0.0185582419866557,0.0335026801257565,2020-12-13,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18609.5,0.00141968713574433,0.000780068633734586,NA,0.001,0.00294859356333349,2020-12-13,"B.1.351 (beta)"
"P.1 (gamma)",18609.5,0.001,5.29570703094779e-07,NA,0.001,0.001,2020-12-13,"P.1 (gamma)"
"C.37 (lambda)",18609.5,0.001,7.65520268529706e-10,NA,0.001,0.001,2020-12-13,"C.37 (lambda)"
"B.1.617.2 (delta)",18609.5,0.001,4.48368445152154e-05,NA,0.001,0.001,2020-12-13,"B.1.617.2 (delta)"
