"variant2","collection_date_num","prob","SE","df","asymp.LCL","asymp.UCL","collection_date","variant"
"B.1.1.7 (alpha)",18599.5,0.00265818552691601,0.000436635072432786,NA,0.00180239651056071,0.00351397454327131,2020-12-03,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18599.5,0.000132656880776606,9.3513604262233e-05,NA,-5.06264156419015e-05,0.000315940177195114,2020-12-03,"B.1.351 (beta)"
"P.1 (gamma)",18599.5,9.66361085781994e-09,2.83799057878111e-08,NA,-4.59599823709297e-08,6.52872040865696e-08,2020-12-03,"P.1 (gamma)"
"C.37 (lambda)",18599.5,3.30742338775377e-07,9.95434196575241e-07,NA,-1.62027283549166e-06,2.28175751304241e-06,2020-12-03,"C.37 (lambda)"
"B.1.617.2 (delta)",18599.5,0.000832865123015516,0.000874708770987682,NA,-0.000881532565081635,0.00254726281111267,2020-12-03,"B.1.617.2 (delta)"
"other",18599.5,0.996375952063342,0.00098719566920151,NA,0.994441084106013,0.998310820020671,2020-12-03,"other"
"B.1.1.7 (alpha)",18600.5,0.00290432997519258,0.000468577944939774,NA,0.00198593407916083,0.00382272587122433,2020-12-04,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18600.5,0.000145238089658226,0.000100554891407275,NA,-5.1845875969368e-05,0.00034232205528582,2020-12-04,"B.1.351 (beta)"
"P.1 (gamma)",18600.5,1.1744952430044e-08,3.39718629156778e-08,NA,-5.48386753724163e-08,7.83285802325043e-08,2020-12-04,"P.1 (gamma)"
"C.37 (lambda)",18600.5,3.33690026263357e-07,1.04763980170676e-06,NA,-1.71964625385258e-06,2.3870263063793e-06,2020-12-04,"C.37 (lambda)"
"B.1.617.2 (delta)",18600.5,0.000832458058216495,0.000858507771546204,NA,-0.000850186254461806,0.0025151023708948,2020-12-04,"B.1.617.2 (delta)"
"other",18600.5,0.996117628441954,0.000988752061466593,NA,0.99417971001184,0.998055546872068,2020-12-04,"other"
"B.1.1.7 (alpha)",18601.5,0.00317315716848532,0.000502676061196227,NA,0.00218793019265026,0.00415838414432038,2020-12-05,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18601.5,0.00015900636105685,0.000108087980470387,NA,-5.28421878267774e-05,0.000370854909940477,2020-12-05,"B.1.351 (beta)"
"P.1 (gamma)",18601.5,1.42738320794107e-08,4.06542046129621e-08,NA,-6.54069447821172e-08,9.39546089409386e-08,2020-12-05,"P.1 (gamma)"
"C.37 (lambda)",18601.5,3.36658789076878e-07,1.10071590320563e-06,NA,-1.82070473841663e-06,2.49402231657039e-06,2020-12-05,"C.37 (lambda)"
"B.1.617.2 (delta)",18601.5,0.000832034162850085,0.000842358681972987,NA,-0.000818958515881599,0.00248302684158177,2020-12-05,"B.1.617.2 (delta)"
"other",18601.5,0.995835451374987,0.000992884029773257,NA,0.993889434435806,0.997781468314167,2020-12-05,"other"
"B.1.1.7 (alpha)",18602.5,0.00346670281714627,0.000539049637479133,NA,0.0024101849418078,0.00452322069248474,2020-12-06,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18602.5,0.00017407019047935,0.00011614150366876,NA,-5.35629738217452e-05,0.000401703354780446,2020-12-06,"B.1.351 (beta)"
"P.1 (gamma)",18602.5,1.73458016490469e-08,4.8635636922128e-08,NA,-7.79782950834904e-08,1.12669898381584e-07,2020-12-06,"P.1 (gamma)"
"C.37 (lambda)",18602.5,3.39650900633515e-07,1.15465402549025e-06,NA,-1.92342940393157e-06,2.6027312051986e-06,2020-12-06,"C.37 (lambda)"
"B.1.617.2 (delta)",18602.5,0.000831594608376478,0.000826269891431207,NA,-0.000787864620338507,0.00245105383709146,2020-12-06,"B.1.617.2 (delta)"
"other",18602.5,0.995527275387296,0.00099986906846026,NA,0.993567568023858,0.997486982750733,2020-12-06,"other"
"B.1.1.7 (alpha)",18603.5,0.00378717532245096,0.000577822340534312,NA,0.00265466434554107,0.00491968629936085,2020-12-07,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18603.5,0.000190547333389056,0.000124745014386438,NA,-5.3948402059293e-05,0.000435043068837406,2020-12-07,"B.1.351 (beta)"
"P.1 (gamma)",18603.5,2.10765507061432e-08,5.81636949120834e-08,NA,-9.29221965293159e-08,1.35075297941602e-07,2020-12-07,"P.1 (gamma)"
"C.37 (lambda)",18603.5,3.42668647344993e-07,1.20944689686646e-06,NA,-2.02780371172699e-06,2.71314100641698e-06,2020-12-07,"C.37 (lambda)"
"B.1.617.2 (delta)",18603.5,0.000831140409069898,0.000810249647727974,NA,-0.000756919718963197,0.00241920053710299,2020-12-07,"B.1.617.2 (delta)"
"other",18603.5,0.995190773189892,0.00100999010616372,NA,0.993211228957069,0.997170317422715,2020-12-07,"other"
"B.1.1.7 (alpha)",18604.5,0.00413696885729841,0.000619120925222643,NA,0.00292351414178691,0.0053504235728099,2020-12-08,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18604.5,0.00020856549150857,0.000133928914057434,NA,-5.39303565325607e-05,0.000471061339549701,2020-12-08,"B.1.351 (beta)"
"P.1 (gamma)",18604.5,2.56060670720108e-08,6.95316723422514e-08,NA,-1.10673506503642e-07,1.61885640647663e-07,2020-12-08,"P.1 (gamma)"
"C.37 (lambda)",18604.5,3.45714322239666e-07,1.26508830748987e-06,NA,-2.13381319770321e-06,2.82524184218254e-06,2020-12-08,"C.37 (lambda)"
"B.1.617.2 (delta)",18604.5,0.000830672409982153,0.000794306067111122,NA,-0.000726138874257302,0.00238748369422161,2020-12-08,"B.1.617.2 (delta)"
"other",18604.5,0.994823421920822,0.00102353047218277,NA,0.992817339058264,0.996829504783379,2020-12-08,"other"
"B.1.1.7 (alpha)",18605.5,0.0045186771976911,0.000663074789529617,NA,0.00321907449115658,0.00581827990422563,2020-12-09,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18605.5,0.000228263033957266,0.000143724361039793,NA,-5.34315373817596e-05,0.000509957605296291,2020-12-09,"B.1.351 (beta)"
"P.1 (gamma)",18605.5,3.11036326886176e-08,8.30867143039741e-08,NA,-1.3174333494094e-07,1.93950600318176e-07,2020-12-09,"P.1 (gamma)"
"C.37 (lambda)",18605.5,3.48790218057409e-07,1.32157297918314e-06,NA,-2.24144522408285e-06,2.93902566019767e-06,2020-12-09,"C.37 (lambda)"
"B.1.617.2 (delta)",18605.5,0.000830191274199648,0.000778447145048834,NA,-0.000695537093964094,0.00235591964236339,2020-12-09,"B.1.617.2 (delta)"
