"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",56,1930,11,1997,2021-12-14
"20 - 24",10,661,3,674,2021-12-14
"25 - 29",27,1108,2,1137,2021-12-14
"30 - 34",29,1610,12,1651,2021-12-14
"35 - 39",39,1803,11,1853,2021-12-14
"40 - 44",42,2179,16,2237,2021-12-14
"45 - 49",61,3408,30,3499,2021-12-14
"50 - 54",114,5165,86,5365,2021-12-14
"55 - 59",113,6237,153,6503,2021-12-14
"60 - 64",174,6374,284,6832,2021-12-14
"65 - 69",192,6307,605,7104,2021-12-14
"70 - 74",269,7409,1268,8946,2021-12-14
"75 - 79",336,7115,2138,9589,2021-12-14
"80 - 84",271,5721,2513,8505,2021-12-14
"85 - 89",186,3650,1866,5702,2021-12-14
">90",80,1617,805,2502,2021-12-14
