"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",62,4436,16,4514,2022-11-15
"20 - 24",7,1175,4,1186,2022-11-15
"25 - 29",11,1989,3,2003,2022-11-15
"30 - 34",13,2711,16,2740,2022-11-15
"35 - 39",17,2761,17,2795,2022-11-15
"40 - 44",19,3019,24,3062,2022-11-15
"45 - 49",14,4320,47,4381,2022-11-15
"50 - 54",48,6668,123,6839,2022-11-15
"55 - 59",49,8232,219,8500,2022-11-15
"60 - 64",65,8956,414,9435,2022-11-15
"65 - 69",95,9533,828,10456,2022-11-15
"70 - 74",127,11550,1651,13328,2022-11-15
"75 - 79",176,11814,2787,14777,2022-11-15
"80 - 84",153,10161,3211,13525,2022-11-15
"85 - 89",107,6947,2484,9538,2022-11-15
">90",58,3352,1184,4594,2022-11-15
