"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,26,3,30,2021-10-01
"20 - 24",5,1,58,0,64,2021-10-01
"25 - 29",6,3,117,7,133,2021-10-01
"30 - 34",3,3,210,7,223,2021-10-01
"35 - 39",7,9,242,15,273,2021-10-01
"40 - 44",5,12,346,32,395,2021-10-01
"45 - 49",11,4,654,69,738,2021-10-01
"50 - 54",19,16,1079,155,1269,2021-10-01
"55 - 59",18,16,1462,271,1767,2021-10-01
"60 - 64",20,26,1555,476,2077,2021-10-01
"65 - 69",13,21,1548,748,2330,2021-10-01
"70 - 74",10,24,1367,1021,2422,2021-10-01
"75 - 79",10,11,675,713,1409,2021-10-01
"80 - 84",2,1,143,234,380,2021-10-01
"85 - 89",0,0,19,40,59,2021-10-01
">90",0,0,3,2,5,2021-10-01
