"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","Hospital_Currently","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum"
2023-01-01,104,4,8,0,55,35,1129,108,8,4,0,8
2023-01-02,137,6,9,0,59,39,1215,143,9,10,0,17
2023-01-03,117,1,5,0,59,38,1218,118,5,11,0,22
2023-01-04,99,2,9,0,59,38,1172,101,9,13,0,31
2023-01-05,98,2,13,0,63,40,1143,100,13,15,0,44
2023-01-06,92,3,12,1,68,42,1083,95,13,18,1,56
2023-01-07,74,2,2,0,54,38,1010,76,2,20,1,58
2023-01-08,84,5,8,0,58,40,1045,89,8,25,1,66
2023-01-09,112,3,4,0,55,39,1110,115,4,28,1,70
2023-01-10,83,1,5,0,49,35,1076,84,5,29,1,75
2023-01-11,76,1,4,0,49,33,1010,77,4,30,1,79
2023-01-12,82,3,6,0,46,32,985,85,6,33,1,85
2023-01-13,63,2,7,0,50,33,930,65,7,35,1,92
2023-01-14,50,1,4,0,49,33,865,51,4,36,1,96
2023-01-15,53,4,1,0,43,30,869,57,1,40,1,97
2023-01-16,81,4,5,0,45,31,913,85,5,44,1,102
2023-01-17,65,4,6,1,47,30,882,69,7,48,2,108
2023-01-18,61,2,3,0,42,29,856,63,3,50,2,111
2023-01-19,58,5,2,0,39,26,831,63,2,55,2,113
2023-01-20,52,2,4,0,36,24,792,54,4,57,2,117
2023-01-21,41,1,0,0,32,22,736,42,0,58,2,117
2023-01-22,37,3,1,0,28,21,747,40,1,61,2,118
2023-01-23,63,1,7,0,34,26,785,64,7,62,2,125
2023-01-24,39,2,3,0,33,25,732,41,3,64,2,128
2023-01-25,41,0,2,1,28,22,688,41,3,64,3,130
2023-01-26,46,4,2,0,22,17,690,50,2,68,3,132
2023-01-27,56,2,3,0,21,16,680,58,3,70,3,135
2023-01-28,28,1,2,0,22,18,629,29,2,71,3,137
2023-01-29,44,0,3,0,22,19,642,44,3,71,3,140
2023-01-30,75,1,3,0,24,20,698,76,3,72,3,143
2023-01-31,48,1,4,1,23,18,683,49,5,73,4,147
2023-02-01,61,5,1,0,23,18,690,66,1,78,4,148
2023-02-02,51,1,5,0,22,19,678,52,5,79,4,153
2023-02-03,55,0,4,0,22,19,673,55,4,79,4,157
2023-02-04,42,1,2,0,21,18,655,43,2,80,4,159
2023-02-05,47,0,2,0,20,17,678,47,2,80,4,161
2023-02-06,65,3,6,0,23,18,730,68,6,83,4,167
2023-02-07,61,0,4,0,21,15,728,61,4,83,4,171
2023-02-08,60,0,7,0,27,19,718,60,7,83,4,178
2023-02-09,77,1,4,0,29,21,743,78,4,84,4,182
2023-02-10,69,2,2,0,24,17,755,71,2,86,4,184
2023-02-11,66,1,3,0,22,14,745,67,3,87,4,187
2023-02-12,58,0,0,0,20,14,769,58,0,87,4,187
2023-02-13,99,2,3,0,18,15,842,101,3,89,4,190
2023-02-14,75,1,2,0,20,17,835,76,2,90,4,192
2023-02-15,76,0,9,0,26,21,835,76,9,90,4,201
2023-02-16,81,0,4,0,29,23,848,81,4,90,4,205
2023-02-17,94,2,1,0,27,21,867,96,1,92,4,206
2023-02-18,74,2,2,0,26,21,853,76,2,94,4,208
2023-02-19,75,2,9,1,31,23,889,77,10,96,5,217
2023-02-20,120,3,7,0,38,24,985,123,7,99,5,224
2023-02-21,95,2,8,0,40,26,981,97,8,101,5,232
2023-02-22,113,2,8,1,39,29,1003,115,9,103,6,240
2023-02-23,103,0,4,0,38,29,1031,103,4,103,6,244
2023-02-24,103,0,5,0,33,28,1048,103,5,103,6,249
2023-02-25,101,0,6,0,36,30,1046,101,6,103,6,255
2023-02-26,93,1,8,0,37,29,1092,94,8,104,6,263
2023-02-27,166,3,15,0,48,32,1216,169,15,107,6,278
2023-02-28,142,1,12,0,58,34,1250,143,12,108,6,290
2023-03-01,139,2,15,1,57,34,1243,141,16,110,7,305
2023-03-02,145,2,7,0,57,37,1261,147,7,112,7,312
2023-03-03,149,4,11,0,59,34,1272,153,11,116,7,323
2023-03-04,109,0,2,0,52,29,1243,109,2,116,7,325
2023-03-05,98,1,9,0,54,29,1268,99,9,117,7,334
2023-03-06,189,4,12,0,62,33,1411,193,12,121,7,346
2023-03-07,166,3,16,0,73,37,1409,169,16,124,7,362
2023-03-08,142,1,3,0,61,33,1396,143,3,125,7,365
2023-03-09,135,1,6,1,57,33,1359,136,7,126,8,371
2023-03-10,146,2,14,0,60,36,1361,148,14,128,8,385
2023-03-11,100,0,8,0,60,39,1290,100,8,128,8,393
2023-03-12,107,0,10,0,61,40,1333,107,10,128,8,403
2023-03-13,172,0,10,0,64,41,1449,172,10,128,8,413
2023-03-14,149,0,6,0,64,40,1427,149,6,128,8,419
2023-03-15,142,2,4,0,59,36,1417,144,4,130,8,423
2023-03-16,135,1,11,1,66,35,1383,136,12,131,9,434
2023-03-17,128,4,4,0,57,32,1357,132,4,135,9,438
2023-03-18,94,0,5,0,50,32,1296,94,5,135,9,443
2023-03-19,107,2,7,0,50,32,1335,109,7,137,9,450
2023-03-20,145,1,14,1,59,35,1417,146,15,138,10,464
2023-03-21,112,1,11,0,65,39,1365,113,11,139,10,475
2023-03-22,114,4,5,0,59,37,1338,118,5,143,10,480
2023-03-23,121,2,8,0,58,37,1291,123,8,145,10,488
2023-03-24,104,0,4,1,53,33,1240,104,5,145,11,492
2023-03-25,85,0,5,0,48,32,1176,85,5,145,11,497
2023-03-26,83,0,4,0,44,31,1193,83,4,145,11,501
2023-03-27,104,2,6,1,51,34,1257,106,7,147,12,507
2023-03-28,96,0,15,0,61,39,1202,96,15,147,12,522
2023-03-29,94,2,2,0,56,36,1163,96,2,149,12,524
2023-03-30,90,1,6,0,53,35,1134,91,6,150,12,530
2023-03-31,97,2,5,0,52,37,1115,99,5,152,12,535
2023-04-01,60,0,3,0,50,35,1036,60,3,152,12,538
2023-04-02,54,0,5,0,51,36,1042,54,5,152,12,543
2023-04-03,78,1,7,0,54,36,1086,79,7,153,12,550
2023-04-04,64,2,2,0,45,30,1038,66,2,155,12,552
2023-04-05,71,1,2,0,39,27,1010,72,2,156,12,554
2023-04-06,72,2,8,0,43,30,984,74,8,158,12,562
2023-04-07,68,1,4,0,41,26,976,69,4,159,12,566
2023-04-08,55,1,2,0,41,27,912,56,2,160,12,568
2023-04-09,52,0,4,0,40,26,899,52,4,160,12,572
2023-04-10,51,1,5,0,41,28,908,52,5,161,12,577
2023-04-11,87,2,2,0,39,27,958,89,2,163,12,579
2023-04-12,69,1,2,0,39,26,939,70,2,164,12,581
2023-04-13,47,1,2,0,38,25,896,48,2,165,12,583
2023-04-14,48,1,4,0,37,27,841,49,4,166,12,587
2023-04-15,41,0,1,0,35,27,792,41,1,166,12,588
2023-04-16,28,0,3,0,35,26,783,28,3,166,12,591
2023-04-17,57,1,5,0,36,24,823,58,5,167,12,596
2023-04-18,62,1,2,0,36,24,813,63,2,168,12,598
2023-04-19,54,0,1,0,31,23,787,54,1,168,12,599
2023-04-20,51,0,1,0,31,23,782,51,1,168,12,600
2023-04-21,45,1,3,0,30,23,749,46,3,169,12,603
2023-04-22,45,0,1,0,29,22,720,45,1,169,12,604
2023-04-23,35,0,6,0,34,26,721,35,6,169,12,610
2023-04-24,43,1,2,0,34,27,749,44,2,170,12,612
2023-04-25,37,1,2,0,34,25,725,38,2,171,12,614
2023-04-26,37,0,3,0,33,24,689,37,3,171,12,617
2023-04-27,30,1,3,0,32,24,637,31,3,172,12,620
2023-04-28,39,0,3,0,33,24,650,39,3,172,12,623
2023-04-29,23,1,1,0,33,24,614,24,1,173,12,624
2023-04-30,33,1,1,0,32,22,627,34,1,174,12,625
2023-05-01,42,0,3,0,34,23,651,42,3,174,12,628
2023-05-02,28,0,1,0,34,23,617,28,1,174,12,629
2023-05-03,27,1,1,0,32,24,600,28,1,175,12,630
2023-05-04,23,0,5,0,35,26,565,23,5,175,12,635
2023-05-05,29,0,3,0,35,26,550,29,3,175,12,638
2023-05-06,15,1,5,0,35,25,542,16,5,176,12,643
2023-05-07,18,3,3,0,33,24,548,21,3,179,12,646
2023-05-08,16,1,1,0,32,22,554,17,1,180,12,647
2023-05-09,10,1,1,0,31,22,537,11,1,181,12,648
2023-05-10,1,0,1,0,27,20,512,1,1,181,12,649
