"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,2,3834,264
2,21,8548,687
3,25,9802,945
4,28,9549,1076
5,29,8359,1192
6,17,6906,1069
7,3,5567,927
8,15,4842,835
9,17,3903,706
10,13,3157,587
11,18,2691,512
12,15,2194,407
13,5,1714,383
14,6,1521,313
15,10,1439,258
16,9,1130,213
17,9,924,198
18,9,831,142
19,4,725,145
20,3,607,114
21,5,538,107
22,6,515,103
23,2,460,78
24,3,391,79
25,2,327,72
26,7,292,48
27,4,274,46
28,4,280,48
29,3,241,32
30,7,206,28
31,9,174,30
32,3,176,28
33,4,144,27
34,2,136,31
35,0,126,23
36,4,131,18
37,2,133,14
38,3,88,13
39,1,74,15
40,8,90,13
41,4,65,10
42,6,74,6
43,1,68,10
44,4,70,6
45,6,65,10
46,4,50,3
47,8,49,13
48,0,35,8
49,2,44,8
50,1,43,4
51,6,45,1
52,7,24,0
53,8,29,4
54,12,33,3
55,4,28,6
56,7,24,2
57,10,22,2
58,5,23,3
59,15,23,2
60,7,13,1
