Version,Date_of_report,Date_of_publication,Security_region_name,Security_region_code,Source_and_contact_tracing_phase,Total_reported,Reports_with_settings,Setting_reported,Number_settings_reported
4,2022-03-02T10:00:00Z,2020-12-14,Groningen,VR01,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,Fryslân,VR02,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,Drenthe,VR03,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,IJsselland,VR04,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,Twente,VR05,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,Noord- en Oost-Gelderland,VR06,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,Gelderland-Midden,VR07,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,Gelderland-Zuid,VR08,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,Utrecht,VR09,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,Noord-Holland-Noord,VR10,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,Zaanstreek-Waterland,VR11,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,Kennemerland,VR12,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,Amsterdam-Amstelland,VR13,4,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,Gooi en Vechtstreek,VR14,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,Haaglanden,VR15,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,Hollands-Midden,VR16,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,Rotterdam-Rijnmond,VR17,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,Zuid-Holland-Zuid,VR18,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,Zeeland,VR19,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-14,Midden- en West-Brabant,VR20,2,-9999,-9999,-9999,-9999
