Version,Date_of_report,Date_of_statistics,Perc_covid_symptoms,MA_perc_covid_symptoms
1,2023-03-07T10:00:00Z,2020-11-01,"3,90",
1,2023-03-07T10:00:00Z,2020-11-02,"4,96",
1,2023-03-07T10:00:00Z,2020-11-03,"4,64",
1,2023-03-07T10:00:00Z,2020-11-04,"4,34","4,44"
1,2023-03-07T10:00:00Z,2020-11-05,"4,20","4,32"
1,2023-03-07T10:00:00Z,2020-11-06,"5,52","4,05"
1,2023-03-07T10:00:00Z,2020-11-07,"3,55","4,09"
1,2023-03-07T10:00:00Z,2020-11-08,"3,03","3,87"
1,2023-03-07T10:00:00Z,2020-11-09,"3,05","3,64"
1,2023-03-07T10:00:00Z,2020-11-10,"4,97","3,30"
1,2023-03-07T10:00:00Z,2020-11-11,"2,76","3,24"
1,2023-03-07T10:00:00Z,2020-11-12,"2,61","3,35"
1,2023-03-07T10:00:00Z,2020-11-13,"3,12","3,33"
1,2023-03-07T10:00:00Z,2020-11-14,"3,13","3,02"
1,2023-03-07T10:00:00Z,2020-11-15,"3,82","2,99"
1,2023-03-07T10:00:00Z,2020-11-16,"2,88","2,98"
1,2023-03-07T10:00:00Z,2020-11-17,"2,85","3,04"
1,2023-03-07T10:00:00Z,2020-11-18,"2,49","2,98"
1,2023-03-07T10:00:00Z,2020-11-19,"2,55","2,79"
1,2023-03-07T10:00:00Z,2020-11-20,"3,56","2,81"
1,2023-03-07T10:00:00Z,2020-11-21,"2,72","2,83"
1,2023-03-07T10:00:00Z,2020-11-22,"2,47","2,85"
1,2023-03-07T10:00:00Z,2020-11-23,"3,00","2,85"
1,2023-03-07T10:00:00Z,2020-11-24,"3,04","2,80"
1,2023-03-07T10:00:00Z,2020-11-25,"2,63","2,77"
1,2023-03-07T10:00:00Z,2020-11-26,"2,52","2,88"
1,2023-03-07T10:00:00Z,2020-11-27,"3,24","2,83"
1,2023-03-07T10:00:00Z,2020-11-28,"2,49","2,82"
1,2023-03-07T10:00:00Z,2020-11-29,"3,26","2,77"
1,2023-03-07T10:00:00Z,2020-11-30,"2,66","2,84"
