Version,Date_of_report,Date_of_statistics,Region_level,Region_code,Region_name,Birth_year,Vaccination_coverage_partly,Vaccination_coverage_completed,Age_group
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0014,Groningen,<=2009,80,68,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0014,Groningen,<2004,81,70,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0014,Groningen,2004-2009,58,46,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0034,Almere,<=2009,70,60,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0034,Almere,<2004,73,64,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0034,Almere,2004-2009,39,28,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0037,Stadskanaal,<=2009,80,70,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0037,Stadskanaal,<2004,82,73,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0037,Stadskanaal,2004-2009,52,40,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0047,Veendam,<=2009,79,71,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0047,Veendam,<2004,81,73,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0047,Veendam,2004-2009,56,43,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0050,Zeewolde,<=2009,77,64,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0050,Zeewolde,<2004,79,67,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0050,Zeewolde,2004-2009,53,40,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0059,Achtkarspelen,<=2009,71,61,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0059,Achtkarspelen,<2004,74,64,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0059,Achtkarspelen,2004-2009,36,26,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0060,Ameland,<=2009,89,85,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0060,Ameland,<2004,91,87,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0060,Ameland,2004-2009,72,60,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0072,Harlingen,<=2009,80,71,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0072,Harlingen,<2004,82,74,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0072,Harlingen,2004-2009,52,42,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0074,Heerenveen,<=2009,79,70,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0074,Heerenveen,<2004,81,73,18+
