Version,Date_of_report,Date_of_statistics,Populatie,Region_level,Region_code,Region_name,Birth_year,Vaccination_coverage_partly,Vaccination_coverage_completed,Age_group
2,2022-02-02T10:30:00Z,2022-01-24,212020,Gemeente,GM0014,Groningen,<=2009,84,83,12+
2,2022-02-02T10:30:00Z,2022-01-24,200613,Gemeente,GM0014,Groningen,<2004,85,84,18+
2,2022-02-02T10:30:00Z,2022-01-24,11407,Gemeente,GM0014,Groningen,2004-2009,74,73,12-17
2,2022-02-02T10:30:00Z,2022-01-24,185914,Gemeente,GM0034,Almere,<=2009,76,75,12+
2,2022-02-02T10:30:00Z,2022-01-24,169649,Gemeente,GM0034,Almere,<2004,78,76,18+
2,2022-02-02T10:30:00Z,2022-01-24,16265,Gemeente,GM0034,Almere,2004-2009,56,54,12-17
2,2022-02-02T10:30:00Z,2022-01-24,28551,Gemeente,GM0037,Stadskanaal,<=2009,85,83,12+
2,2022-02-02T10:30:00Z,2022-01-24,26489,Gemeente,GM0037,Stadskanaal,<2004,86,84,18+
2,2022-02-02T10:30:00Z,2022-01-24,2062,Gemeente,GM0037,Stadskanaal,2004-2009,69,66,12-17
2,2022-02-02T10:30:00Z,2022-01-24,24601,Gemeente,GM0047,Veendam,<=2009,84,82,12+
2,2022-02-02T10:30:00Z,2022-01-24,22711,Gemeente,GM0047,Veendam,<2004,85,83,18+
2,2022-02-02T10:30:00Z,2022-01-24,1890,Gemeente,GM0047,Veendam,2004-2009,72,71,12-17
2,2022-02-02T10:30:00Z,2022-01-24,20155,Gemeente,GM0050,Zeewolde,<=2009,82,81,12+
2,2022-02-02T10:30:00Z,2022-01-24,18373,Gemeente,GM0050,Zeewolde,<2004,83,82,18+
2,2022-02-02T10:30:00Z,2022-01-24,1782,Gemeente,GM0050,Zeewolde,2004-2009,70,68,12-17
2,2022-02-02T10:30:00Z,2022-01-24,24495,Gemeente,GM0059,Achtkarspelen,<=2009,76,75,12+
2,2022-02-02T10:30:00Z,2022-01-24,22275,Gemeente,GM0059,Achtkarspelen,<2004,79,77,18+
2,2022-02-02T10:30:00Z,2022-01-24,2220,Gemeente,GM0059,Achtkarspelen,2004-2009,55,54,12-17
2,2022-02-02T10:30:00Z,2022-01-24,3346,Gemeente,GM0060,Ameland,<=2009,91,90,12+
2,2022-02-02T10:30:00Z,2022-01-24,3086,Gemeente,GM0060,Ameland,<2004,92,91,18+
2,2022-02-02T10:30:00Z,2022-01-24,260,Gemeente,GM0060,Ameland,2004-2009,82,80,12-17
2,2022-02-02T10:30:00Z,2022-01-24,14239,Gemeente,GM0072,Harlingen,<=2009,84,83,12+
2,2022-02-02T10:30:00Z,2022-01-24,13092,Gemeente,GM0072,Harlingen,<2004,86,84,18+
2,2022-02-02T10:30:00Z,2022-01-24,1147,Gemeente,GM0072,Harlingen,2004-2009,70,69,12-17
2,2022-02-02T10:30:00Z,2022-01-24,45059,Gemeente,GM0074,Heerenveen,<=2009,84,83,12+
