Version,Date_of_report,Date_of_statistics,Region_level,Region_code,Region_name,Birth_year,Vaccination_coverage_partly,Vaccination_coverage_completed,Age_group
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0014,Groningen,<=2010,83,81,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0014,Groningen,<2005,84,82,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0014,Groningen,2005-2010,65,60,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0034,Almere,<=2010,74,73,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0034,Almere,<2005,77,76,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0034,Almere,2005-2010,48,46,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0037,Stadskanaal,<=2010,82,81,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0037,Stadskanaal,<2005,84,83,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0037,Stadskanaal,2005-2010,56,52,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0047,Veendam,<=2010,83,82,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0047,Veendam,<2005,85,84,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0047,Veendam,2005-2010,61,60,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0050,Zeewolde,<=2010,80,78,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0050,Zeewolde,<2005,81,80,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0050,Zeewolde,2005-2010,59,57,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0059,Achtkarspelen,<=2010,75,74,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0059,Achtkarspelen,<2005,78,77,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0059,Achtkarspelen,2005-2010,45,44,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0060,Ameland,<=2010,89,87,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0060,Ameland,<2005,90,89,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0060,Ameland,2005-2010,73,70,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0072,Harlingen,<=2010,83,82,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0072,Harlingen,<2005,85,84,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0072,Harlingen,2005-2010,61,59,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0074,Heerenveen,<=2010,83,81,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0074,Heerenveen,<2005,84,83,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0074,Heerenveen,2005-2010,61,59,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0080,Leeuwarden,<=2010,80,79,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0080,Leeuwarden,<2005,82,80,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0080,Leeuwarden,2005-2010,56,54,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0085,Ooststellingwerf,<=2010,82,81,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0085,Ooststellingwerf,<2005,84,83,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0085,Ooststellingwerf,2005-2010,58,56,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0086,Opsterland,<=2010,81,80,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0086,Opsterland,<2005,83,82,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0086,Opsterland,2005-2010,55,53,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0088,Schiermonnikoog,<=2010,9999,9999,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0088,Schiermonnikoog,<2005,90,90,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0088,Schiermonnikoog,2005-2010,9999,9999,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0090,Smallingerland,<=2010,79,78,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0090,Smallingerland,<2005,81,80,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0090,Smallingerland,2005-2010,53,51,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0093,Terschelling,<=2010,90,89,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0093,Terschelling,<2005,91,91,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0093,Terschelling,2005-2010,70,65,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0096,Vlieland,<=2010,82,80,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0096,Vlieland,<2005,82,81,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0096,Vlieland,2005-2010,75,72,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0098,Weststellingwerf,<=2010,82,81,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0098,Weststellingwerf,<2005,84,83,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0098,Weststellingwerf,2005-2010,58,56,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0106,Assen,<=2010,85,84,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0106,Assen,<2005,87,86,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0106,Assen,2005-2010,66,63,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0109,Coevorden,<=2010,86,85,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0109,Coevorden,<2005,88,87,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0109,Coevorden,2005-2010,64,61,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0114,Emmen,<=2010,84,82,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0114,Emmen,<2005,86,84,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0114,Emmen,2005-2010,61,57,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0118,Hoogeveen,<=2010,80,78,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0118,Hoogeveen,<2005,82,81,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0118,Hoogeveen,2005-2010,54,52,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0119,Meppel,<=2010,84,83,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0119,Meppel,<2005,86,86,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0119,Meppel,2005-2010,65,62,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0141,Almelo,<=2010,80,78,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0141,Almelo,<2005,82,81,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0141,Almelo,2005-2010,56,55,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0147,Borne,<=2010,89,88,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0147,Borne,<2005,90,90,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0147,Borne,2005-2010,69,67,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0148,Dalfsen,<=2010,88,87,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0148,Dalfsen,<2005,90,89,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0148,Dalfsen,2005-2010,68,66,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0150,Deventer,<=2010,84,83,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0150,Deventer,<2005,86,85,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0150,Deventer,2005-2010,64,61,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0153,Enschede,<=2010,78,77,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0153,Enschede,<2005,80,79,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0153,Enschede,2005-2010,54,52,12-17
