Version,Date_of_report,Date_of_statistics,Populatie,Region_level,Region_code,Region_name,Birth_year,Vaccination_coverage_partly,Vaccination_coverage_completed,Age_group
4,2022-08-10T10:30:00Z,2022-08-01,213606,Gemeente,GM0014,Groningen,<=2010,82,81,12+
4,2022-08-10T10:30:00Z,2022-08-01,201972,Gemeente,GM0014,Groningen,<2005,83,82,18+
4,2022-08-10T10:30:00Z,2022-08-01,11634,Gemeente,GM0014,Groningen,2005-2010,65,61,12-17
4,2022-08-10T10:30:00Z,2022-08-01,188761,Gemeente,GM0034,Almere,<=2010,74,73,12+
4,2022-08-10T10:30:00Z,2022-08-01,172374,Gemeente,GM0034,Almere,<2005,77,76,18+
4,2022-08-10T10:30:00Z,2022-08-01,16387,Gemeente,GM0034,Almere,2005-2010,48,46,12-17
4,2022-08-10T10:30:00Z,2022-08-01,28618,Gemeente,GM0037,Stadskanaal,<=2010,82,80,12+
4,2022-08-10T10:30:00Z,2022-08-01,26585,Gemeente,GM0037,Stadskanaal,<2005,84,83,18+
4,2022-08-10T10:30:00Z,2022-08-01,2033,Gemeente,GM0037,Stadskanaal,2005-2010,55,52,12-17
4,2022-08-10T10:30:00Z,2022-08-01,24666,Gemeente,GM0047,Veendam,<=2010,83,82,12+
4,2022-08-10T10:30:00Z,2022-08-01,22736,Gemeente,GM0047,Veendam,<2005,85,84,18+
4,2022-08-10T10:30:00Z,2022-08-01,1930,Gemeente,GM0047,Veendam,2005-2010,62,60,12-17
4,2022-08-10T10:30:00Z,2022-08-01,20561,Gemeente,GM0050,Zeewolde,<=2010,79,78,12+
4,2022-08-10T10:30:00Z,2022-08-01,18842,Gemeente,GM0050,Zeewolde,<2005,81,80,18+
4,2022-08-10T10:30:00Z,2022-08-01,1719,Gemeente,GM0050,Zeewolde,2005-2010,59,57,12-17
4,2022-08-10T10:30:00Z,2022-08-01,24614,Gemeente,GM0059,Achtkarspelen,<=2010,75,74,12+
4,2022-08-10T10:30:00Z,2022-08-01,22402,Gemeente,GM0059,Achtkarspelen,<2005,78,77,18+
4,2022-08-10T10:30:00Z,2022-08-01,2212,Gemeente,GM0059,Achtkarspelen,2005-2010,45,44,12-17
4,2022-08-10T10:30:00Z,2022-08-01,3421,Gemeente,GM0060,Ameland,<=2010,89,87,12+
4,2022-08-10T10:30:00Z,2022-08-01,3163,Gemeente,GM0060,Ameland,<2005,90,89,18+
4,2022-08-10T10:30:00Z,2022-08-01,258,Gemeente,GM0060,Ameland,2005-2010,73,70,12-17
4,2022-08-10T10:30:00Z,2022-08-01,14397,Gemeente,GM0072,Harlingen,<=2010,83,81,12+
4,2022-08-10T10:30:00Z,2022-08-01,13279,Gemeente,GM0072,Harlingen,<2005,84,83,18+
4,2022-08-10T10:30:00Z,2022-08-01,1118,Gemeente,GM0072,Harlingen,2005-2010,61,59,12-17
