"total","date_start_unix","date_of_report_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1626220800,1609632000,1626271589,2021-07-14
195753,1609718400,1626220800,1610236800,1626271589,2021-07-14
342857,1610323200,1626220800,1610841600,1626271589,2021-07-14
538936,1610928000,1626220800,1611446400,1626271589,2021-07-14
630442,1611532800,1626220800,1612051200,1626271589,2021-07-14
839411,1612137600,1626220800,1612656000,1626271589,2021-07-14
1075348,1612742400,1626220800,1613260800,1626271589,2021-07-14
1321373,1613347200,1626220800,1613865600,1626271589,2021-07-14
1671922,1613952000,1626220800,1614470400,1626271589,2021-07-14
2088177,1614556800,1626220800,1615075200,1626271589,2021-07-14
2475079,1615161600,1626220800,1615680000,1626271589,2021-07-14
2777435,1615766400,1626220800,1616284800,1626271589,2021-07-14
3086018,1616371200,1626220800,1616889600,1626271589,2021-07-14
3409362,1616976000,1626220800,1617494400,1626271589,2021-07-14
4222885,1617580800,1626220800,1618099200,1626271589,2021-07-14
4730666,1618185600,1626220800,1618704000,1626271589,2021-07-14
5541624,1618790400,1626220800,1619308800,1626271589,2021-07-14
6135357,1619395200,1626220800,1619913600,1626271589,2021-07-14
7501270,1620000000,1626220800,1620518400,1626271589,2021-07-14
8245433,1620604800,1626220800,1621123200,1626271589,2021-07-14
9201525,1621209600,1626220800,1621728000,1626271589,2021-07-14
10160330,1621814400,1626220800,1622332800,1626271589,2021-07-14
11131253,1622419200,1626220800,1622937600,1626271589,2021-07-14
12782704,1623024000,1626220800,1623542400,1626271589,2021-07-14
14743459,1623628800,1626220800,1624147200,1626271589,2021-07-14
16034141,1624233600,1626220800,1624752000,1626271589,2021-07-14
17793376,1624838400,1626220800,1625356800,1626271589,2021-07-14
19148719,1625443200,1626220800,1625961600,1626271589,2021-07-14
