"date","IC_capaciteit_totaal","kliniek_capaciteit_totaal","IC_bezetting_covid","IC_bezetting_covid_internationaal","IC_bezetting_ontlabeld","IC_bezetting_noncovid","kliniek_bezetting_covid","kliniek_bezetting_ontlabeld","kliniek_bezetting_noncovid","IC_opnames_covid","kliniek_opnames_covid","Kliniek_Bedden_Nederland","IC_Bedden_COVID_Nederland","Totaal_Bezetting","IC_Opnames_7d","Kliniek_Opnames_7d","Totaal_opnames","Totaal_opnames_7d","Totaal_IC","IC_opnames_14d","Kliniek_opnames_14d","OMT_Check_IC","OMT_Check_Kliniek","Kliniek_Bedden_7d","IC_Bedden_7d","Totaal_Bedden_7d","IC_Bedden_14d","Kliniek_Bedden_14d","Totaal_Bedden_14d","OMT_Check_IC_Bezetting","OMT_Check_Kliniek_Bezetting","OMT_Check_Totaal_Bezetting","new.infection","corrections.cases","net.infection","new.hospitals","corrections.hospitals","net.hospitals","new.deaths","corrections.deaths","net.deaths","positive_7daverage","positive_14d","growth_infections","infections.today.nursery","infections.total.nursery","deaths.today.nursery","deaths.total.nursery","mutations.locations.nursery","total.current.locations.nursery","values.tested_total","values.infected","values.infected_percentage","pos.rate.3d.avg","pos.rate.7d.avg","cases","hospitalization","deaths","positivetests","hospital_intake_rivm"
2021-01-01,1289,13698,642,10,50,389,1780,177,8620,37,239,1957,692,2649,NA,NA,276,NA,702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8215,-32,8183,78,-1,77,98,-1,97,8777,11426,76.8,288,28434,61,5813,-2,825,33272,4904,14.7391199807646,14.1,14,805164,20154,11529,8183,77
2021-01-02,1279,13841,650,9,39,379,1819,186,8873,37,248,2005,689,2694,NA,NA,285,NA,698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8630,-29,8601,58,-1,57,38,-2,36,8599,11083,77.6,240,28674,19,5832,-4,829,47138,6160,13.0680130680131,14,13.7,813765,20211,11565,8601,57
2021-01-03,1270,13765,643,9,52,360,1826,180,9028,29,241,2006,695,2701,NA,NA,270,NA,704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7438,-40,7398,112,-5,107,47,0,47,8360,10518,79.5,243,28917,31,5863,-3,840,38835,5436,13.9976825028969,13.8,13.7,821163,20318,11612,7398,107
2021-01-04,1294,14677,651,9,55,377,1895,235,9659,41,226,2130,706,2836,NA,NA,267,NA,715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6671,-108,6563,73,-2,71,65,-2,63,8248,9981,82.6,252,29169,32,5895,-1,844,54547,7822,14.3399270354007,13.8,13.7,827726,20389,11675,6563,71
2021-01-05,1300,14793,661,8,62,396,1905,254,10598,46,320,2159,723,2882,NA,NA,366,NA,731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6412,-74,6338,96,-3,93,152,-2,150,8084,9651,83.8,235,29404,84,5979,-1,852,55368,7126,12.8702499638781,13.7,13.8,834064,20482,11825,6338,93
2021-01-06,1334,14813,631,8,65,435,1861,270,10764,40,263,2131,696,2827,NA,NA,303,NA,704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7142,-43,7099,106,-4,102,175,-1,174,7747,9516,81.4,293,29697,99,6078,-6,856,54479,6891,12.6489105894014,13.3,13.7,841163,20584,11999,7099,102
2021-01-07,1349,14869,636,8,68,420,1771,281,10634,29,231,2052,704,2756,37,252.571428571429,260,289.571428571429,712,NA,NA,NA,NA,2062.85714285714,700.714285714286,2763.57142857143,NA,NA,NA,NA,NA,NA,9737,-110,9627,92,-4,88,85,0,85,7749,9254,83.7,392,30089,46,6124,-3,868,49692,6002,12.0784029622474,12.5,13.3,850790,20672,12084,9627,88
2021-01-08,1358,14891,638,7,62,426,1642,294,10712,37,217,1936,700,2636,37,249.428571428571,254,286.428571428571,707,NA,NA,NA,NA,2059.85714285714,701.857142857143,2761.71428571429,NA,NA,NA,NA,NA,NA,8169,-45,8124,86,-2,84,89,-2,87,7743,8777,88.2,309,30398,51,6175,-7,865,45156,5557,12.3062273009124,12.4,13,858914,20756,12171,8124,84
2021-01-09,1358,14745,630,7,63,420,1600,274,10313,44,241,1874,693,2567,38,248.428571428571,285,286.428571428571,700,NA,NA,NA,NA,2041.14285714286,702.428571428571,2743.57142857143,NA,NA,NA,NA,NA,NA,7383,-62,7321,78,-2,76,139,-3,136,7565,8599,88,285,30683,79,6254,-3,861,35185,4374,12.4314338496518,12.3,13,866235,20832,12307,7321,76
2021-01-10,1357,14694,648,7,56,379,1576,274,9872,25,187,1850,704,2554,37.4285714285714,240.714285714286,212,278.142857142857,711,NA,NA,NA,NA,2018.85714285714,703.714285714286,2722.57142857143,NA,NA,NA,NA,NA,NA,6657,-45,6612,81,-3,78,54,0,54,7453,8360,89.2,238,30921,26,6280,-5,861,28676,3821,13.324731482773,12.6,12.9,872847,20910,12361,6612,78
2021-01-11,1366,15270,632,7,63,383,1638,288,10398,24,173,1926,695,2621,35,233.142857142857,197,268.142857142857,702,NA,NA,NA,NA,1989.71428571429,702.142857142857,2691.85714285714,NA,NA,NA,NA,NA,NA,5499,-83,5416,61,-2,59,50,0,50,7286,8248,88.3,197,31118,20,6300,-7,852,43629,5363,12.2922826560315,12.6,12.5,878263,20969,12411,5416,59
2021-01-12,1365,15206,635,7,53,417,1617,328,11301,43,267,1945,688,2633,34.5714285714286,225.571428571429,310,260.142857142857,695,NA,NA,NA,NA,1959.14285714286,697.142857142857,2656.28571428571,NA,NA,NA,NA,NA,NA,4986,-114,4872,102,-5,97,153,-1,152,7082,8084,87.6,289,31407,94,6394,-3,842,40524,4912,12.1212121212121,12.5,12.4,883135,21066,12563,4872,97
2021-01-13,1369,15432,639,7,54,416,1507,314,11582,46,212,1821,693,2514,35.4285714285714,218.285714285714,258,253.714285714286,700,NA,NA,NA,NA,1914.85714285714,696.714285714286,2611.57142857143,NA,NA,NA,NA,NA,NA,6148,-62,6086,70,-1,69,122,0,122,6940,7747,89.6,335,31742,85,6479,1,852,47204,5078,10.7575629183967,11.7,12.1,889221,21135,12685,6086,69
2021-01-14,1361,15225,621,5,67,453,1489,325,11368,48,226,1814,688,2502,38.1428571428571,217.571428571429,274,255.714285714286,693,37,252.571428571429,103.1,86.1,1880.85714285714,694.428571428571,2575.28571428571,700.714285714286,2062.85714285714,2763.57142857143,99.1,91.2,93.2,6575,-109,6466,78,-2,76,89,0,89,6488,7749,83.7,244,31986,50,6529,-4,847,47967,5053,10.5343256822399,11.1,11.8,895687,21211,12774,6466,76
