"date","IC_capaciteit_totaal","kliniek_capaciteit_totaal","IC_bezetting_covid","IC_bezetting_covid_internationaal","IC_bezetting_ontlabeld","IC_bezetting_noncovid","kliniek_bezetting_covid","kliniek_bezetting_ontlabeld","kliniek_bezetting_noncovid","IC_opnames_covid","kliniek_opnames_covid","Kliniek_Bedden_Nederland","IC_Bedden_COVID_Nederland","Totaal_Bezetting","IC_Opnames_7d","Kliniek_Opnames_7d","Totaal_opnames","Totaal_opnames_7d","Totaal_IC","IC_opnames_14d","Kliniek_opnames_14d","OMT_Check_IC","OMT_Check_Kliniek","Kliniek_Bedden_7d","IC_Bedden_7d","Totaal_Bedden_7d","IC_Bedden_14d","Kliniek_Bedden_14d","Totaal_Bedden_14d","OMT_Check_IC_Bezetting","OMT_Check_Kliniek_Bezetting","OMT_Check_Totaal_Bezetting"
2023-02-01,1064,16933,17,0,8,708,268,150,14136,3,56,418,25,443,2.8,59.4,59,62.2,25,3,58.6,93.3,101.4,428.2,23.6,451.8,30.6,483,513.6,77.1,88.7,88
2023-01-31,1061,16798,18,0,4,682,291,160,13824,4,73,451,22,473,2.4,58.6,77,61,22,4,60.8,60,96.4,430.8,23.8,454.6,33.2,511.6,544.8,71.7,84.2,83.4
2023-01-30,1060,16519,19,0,3,629,284,139,12982,2,51,423,22,445,2.6,57.4,53,60,22,3.2,65.6,81.2,87.5,431,25.2,456.2,34,538.4,572.4,74.1,80.1,79.7
2023-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,57.4,NA,60.2,NA,3.2,69.4,87.5,82.7,443.2,26.4,469.6,36.2,561.2,597.4,72.9,79,78.6
2023-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,57.4,NA,60.2,NA,3.2,69.4,87.5,82.7,443.2,26.4,469.6,36.2,561.2,597.4,72.9,79,78.6
2023-01-27,1051,17175,17,0,6,697,269,156,13789,3,61,425,23,448,2.8,57.4,64,60.2,23,3.2,69.4,87.5,82.7,443.2,26.4,469.6,36.2,561.2,597.4,72.9,79,78.6
2023-01-26,1029,16709,19,0,7,663,275,149,13803,2,56,424,26,450,2.4,58.4,58,60.8,26,4,71.8,60,81.3,460,27.4,487.4,38,590.6,628.6,72.1,77.9,77.5
2023-01-25,1021,16478,22,0,4,647,281,150,13732,1,52,431,26,457,3,58.6,53,61.6,26,4,75.4,75,77.7,483,30.6,513.6,38.2,619.8,658,80.1,77.9,78.1
2023-01-24,1029,16407,20,0,9,647,306,146,13238,5,67,452,29,481,4,60.8,72,64.8,29,4,81.6,100,74.5,511.6,33.2,544.8,39,648.2,687.2,85.1,78.9,79.3
2023-01-23,1011,16172,21,0,7,614,333,151,12482,3,51,484,28,512,3.2,65.6,54,68.8,28,4.4,86.6,72.7,75.8,538.4,34,572.4,40.6,693.4,734,83.7,77.6,78
2023-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,69.4,NA,72.6,NA,4.4,95.4,72.7,72.7,561.2,36.2,597.4,41.8,745,786.8,86.6,75.3,75.9
2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,69.4,NA,72.6,NA,4.4,95.4,72.7,72.7,561.2,36.2,597.4,41.8,745,786.8,86.6,75.3,75.9
