"municipality","Municipality_code","date","population","cases_d0","cases_d7","cases_d14","rel_cases_7d","rel_cases_14d","rel_cases_total","color","hosp_d0","hosp_d7","hosp_d14","rel_hosp_7d","rel_hosp_14d","rel_hosp_total","deaths_d0","deaths_d7","deaths_d14","rel_deaths_7d","rel_deaths_14d","rel_deaths_total","perc_cases","perc_hosp","perc_deaths","perc_deaths_per_case"
"Unknown","",2022-02-09,NA,46743,33076,27317,NA,NA,NA,NA,94050,92999,91694,NA,NA,NA,44,42,42,NA,NA,NA,NA,NA,NA,0.1
"Netherlands","",2022-02-09,17443797,5436575,4605248,4067075,4765.7,7850.9,31166.2,"&#128999;",1836,1804,1774,0.2,0.4,10.5,21343,21303,21239,0.2,0.6,122.4,31.2,0,0.1,0.4
"Groningen","GM0014",2022-02-09,235287,57210,48316,42057,3780.1,6440.2,24315,"&#x26a1;",542,526,519,6.8,9.8,230.4,65,63,63,0.9,0.9,27.6,24.3,0.2,0,0.1
"Almere","GM0034",2022-02-09,217707,68461,58056,50288,4779.4,8347.5,31446.4,"&#x26a1;",794,780,755,6.4,17.9,364.7,126,125,124,0.5,0.9,57.9,31.4,0.4,0.1,0.2
"Stadskanaal","GM0037",2022-02-09,31871,7799,6631,5843,3664.8,6137.2,24470.5,"&#x26a1;",154,154,152,0,6.3,483.2,24,24,24,0,0,75.3,24.5,0.5,0.1,0.3
"Veendam","GM0047",2022-02-09,27470,6025,5101,4387,3363.7,5962.9,21933,"&#x26a1;",132,130,130,7.3,7.3,480.5,19,19,19,0,0,69.2,21.9,0.5,0.1,0.3
"Zeewolde","GM0050",2022-02-09,23310,6486,4938,4333,6640.9,9236.4,27825,"&#9989;",86,86,86,0,0,368.9,18,18,17,0,4.3,77.2,27.8,0.4,0.1,0.3
"Achtkarspelen","GM0059",2022-02-09,27951,8186,6544,5938,5874.6,8042.6,29287,"&#x26a1;",140,138,138,7.2,7.2,500.9,41,41,41,0,0,146.7,29.3,0.5,0.1,0.5
"Ameland","GM0060",2022-02-09,3773,462,393,380,1828.8,2173.3,12244.9,"&#9989;",10,10,10,0,0,265,1,1,1,0,0,26.5,12.2,0.3,0,0.2
"Harlingen","GM0072",2022-02-09,15868,3211,2537,2219,4247.5,6251.6,20235.7,"&#x26a1;",47,47,46,0,6.3,296.2,8,8,8,0,0,50.4,20.2,0.3,0.1,0.2
"Heerenveen","GM0074",2022-02-09,51088,12183,9771,8984,4721.3,6261.7,23847.1,"&#x26a1;",157,155,155,3.9,3.9,307.3,44,44,44,0,0,86.1,23.8,0.3,0.1,0.4
"Leeuwarden","GM0080",2022-02-09,125639,30190,24352,21768,4646.6,6703.3,24029.2,"&#x26a1;",461,452,442,7.2,15.1,366.9,97,97,97,0,0,77.2,24,0.4,0.1,0.3
"Ooststellingwerf","GM0085",2022-02-09,25701,5125,4178,3858,3684.7,4929.8,19940.9,"&#9989;",75,75,75,0,0,291.8,7,7,7,0,0,27.2,19.9,0.3,0,0.1
"Opsterland","GM0086",2022-02-09,29836,7140,5849,5255,4327,6317.9,23930.8,"&#x1F7E3;",98,98,97,0,3.4,328.5,11,11,11,0,0,36.9,23.9,0.3,0,0.2
"Schiermonnikoog","GM0088",2022-02-09,949,117,104,96,1369.9,2212.9,12328.8,"&#9989;",2,2,2,0,0,210.7,2,2,2,0,0,210.7,12.3,0.2,0.2,1.7
"Smallingerland","GM0090",2022-02-09,55959,13361,11045,10096,4138.7,5834.6,23876.4,"&#x26a1;",214,214,210,0,7.1,382.4,42,42,42,0,0,75.1,23.9,0.4,0.1,0.3
"Terschelling","GM0093",2022-02-09,4960,932,822,771,2217.7,3246,18790.3,"&#9989;",15,15,15,0,0,302.4,2,2,2,0,0,40.3,18.8,0.3,0,0.2
"Vlieland","GM0096",2022-02-09,1230,270,213,183,4634.1,7073.2,21951.2,"&#9989;",1,1,1,0,0,81.3,1,1,1,0,0,81.3,22,0.1,0.1,0.4
