"municipality","Municipality_code","date","d0","d1","d7","d8","d14","jan1","lowest_since_jan1","lowest_since_jan1_date","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","population","rel_increase_1d","rel_increase_7d","rel_increase_14d"
"Unknown","",2023-01-13,129987,129987,129987,129987,51,34,11490,2021-01-01,129987,0,0,129936,-100,"&#x2798;",17443797,0,0,744.883697052884
"Netherlands","",2023-01-13,3419658,3419658,3419658,3419658,22938,11490,31,2021-01-20,3419658,0,0,3396720,-100,"&#x2798;",17443797,0,0,19472.3660221453
"Groningen","GM0014",2023-01-13,9999,9999,9999,9999,81,17,17,2021-01-01,9999,0,0,9918,-100,"&#x2798;",234949,0,0,4221.34165286935
"Almere","GM0034",2023-01-13,9999,9999,9999,9999,133,52,52,2021-01-01,9999,0,0,9866,-100,"&#x2798;",218334,0,0,4518.764828199
"Stadskanaal","GM0037",2023-01-13,9999,9999,9999,9999,25,8,8,2021-01-01,9999,0,0,9974,-100,"&#x2798;",31881,0,0,31285.0914337693
"Veendam","GM0047",2023-01-13,9999,9999,9999,9999,20,4,4,2021-01-01,9999,0,0,9979,-100,"&#x2798;",27465,0,0,36333.515383215
"Zeewolde","GM0050",2023-01-13,9999,9999,9999,9999,20,9,9,2021-01-01,9999,0,0,9979,-100,"&#x2798;",23464,0,0,42528.9805659734
"Achtkarspelen","GM0059",2023-01-13,9999,9999,9999,9999,41,0,0,2021-01-01,9999,0,0,9958,-100,"&#x2798;",27957,0,0,35618.9863003899
"Ameland","GM0060",2023-01-13,9999,9999,9999,9999,1,0,0,2021-01-01,9999,0,0,9998,-100,"&#x2798;",3749,0,0,266684.44918645
"Harlingen","GM0072",2023-01-13,9999,9999,9999,9999,10,2,2,2021-01-01,9999,0,0,9989,-100,"&#x2798;",15922,0,0,62737.0933299837
"Heerenveen","GM0074",2023-01-13,9999,9999,9999,9999,44,24,24,2021-01-01,9999,0,0,9955,-100,"&#x2798;",51211,0,0,19439.1829880299
"Leeuwarden","GM0080",2023-01-13,9999,9999,9999,9999,104,23,23,2021-01-01,9999,0,0,9895,-100,"&#x2798;",125712,0,0,7871.1658393789
"Ooststellingwerf","GM0085",2023-01-13,9999,9999,9999,9999,8,1,1,2021-01-01,9999,0,0,9991,-100,"&#x2798;",25714,0,0,38854.3206035623
"Opsterland","GM0086",2023-01-13,9999,9999,9999,9999,13,1,1,2021-01-01,9999,0,0,9986,-100,"&#x2798;",29791,0,0,33520.1906616092
"Schiermonnikoog","GM0088",2023-01-13,9999,9999,9999,9999,2,0,0,2021-01-01,9999,0,0,9997,-100,"&#x2798;",945,0,0,1057883.5978836
"Smallingerland","GM0090",2023-01-13,9999,9999,9999,9999,43,14,14,2021-01-01,9999,0,0,9956,-100,"&#x2798;",55798,0,0,17842.9334384745
"Terschelling","GM0093",2023-01-13,9999,9999,9999,9999,2,1,1,2021-01-01,9999,0,0,9997,-100,"&#x2798;",4917,0,0,203315.029489526
"Vlieland","GM0096",2023-01-13,9999,9999,9999,9999,2,0,0,2021-01-01,9999,0,0,9997,-100,"&#x2798;",1198,0,0,834474.123539232
"Weststellingwerf","GM0098",2023-01-13,9999,9999,9999,9999,32,12,12,2021-01-01,9999,0,0,9967,-100,"&#x2798;",26275,0,0,37933.3967649857
"Assen","GM0106",2023-01-13,9999,9999,9999,9999,27,9,9,2021-01-01,9999,0,0,9972,-100,"&#x2798;",69069,0,0,14437.7361768666
"Coevorden","GM0109",2023-01-13,9999,9999,9999,9999,36,8,8,2021-01-01,9999,0,0,9963,-100,"&#x2798;",35472,0,0,28086.9418132612
"Emmen","GM0114",2023-01-13,9999,9999,9999,9999,104,34,34,2021-01-01,9999,0,0,9895,-100,"&#x2798;",107958,0,0,9165.6014375961
"Hoogeveen","GM0118",2023-01-13,9999,9999,9999,9999,53,21,21,2021-01-01,9999,0,0,9946,-100,"&#x2798;",55964,0,0,17772.1392323637
"Meppel","GM0119",2023-01-13,9999,9999,9999,9999,38,10,10,2021-01-01,9999,0,0,9961,-100,"&#x2798;",34749,0,0,28665.5731100176
"Almelo","GM0141",2023-01-13,9999,9999,9999,9999,73,35,35,2021-01-01,9999,0,0,9926,-100,"&#x2798;",73164,0,0,13566.7814772292
"Borne","GM0147",2023-01-13,9999,9999,9999,9999,46,15,15,2021-01-01,9999,0,0,9953,-100,"&#x2798;",24095,0,0,41307.3251711973
"Dalfsen","GM0148",2023-01-13,9999,9999,9999,9999,26,15,15,2021-01-01,9999,0,0,9973,-100,"&#x2798;",29182,0,0,34175.1764786512
"Deventer","GM0150",2023-01-13,9999,9999,9999,9999,112,64,63,2021-01-04,9999,0,0,9887,-100,"&#x2798;",101553,0,0,9735.80297972487
"Enschede","GM0153",2023-01-13,9999,9999,9999,9999,213,98,98,2021-01-01,9999,0,0,9786,-100,"&#x2798;",160341,0,0,6103.24246449754
"Haaksbergen","GM0158",2023-01-13,9999,9999,9999,9999,34,25,25,2021-01-01,9999,0,0,9965,-100,"&#x2798;",24257,0,0,41080.9250937874
"Hardenberg","GM0160",2023-01-13,9999,9999,9999,9999,57,20,20,2021-01-01,9999,0,0,9942,-100,"&#x2798;",61890,0,0,16063.9844886088
"Hellendoorn","GM0163",2023-01-13,9999,9999,9999,9999,56,21,21,2021-01-01,9999,0,0,9943,-100,"&#x2798;",35998,0,0,27620.9789432746
"Hengelo","GM0164",2023-01-13,9999,9999,9999,9999,78,42,42,2021-01-01,9999,0,0,9921,-100,"&#x2798;",81531,0,0,12168.3776722964
"Kampen","GM0166",2023-01-13,9999,9999,9999,9999,65,41,41,2021-01-01,9999,0,0,9934,-100,"&#x2798;",54902,0,0,18094.0585042439
