"current","municipality","increase_1d","increase_7d","growth"
9999,"'s-Gravenhage",0,0,"&#x2798;"
9999,"'s-Hertogenbosch",0,0,"&#x2798;"
9999,"Aa en Hunze",0,0,"&#x2798;"
9999,"Aalsmeer",0,0,"&#x2798;"
9999,"Aalten",0,0,"&#x2798;"
9999,"Achtkarspelen",0,0,"&#x2798;"
9999,"Alblasserdam",0,0,"&#x2798;"
9999,"Albrandswaard",0,0,"&#x2798;"
9999,"Alkmaar",0,0,"&#x2798;"
9999,"Almelo",0,0,"&#x2798;"
9999,"Almere",0,0,"&#x2798;"
9999,"Alphen-Chaam",0,0,"&#x2798;"
9999,"Alphen aan den Rijn",0,0,"&#x2798;"
9999,"Altena",0,0,"&#x2798;"
9999,"Ameland",0,0,"&#x2798;"
9999,"Amersfoort",0,0,"&#x2798;"
9999,"Amstelveen",0,0,"&#x2798;"
9999,"Amsterdam",0,0,"&#x2798;"
9999,"Apeldoorn",0,0,"&#x2798;"
9999,"Arnhem",0,0,"&#x2798;"
9999,"Assen",0,0,"&#x2798;"
9999,"Asten",0,0,"&#x2798;"
9999,"Baarle-Nassau",0,0,"&#x2798;"
9999,"Baarn",0,0,"&#x2798;"
9999,"Barendrecht",0,0,"&#x2798;"
9999,"Barneveld",0,0,"&#x2798;"
9999,"Beek",0,0,"&#x2798;"
9999,"Beekdaelen",0,0,"&#x2798;"
9999,"Beesel",0,0,"&#x2798;"
9999,"Berg en Dal",0,0,"&#x2798;"
9999,"Bergeijk",0,0,"&#x2798;"
9999,"Bergen (L.)",0,0,"&#x2798;"
9999,"Bergen (NH.)",0,0,"&#x2798;"
9999,"Bergen op Zoom",0,0,"&#x2798;"
9999,"Berkelland",0,0,"&#x2798;"
9999,"Bernheze",0,0,"&#x2798;"
9999,"Best",0,0,"&#x2798;"
9999,"Beuningen",0,0,"&#x2798;"
9999,"Beverwijk",0,0,"&#x2798;"
9999,"Bladel",0,0,"&#x2798;"
9999,"Blaricum",0,0,"&#x2798;"
9999,"Bloemendaal",0,0,"&#x2798;"
9999,"Bodegraven-Reeuwijk",0,0,"&#x2798;"
9999,"Boekel",0,0,"&#x2798;"
9999,"Borger-Odoorn",0,0,"&#x2798;"
9999,"Borne",0,0,"&#x2798;"
9999,"Borsele",0,0,"&#x2798;"
9999,"Boxtel",0,0,"&#x2798;"
9999,"Breda",0,0,"&#x2798;"
0,"Brielle",0,0,"-"
9999,"Bronckhorst",0,0,"&#x2798;"
9999,"Brummen",0,0,"&#x2798;"
9999,"Brunssum",0,0,"&#x2798;"
9999,"Bunnik",0,0,"&#x2798;"
9999,"Bunschoten",0,0,"&#x2798;"
9999,"Buren",0,0,"&#x2798;"
9999,"Capelle aan den IJssel",0,0,"&#x2798;"
9999,"Castricum",0,0,"&#x2798;"
9999,"Coevorden",0,0,"&#x2798;"
9999,"Cranendonck",0,0,"&#x2798;"
9999,"Culemborg",0,0,"&#x2798;"
9999,"Dalfsen",0,0,"&#x2798;"
9999,"Dantumadiel",0,0,"&#x2798;"
9999,"De Bilt",0,0,"&#x2798;"
9999,"De Fryske Marren",0,0,"&#x2798;"
9999,"De Ronde Venen",0,0,"&#x2798;"
9999,"De Wolden",0,0,"&#x2798;"
9999,"Delft",0,0,"&#x2798;"
9999,"Den Helder",0,0,"&#x2798;"
9999,"Deurne",0,0,"&#x2798;"
9999,"Deventer",0,0,"&#x2798;"
9999,"Diemen",0,0,"&#x2798;"
9999,"Dijk en Waard",0,0,"&#x2798;"
9999,"Dinkelland",0,0,"&#x2798;"
9999,"Doesburg",0,0,"&#x2798;"
9999,"Doetinchem",0,0,"&#x2798;"
9999,"Dongen",0,0,"&#x2798;"
9999,"Dordrecht",0,0,"&#x2798;"
9999,"Drechterland",0,0,"&#x2798;"
9999,"Drimmelen",0,0,"&#x2798;"
9999,"Dronten",0,0,"&#x2798;"
