"municipality","Municipality_code","d0","date","d1","d7","d8","d14","population","lowest_since_jan1","lowest_since_jan1_date","jan","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","rel_increase_1d","rel_increase_7d","rel_increase_14d","color","color_incl_new"
"'s-Gravenhage","GM0518",4235,2023-01-13,4234,4222,4219,4199,553769,1365,2021-01-01,1365,2870,1,13,36,-43.4782608695652,"&#x2798;",0.180580711451887,2.34754924887453,6.50090561226793,"&#x26a1;","&#x26a1;"
"'s-Hertogenbosch","GM0796",1175,2023-01-13,1175,1170,1167,1164,156697,351,2021-01-01,351,824,0,5,11,-16.6666666666667,"&#x2798;",0,3.19087155465644,7.01991742024417,"&#x26a1;","&#x26a1;"
"Aa en Hunze","GM1680",72,2023-01-13,72,72,72,72,25563,10,2021-01-01,10,62,0,0,0,0,"-",0,0,0,"&#9989;","&#9989;"
"Aalsmeer","GM0358",143,2023-01-13,143,143,143,143,32532,37,2021-01-01,37,106,0,0,0,0,"-",0,0,0,"&#9989;","&#9989;"
"Aalten","GM0197",177,2023-01-13,176,175,175,174,27122,37,2021-01-01,37,140,1,2,3,100,"&#x279A;",3.68704372833862,7.37408745667724,11.0611311850159,"&#x26a1;","&#x26a1;"
"Achtkarspelen","GM0059",201,2023-01-13,201,201,201,201,27957,18,2021-01-01,18,183,0,0,0,0,"-",0,0,0,"&#9989;","&#9989;"
"Alblasserdam","GM0482",247,2023-01-13,247,247,247,247,20129,67,2021-01-01,67,180,0,0,0,0,"-",0,0,0,"&#9989;","&#9989;"
"Albrandswaard","GM0613",228,2023-01-13,228,226,226,225,25990,62,2021-01-01,62,166,0,2,3,100,"&#x279A;",0,7.69526741054252,11.5429011158138,"&#x26a1;","&#x26a1;"
"Alkmaar","GM0361",901,2023-01-13,901,894,894,891,110834,207,2021-01-01,207,694,0,7,10,133.333333333333,"&#x279A;",0,6.3157514842016,9.022502120288,"&#x26a1;","&#x26a1;"
"Almelo","GM0141",716,2023-01-13,716,713,711,703,73164,214,2021-01-01,214,502,0,3,13,-70,"&#x2798;",0,4.10037723470559,17.7683013503909,"&#x26a1;","&#x26a1;"
"Almere","GM0034",1016,2023-01-13,1016,1016,1016,1014,218334,130,2021-01-01,130,886,0,0,2,-100,"&#x2798;",0,0,0.916027737319886,"&#128721;","&#128721;"
"Alphen-Chaam","GM1723",86,2023-01-13,86,86,86,84,10444,40,2021-01-01,40,46,0,0,2,-100,"&#x2798;",0,0,19.1497510532363,"&#x26a1;","&#x26a1;"
"Alphen aan den Rijn","GM0484",705,2023-01-13,705,703,702,698,113026,219,2021-01-01,219,486,0,2,7,-60,"&#x2798;",0,1.76950436182825,6.19326526639888,"&#x26a1;","&#x26a1;"
"Altena","GM1959",488,2023-01-13,488,488,487,485,57056,149,2021-01-01,149,339,0,0,3,-100,"&#x2798;",0,0,5.25799214806506,"&#x1F7E3;","&#x1F7E3;"
"Ameland","GM0060",16,2023-01-13,16,16,16,16,3749,3,2021-01-01,3,13,0,0,0,0,"-",0,0,0,"&#9989;","&#9989;"
"Amersfoort","GM0307",1019,2023-01-13,1019,1019,1018,1018,158836,259,2021-01-01,259,760,0,0,1,-100,"&#x2798;",0,0,0.629580195925357,"&#128999;","&#128999;"
"Amstelveen","GM0362",432,2023-01-13,432,432,432,431,92509,159,2021-01-01,159,273,0,0,1,-100,"&#x2798;",0,0,1.08097590504708,"&#128721;","&#128721;"
"Amsterdam","GM0363",6469,2023-01-13,6469,6449,6446,6435,885941,5623,2022-03-24,5623,846,0,20,34,42.8571428571429,"&#x279A;",0,2.25748667236306,3.8377273430172,"&#x1F7E3;","&#x1F7E3;"
"Apeldoorn","GM0200",1143,2023-01-13,1143,1142,1142,1135,165741,291,2021-01-01,291,852,0,1,8,-85.7142857142857,"&#x2798;",0,0.603351011517971,4.82680809214377,"&#x1F7E3;","&#x1F7E3;"
"Arnhem","GM0202",979,2023-01-13,979,978,978,969,164319,148,2021-01-01,148,831,0,1,10,-88.8888888888889,"&#x2798;",0,0.608572350123844,6.08572350123845,"&#x26a1;","&#x26a1;"
"Assen","GM0106",255,2023-01-13,255,255,255,255,69069,59,2021-01-01,59,196,0,0,0,0,"-",0,0,0,"&#9989;","&#9989;"
"Asten","GM0743",144,2023-01-13,144,143,143,142,17071,42,2021-01-01,42,102,0,1,2,0,"-",0,5.85788764571496,11.7157752914299,"&#x26a1;","&#x26a1;"
"Baarle-Nassau","GM0744",62,2023-01-13,62,62,62,62,6953,19,2021-01-01,19,43,0,0,0,0,"-",0,0,0,"&#9989;","&#9989;"
"Baarn","GM0308",137,2023-01-13,137,137,137,137,24881,27,2021-01-01,27,110,0,0,0,0,"-",0,0,0,"&#9989;","&#9989;"
"Barendrecht","GM0489",425,2023-01-13,425,425,425,420,48712,112,2021-01-01,112,313,0,0,5,-100,"&#x2798;",0,0,10.2644112333717,"&#x26a1;","&#x26a1;"
"Barneveld","GM0203",452,2023-01-13,452,452,452,451,60652,91,2021-01-01,91,361,0,0,1,-100,"&#x2798;",0,0,1.64875024731254,"&#128721;","&#128721;"
"Beek","GM0888",102,2023-01-13,102,102,102,102,15809,31,2021-01-01,31,71,0,0,0,0,"-",0,0,0,"&#9989;","&#9989;"
"Beekdaelen","GM1954",246,2023-01-13,246,246,246,246,35931,87,2021-01-01,87,159,0,0,0,0,"-",0,0,0,"&#9989;","&#9989;"
"Beesel","GM0889",89,2023-01-13,89,89,89,89,13396,22,2021-01-01,22,67,0,0,0,0,"-",0,0,0,"&#9989;","&#9989;"
"Berg en Dal","GM1945",335,2023-01-13,335,330,330,328,34979,94,2021-01-01,94,241,0,5,7,150,"&#x279A;",0,14.2942908602304,20.0120072043226,"&#x26a1;","&#x26a1;"
"Bergeijk","GM1724",172,2023-01-13,172,171,171,169,18869,61,2021-01-01,61,111,0,1,3,-50,"&#x2798;",0,5.29969791721872,15.8990937516562,"&#x26a1;","&#x26a1;"
"Bergen (L.)","GM0893",105,2023-01-13,105,105,105,104,13079,20,2021-01-01,20,85,0,0,1,-100,"&#x2798;",0,0,7.6458444835232,"&#x26a1;","&#x26a1;"
