"current","color_incl_new","municipality","increase_1d","increase_7d","growth"
1941,"&#x26a1;","'s-Gravenhage",3,60,"&#x279A;"
510,"&#x26a1;","'s-Hertogenbosch",0,6,"&#x2798;"
35,"&#9989;","Aa en Hunze",0,0,"-"
80,"&#x26a1;","Aalsmeer",0,1,"&#x279A;"
80,"&#x26a1;","Aalten",0,1,"-"
120,"&#9989;","Achtkarspelen",0,0,"-"
103,"&#x26a1;","Alblasserdam",0,4,"&#x279A;"
103,"&#x26a1;","Albrandswaard",0,2,"-"
371,"&#x26a1;","Alkmaar",0,10,"&#x2798;"
309,"&#x26a1;","Almelo",0,3,"-"
644,"&#x26a1;","Almere",0,21,"&#x279A;"
23,"&#9989;","Alphen-Chaam",0,0,"-"
285,"&#x1F7E3;","Alphen aan den Rijn",0,2,"&#x2798;"
214,"&#x26a1;","Altena",0,4,"&#x279A;"
7,"&#9989;","Ameland",0,0,"-"
384,"&#x26a1;","Amersfoort",0,8,"-"
220,"&#x26a1;","Amstelveen",0,3,"&#x2798;"
2875,"&#x26a1;","Amsterdam",3,52,"&#x2798;"
496,"&#x26a1;","Apeldoorn",1,11,"&#x279A;"
419,"&#128721;","Arnhem",0,1,"&#x2798;"
146,"&#128721;","Assen",0,0,"&#x2798;"
58,"&#x26a1;","Asten",0,0,"&#x2798;"
18,"&#x26a1;","Baarle-Nassau",0,1,"&#x279A;"
54,"&#x26a1;","Baarn",0,3,"-"
183,"&#x26a1;","Barendrecht",0,5,"&#x2798;"
224,"&#x26a1;","Barneveld",1,4,"&#x279A;"
39,"&#9989;","Beek",0,0,"-"
104,"&#x26a1;","Beekdaelen",0,1,"&#x2798;"
50,"&#x26a1;","Beesel",0,1,"&#x279A;"
112,"&#x26a1;","Berg en Dal",0,2,"&#x2798;"
74,"&#x26a1;","Bergeijk",0,1,"&#x279A;"
53,"&#x26a1;","Bergen (L.)",0,0,"&#x2798;"
97,"&#x26a1;","Bergen (NH.)",0,1,"&#x2798;"
279,"&#x26a1;","Bergen op Zoom",0,6,"&#x279A;"
116,"&#x26a1;","Berkelland",0,2,"&#x279A;"
89,"&#128721;","Bernheze",0,0,"&#x2798;"
122,"&#x26a1;","Best",0,0,"&#x2798;"
99,"&#x26a1;","Beuningen",0,3,"&#x279A;"
112,"&#x1F7E3;","Beverwijk",0,1,"-"
69,"&#x26a1;","Bladel",0,1,"&#x279A;"
34,"&#9989;","Blaricum",0,0,"-"
27,"&#x1F7E3;","Bloemendaal",0,0,"&#x2798;"
129,"&#x26a1;","Bodegraven-Reeuwijk",0,2,"&#x279A;"
22,"&#9989;","Boekel",0,0,"-"
67,"&#x26a1;","Borger-Odoorn",0,3,"&#x279A;"
75,"&#x26a1;","Borne",0,1,"&#x279A;"
65,"&#x26a1;","Borsele",0,3,"&#x279A;"
93,"&#x26a1;","Boxtel",0,1,"-"
486,"&#x26a1;","Breda",0,6,"&#x2798;"
53,"&#x26a1;","Brielle",0,1,"&#x279A;"
108,"&#x26a1;","Bronckhorst",0,0,"&#x2798;"
60,"&#9989;","Brummen",0,0,"-"
119,"&#x26a1;","Brunssum",0,1,"-"
26,"&#x26a1;","Bunnik",0,1,"&#x279A;"
82,"&#x26a1;","Bunschoten",0,0,"&#x2798;"
98,"&#x26a1;","Buren",0,3,"&#x279A;"
368,"&#x26a1;","Capelle aan den IJssel",1,8,"&#x279A;"
68,"&#x26a1;","Castricum",0,1,"&#x2798;"
120,"&#x26a1;","Coevorden",0,2,"&#x279A;"
78,"&#x26a1;","Cranendonck",0,1,"&#x279A;"
104,"&#x26a1;","Culemborg",0,2,"&#x279A;"
36,"&#x26a1;","Dalfsen",0,1,"-"
106,"&#x26a1;","Dantumadiel",0,1,"&#x2798;"
107,"&#x26a1;","De Bilt",0,2,"&#x2798;"
