"municipality","Municipality_code","date","d0","d1","d7","d8","d14","jan1","lowest_since_jan1","lowest_since_jan1_date","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","population","rel_increase_1d","rel_increase_7d","rel_increase_14d","color","color_incl_new","color_yesterday","color_lastweek"
"Unknown","",2022-08-18,77800,77789,77560,77519,77207,3700,3594,2021-02-11,74206,11,240,593,-32.0113314447592,"&#x2798;",17443797,0.0630596652781502,1.37584724243237,3.39948922817664,"&#128993;","&#128993;","&#128993;","&#128993;"
"Netherlands","",2022-08-18,8292701,8292373,8283124,8281403,8270088,803138,803138,2021-01-01,7489563,328,9577,22613,-26.5342129487573,"&#x2798;",17443797,1.88032456465757,54.9020376698949,129.633473721346,"&#128721;","&#128721;","&#128721;","&#128721;"
"Groningen","GM0014",2022-08-18,107879,107863,107749,107727,107618,6371,6371,2021-01-01,101508,16,130,261,-0.763358778625955,"-",234949,6.80998855070675,55.3311569744923,111.087938233404,"&#128721;","&#128721;","&#128721;","&#128721;"
"Almere","GM0034",2022-08-18,96510,96509,96394,96366,96214,10719,10719,2021-01-01,85791,1,116,296,-35.5555555555556,"&#x2798;",218334,0.458013868659943,53.1296087645534,135.572105123343,"&#128721;","&#128721;","&#128721;","&#128721;"
"Stadskanaal","GM0037",2022-08-18,13227,13227,13218,13217,13197,1225,1225,2021-01-01,12002,0,9,30,-57.1428571428571,"&#x2798;&#x2798;",31881,0,28.2299802390138,94.0999341300461,"&#128999;","&#128999;","&#128999;","&#128721;"
"Veendam","GM0047",2022-08-18,11402,11402,11396,11393,11375,664,664,2021-01-01,10738,0,6,27,-71.4285714285714,"&#x2798;&#x2798;",27465,0,21.8459858001092,98.3069361004915,"&#128999;","&#128999;","&#128999;","&#128721;"
"Zeewolde","GM0050",2022-08-18,10394,10394,10382,10379,10361,832,832,2021-01-01,9562,0,12,33,-42.8571428571429,"&#x2798;",23464,0,51.1421752471872,140.640981929765,"&#128721;","&#128721;","&#128721;","&#128721;"
"Achtkarspelen","GM0059",2022-08-18,13507,13507,13502,13501,13494,620,620,2021-01-01,12887,0,5,13,-37.5,"&#x2798;",27957,0,17.8846085059198,46.4999821153915,"&#128999;","&#128999;","&#128999;","&#128999;"
"Ameland","GM0060",2022-08-18,1092,1092,1092,1092,1088,122,122,2021-01-01,970,0,0,4,-100,"&#x2798;&#x2798;",3749,0,0,106.69511869832,"&#9989;","&#9989;","&#9989;","&#x1F7E3;"
"Harlingen","GM0072",2022-08-18,6260,6260,6255,6253,6250,227,227,2021-01-01,6033,0,5,10,0,"-",15922,0,31.4030900640623,62.8061801281246,"&#128999;","&#128999;","&#128721;","&#128999;"
"Heerenveen","GM0074",2022-08-18,22165,22164,22138,22136,22107,939,939,2021-01-01,21226,1,27,58,-12.9032258064516,"&#x2798;",51211,1.95270547343344,52.7230477827029,113.25691745914,"&#128721;","&#128721;","&#128721;","&#128721;"
