"current","color_incl_new","municipality","increase_1d","increase_7d","growth"
160976,"&#x26a1;","'s-Gravenhage",736,6170,"&#x2798;"
53348,"&#x26a1;","'s-Hertogenbosch",258,2093,"&#x2798;"
5792,"&#x26a1;","Aa en Hunze",84,469,"&#x2798;"
11137,"&#x26a1;","Aalsmeer",51,417,"&#x2798;"
7242,"&#x26a1;","Aalten",65,566,"&#x2798;"
10138,"&#x26a1;","Achtkarspelen",89,665,"&#x2798;"
7197,"&#x26a1;","Alblasserdam",41,232,"&#x2798;"
8367,"&#x26a1;","Albrandswaard",33,305,"&#x2798;"
35443,"&#x26a1;","Alkmaar",197,1676,"&#x2798;"
21912,"&#x26a1;","Almelo",140,1112,"&#x2798;"
64942,"&#x26a1;","Almere",217,2484,"&#x2798;"
2975,"&#x26a1;","Alphen-Chaam",13,107,"&#x2798;"
34477,"&#x26a1;","Alphen aan den Rijn",208,1659,"&#x2798;"
18859,"&#x26a1;","Altena",111,792,"&#x2798;"
536,"&#x26a1;","Ameland",12,88,"&#x279A;"
54463,"&#x26a1;","Amersfoort",327,2865,"&#x2798;"
27789,"&#x26a1;","Amstelveen",140,1022,"&#x2798;"
277952,"&#x26a1;","Amsterdam",1303,10798,"&#x2798;"
49776,"&#x26a1;","Apeldoorn",288,2659,"&#x2798;"
50055,"&#x26a1;","Arnhem",353,3017,"&#x2798;"
16865,"&#x26a1;","Assen",213,1346,"&#x2798;"
5372,"&#x26a1;","Asten",33,259,"&#x2798;"
2006,"&#x26a1;","Baarle-Nassau",5,71,"&#x2798;"
7815,"&#x26a1;","Baarn",46,378,"&#x2798;"
16304,"&#x26a1;","Barendrecht",84,587,"&#x2798;"
22105,"&#x26a1;","Barneveld",103,1040,"&#x2798;"
4871,"&#x26a1;","Beek",18,211,"&#x2798;"
11118,"&#x26a1;","Beekdaelen",58,479,"&#x2798;"
4270,"&#x26a1;","Beesel",27,180,"&#x2798;"
10302,"&#x26a1;","Berg en Dal",69,603,"&#x2798;"
6110,"&#x26a1;","Bergeijk",24,272,"&#x2798;"
4307,"&#x26a1;","Bergen (L.)",23,183,"&#x2798;"
8123,"&#x26a1;","Bergen (NH.)",34,364,"&#x2798;"
21444,"&#x26a1;","Bergen op Zoom",103,800,"&#x2798;"
12863,"&#x26a1;","Berkelland",110,847,"&#x2798;"
10995,"&#x26a1;","Bernheze",76,440,"&#x2798;"
9190,"&#x26a1;","Best",53,464,"&#x2798;"
8174,"&#x26a1;","Beuningen",40,386,"&#x2798;"
13429,"&#x26a1;","Beverwijk",68,554,"&#x2798;"
6671,"&#x26a1;","Bladel",26,325,"&#x2798;"
3655,"&#x26a1;","Blaricum",22,134,"&#x2798;"
7568,"&#x26a1;","Bloemendaal",39,304,"&#x2798;"
12315,"&#x26a1;","Bodegraven-Reeuwijk",74,529,"&#x2798;"
3703,"&#x26a1;","Boekel",29,215,"&#x2798;"
5810,"&#x26a1;","Borger-Odoorn",48,357,"&#x2798;"
7861,"&#x26a1;","Borne",73,387,"&#x2798;"
7994,"&#x26a1;","Borsele",41,327,"&#x2798;"
10732,"&#x26a1;","Boxtel",46,434,"&#x2798;"
59088,"&#x26a1;","Breda",228,2238,"&#x2798;"
4952,"&#x26a1;","Brielle",29,211,"&#x2798;"
10048,"&#x26a1;","Bronckhorst",73,819,"&#x2798;"
5423,"&#x26a1;","Brummen",47,391,"&#x2798;"
8895,"&#x26a1;","Brunssum",25,354,"&#x2798;"
4517,"&#x26a1;","Bunnik",34,255,"&#x2798;"
8803,"&#x26a1;","Bunschoten",28,278,"&#x2798;"
7887,"&#x26a1;","Buren",54,398,"&#x2798;"
20464,"&#x26a1;","Capelle aan den IJssel",78,643,"&#x2798;"
11262,"&#x26a1;","Castricum",61,472,"&#x2798;"
9522,"&#x26a1;","Coevorden",74,587,"&#x2798;"
6394,"&#x26a1;","Cranendonck",27,260,"&#x2798;"
9015,"&#x26a1;","Culemborg",70,549,"&#x2798;"
9004,"&#x26a1;","Dalfsen",75,547,"&#x2798;"
6635,"&#x26a1;","Dantumadiel",42,380,"&#x2798;"
12881,"&#x26a1;","De Bilt",121,623,"&#x2798;"
16528,"&#x26a1;","De Fryske Marren",132,1130,"&#x2798;"
14182,"&#x26a1;","De Ronde Venen",63,569,"&#x2798;"
7026,"&#x26a1;","De Wolden",55,428,"&#x2798;"
31010,"&#x26a1;","Delft",204,1493,"&#x2798;"
18086,"&#x26a1;","Den Helder",101,875,"&#x2798;"
11039,"&#x26a1;","Deurne",46,507,"&#x2798;"
30387,"&#x26a1;","Deventer",299,1875,"&#x2798;"
9967,"&#x26a1;","Diemen",35,363,"&#x2798;"
28690,"&#x26a1;","Dijk en Waard",182,1353,"&#x2798;"
8649,"&#x26a1;","Dinkelland",44,387,"&#x2798;"
2757,"&#x26a1;","Doesburg",26,190,"&#x2798;"
17588,"&#x26a1;","Doetinchem",106,1177,"&#x2798;"
8041,"&#x26a1;","Dongen",24,271,"&#x2798;"
38792,"&#x26a1;","Dordrecht",229,1334,"&#x2798;"
6358,"&#x26a1;","Drechterland",32,299,"&#x2798;"
8088,"&#x26a1;","Drimmelen",22,269,"&#x2798;"
12439,"&#x26a1;","Dronten",94,758,"&#x2798;"
6092,"&#x26a1;","Druten",50,311,"&#x2798;"
7126,"&#x26a1;","Duiven",57,468,"&#x2798;"
9723,"&#x26a1;","Echt-Susteren",35,341,"&#x2798;"
14448,"&#x26a1;","Edam-Volendam",17,316,"&#x2798;"
38866,"&#x26a1;","Ede",198,1784,"&#x2798;"
3044,"&#x26a1;","Eemnes",21,139,"&#x2798;"
10254,"&#x26a1;","Eemsdelta",116,778,"&#x2798;"
6539,"&#x26a1;","Eersel",29,317,"&#x2798;"
7419,"&#x26a1;","Eijsden-Margraten",33,376,"&#x2798;"
71677,"&#x26a1;","Eindhoven",406,3470,"&#x2798;"
7947,"&#x26a1;","Elburg",52,391,"&#x2798;"
29010,"&#x26a1;","Emmen",237,1823,"&#x2798;"
5305,"&#x26a1;","Enkhuizen",23,291,"&#x2798;"
49750,"&#x26a1;","Enschede",340,2626,"&#x2798;"
9843,"&#x26a1;","Epe",73,607,"&#x2798;"
8660,"&#x26a1;","Ermelo",52,563,"&#x2798;"
12947,"&#x26a1;","Etten-Leur",45,379,"&#x2798;"
7056,"&#x26a1;","Geertruidenberg",23,247,"&#x2798;"
12234,"&#x26a1;","Geldrop-Mierlo",60,565,"&#x2798;"
9543,"&#x26a1;","Gemert-Bakel",50,470,"&#x2798;"
5650,"&#x26a1;","Gennep",27,346,"&#x2798;"
7929,"&#x26a1;","Gilze en Rijen",35,278,"&#x2798;"
15020,"&#x26a1;","Goeree-Overflakkee",99,759,"&#x2798;"
12566,"&#x26a1;","Goes",92,640,"&#x2798;"
8034,"&#x26a1;","Goirle",33,281,"&#x2798;"
19380,"&#x26a1;","Gooise Meren",99,666,"&#x2798;"
12526,"&#x26a1;","Gorinchem",91,656,"&#x2798;"
23606,"&#x26a1;","Gouda",111,944,"&#x2798;"
67430,"&#x26a1;","Groningen",863,5445,"&#x2798;"
3731,"&#x26a1;","Gulpen-Wittem",16,144,"&#x2798;"
7322,"&#x26a1;","Haaksbergen",50,412,"&#x2798;"
52340,"&#x26a1;","Haarlem",291,2236,"&#x2798;"
49430,"&#x26a1;","Haarlemmermeer",256,2063,"&#x2798;"
8996,"&#x26a1;","Halderberge",28,255,"&#x2798;"
19707,"&#x26a1;","Hardenberg",191,1289,"&#x2798;"
16450,"&#x26a1;","Harderwijk",87,975,"&#x2798;"
7230,"&#x26a1;","Hardinxveld-Giessendam",23,259,"&#x2798;"
3990,"&#x26a1;","Harlingen",45,287,"&#x2798;"
3867,"&#x26a1;","Hattem",16,196,"&#x2798;"
12654,"&#x26a1;","Heemskerk",77,582,"&#x2798;"
8758,"&#x26a1;","Heemstede",49,422,"&#x2798;"
5400,"&#x26a1;","Heerde",38,400,"&#x2798;"
14855,"&#x26a1;","Heerenveen",150,1110,"&#x2798;"
26289,"&#x26a1;","Heerlen",114,985,"&#x2798;"
4276,"&#x26a1;","Heeze-Leende",21,236,"&#x2798;"
