Region_name,Region_code,Populatie_merged,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,NA
Wijk 02 Almere Stad,WK003402,23407,5,5,5,5,5,5,5,6,8,9,10,11,18,22,30,41,52,62,75,78,79,79,80,81,82,83,83,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,0
Wijk 02 Almere Stad,WK003402,95733,5,5,5,5,5,5,5,5,5,5,5,5,7,8,10,13,16,19,23,26,29,32,38,41,46,52,56,58,59,60,61,61,62,62,63,63,64,64,64,65,65,65,65,66,66,66,67,67,67,67,67,67,67,67,67,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,0
Wijk 06 Almere Pampus,WK003406,23407,5,5,5,5,5,5,5,6,8,9,10,11,18,22,30,41,52,62,75,78,79,79,80,81,82,83,83,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,0
Wijk 06 Almere Pampus,WK003406,95733,5,5,5,5,5,5,5,5,5,5,5,5,7,8,10,13,16,19,23,26,29,32,38,41,46,52,56,58,59,60,61,61,62,62,63,63,64,64,64,65,65,65,65,66,66,66,67,67,67,67,67,67,67,67,67,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,0
Prins Alexander,WK059914,28448,5,5,5,5,5,6,7,9,12,14,16,19,24,35,43,50,59,67,73,79,80,81,82,83,84,84,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,0
Prins Alexander,WK059914,84544,5,5,5,5,5,5,5,5,5,6,7,8,10,14,17,20,23,26,29,33,36,39,46,51,55,59,63,64,65,66,66,66,67,67,67,68,68,68,69,69,69,69,69,70,70,70,70,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,72,72,72,72,72,72,72,72,72,0
Hoofddorp,WK039401,18795,5,5,5,5,5,5,6,8,10,11,13,14,17,21,34,53,66,72,79,82,83,84,84,85,86,86,87,87,87,87,87,87,87,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,0
Hoofddorp,WK039401,69239,5,5,5,5,5,5,5,5,5,5,6,6,7,8,12,18,21,23,27,30,34,37,43,48,53,59,65,66,67,68,69,69,70,70,70,71,71,72,72,72,72,73,73,73,73,74,74,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,0
Feijenoord,WK059910,14983,5,5,5,5,5,5,5,5,6,7,8,10,12,23,30,38,43,50,56,61,63,64,66,68,69,71,72,72,73,73,73,73,73,74,74,74,74,74,74,75,75,75,75,75,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,0
Feijenoord,WK059910,67711,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,10,12,13,16,19,21,24,28,32,35,40,44,45,46,46,47,47,48,48,49,49,50,50,51,51,51,51,52,52,53,53,53,53,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,0
Delfshaven,WK059903,12242,5,5,5,5,5,5,5,5,5,6,7,9,11,19,27,33,39,47,54,59,61,63,65,66,69,70,71,72,72,72,72,73,73,73,73,73,73,73,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,0
Delfshaven,WK059903,67555,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,10,12,14,17,19,22,27,30,36,43,47,49,50,50,51,51,51,52,52,53,53,54,54,54,55,55,55,55,56,56,56,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,0
Charlois,WK059915,11966,5,5,5,5,5,5,6,8,10,11,13,14,17,28,35,41,46,53,60,64,66,67,69,70,71,72,73,74,74,74,75,75,75,75,75,75,75,76,76,76,76,76,76,76,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,0
Charlois,WK059915,60624,5,5,5,5,5,5,5,5,5,5,5,5,5,7,9,10,12,13,15,18,20,22,26,29,33,37,42,43,44,44,45,45,46,46,46,47,47,48,48,48,49,49,49,50,50,51,51,51,51,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,0
IJsselmonde,WK059912,14732,5,5,5,5,5,6,8,10,12,14,16,18,21,30,40,48,54,61,68,73,74,75,76,78,79,79,80,81,81,81,81,81,81,81,82,82,82,82,82,82,82,82,82,82,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,0
IJsselmonde,WK059912,52672,5,5,5,5,5,5,5,5,5,6,6,7,8,10,13,16,18,20,23,27,29,32,36,39,43,46,50,51,52,52,53,53,54,54,54,55,55,56,56,56,57,57,57,58,58,59,59,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,0
Kralingen-Crooswijk,WK059908,10738,5,5,5,5,5,5,6,8,10,11,14,16,21,30,38,45,52,59,65,69,71,72,74,75,76,77,78,78,78,79,79,79,79,79,79,79,79,79,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,0
Kralingen-Crooswijk,WK059908,49675,5,5,5,5,5,5,5,5,5,5,5,5,6,9,10,12,14,16,18,21,23,26,31,35,40,47,53,54,55,56,56,56,57,57,58,58,59,59,59,60,60,60,60,61,61,61,61,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,0
Wijk 03 Almere Buiten,WK003403,10515,5,5,5,5,5,5,5,5,7,8,10,12,15,19,31,42,52,64,74,78,78,79,80,81,82,83,83,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,0
Wijk 03 Almere Buiten,WK003403,49555,5,5,5,5,5,5,5,5,5,5,5,5,6,7,9,12,15,18,21,26,28,31,37,40,45,50,55,57,59,60,60,61,61,62,62,62,63,63,64,64,64,65,65,65,66,66,66,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,0
Noord,WK059905,8321,5,5,5,5,5,5,5,5,7,8,10,12,17,24,32,39,45,53,60,64,66,68,70,71,73,74,75,75,75,76,76,76,76,76,76,76,77,77,77,77,77,77,77,77,77,77,77,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,0
Noord,WK059905,47512,5,5,5,5,5,5,5,5,5,5,5,5,5,7,9,10,12,13,16,19,21,24,30,35,42,52,57,59,59,60,60,61,61,62,62,62,63,63,63,63,64,64,64,64,65,65,65,65,65,65,65,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,0
Wijk 10 Vleuten-De Meern,WK034410,8654,5,5,5,5,5,9,11,13,14,15,15,18,30,36,47,62,74,79,85,86,87,87,87,88,88,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0
Wijk 10 Vleuten-De Meern,WK034410,42344,5,5,5,5,5,5,5,5,5,5,5,6,9,10,13,16,19,21,26,29,33,39,49,53,60,65,71,72,74,75,76,76,76,77,77,78,78,78,78,79,79,79,79,79,80,80,80,80,80,80,80,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,0
Wijk 00 Drachten,WK009000,13194,5,5,5,5,5,7,9,10,13,14,17,21,26,28,48,61,67,76,81,82,83,83,84,84,84,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,0
