"statnaam","population","ggd_code","ID"
"Dienst Gezondheid & Jeugd ZHZ",462027,"GG4816",1
"GGD Amsterdam",1071075,"GG3406",2
"GGD Brabant-Zuidoost",786172,"GG5608",3
"GGD Drenthe",496373,"GG0706",4
"GGD Flevoland",431488,"GG2209",5
"GGD Fryslân",652506,"GG7206",6
"GGD Gelderland-Zuid",565504,"GG2014",7
"GGD Gooi en Vechtstreek",259762,"GG3606",8
"GGD Groningen",586375,"GG0111",9
"GGD Haaglanden",1124808,"GG7014",10
"GGD Hart voor Brabant",1082349,"GG5406",11
"GGD Hollands-Midden",817152,"GG4506",12
"GGD Hollands-Noorden",668223,"GG2707",13
"GGD IJsselland",536285,"GG1009",14
"GGD Kennemerland",552106,"GG3109",15
"GGD Limburg-Noord",522941,"GG6011",16
"GGD Noord- en Oost-Gelderland",833390,"GG1413",17
"GGD Regio Twente",631719,"GG1106",18
"GGD Regio Utrecht",1363283,"GG2514",19
"GGD Rotterdam-Rijnmond",1329774,"GG4607",20
"GGD West-Brabant",712391,"GG5206",21
"GGD Zaanstreek/Waterland",339712,"GG7306",22
"GGD Zeeland",385879,"GG5006",23
"GGD Zuid-Limburg",592758,"GG6106",24
"Veiligheids- en Gezondheidsregio Gelderland-Midden",703074,"GG1911",25
