"Municipality_code","Agegroup","GGD_name","Population_2021","Municipality_name","Province","Security_region_code","Security_region_name","ROAZ_region","GGD_code","SchoolRegion","Population_2020"
"GM0014","0-9","GGD Groningen",18924,"Groningen","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",19165
"GM0014","10-19","GGD Groningen",23694,"Groningen","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",23870
"GM0014","20-29","GGD Groningen",61160,"Groningen","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",61686
"GM0014","30-39","GGD Groningen",31667,"Groningen","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",31180
"GM0014","40-49","GGD Groningen",24754,"Groningen","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",24993
"GM0014","50-59","GGD Groningen",26042,"Groningen","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",25833
"GM0014","60-69","GGD Groningen",22860,"Groningen","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",22678
"GM0014","70-79","GGD Groningen",15773,"Groningen","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",15149
"GM0014","80-89","GGD Groningen",6912,"Groningen","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",6848
"GM0014","90+","GGD Groningen",1487,"Groningen","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",1472
"GM0034","0-9","GGD Flevoland",26111,"Almere","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","noord",25944
"GM0034","10-19","GGD Flevoland",27509,"Almere","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","noord",27644
"GM0034","20-29","GGD Flevoland",27502,"Almere","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","noord",27607
"GM0034","30-39","GGD Flevoland",32042,"Almere","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","noord",30952
"GM0034","40-49","GGD Flevoland",29092,"Almere","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","noord",29266
"GM0034","50-59","GGD Flevoland",32233,"Almere","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","noord",32045
"GM0034","60-69","GGD Flevoland",24217,"Almere","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","noord",23266
"GM0034","70-79","GGD Flevoland",11540,"Almere","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","noord",10809
"GM0034","80-89","GGD Flevoland",3772,"Almere","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","noord",3690
"GM0034","90+","GGD Flevoland",697,"Almere","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","noord",670
"GM0037","0-9","GGD Groningen",2806,"Stadskanaal","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",2785
"GM0037","10-19","GGD Groningen",3522,"Stadskanaal","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",3532
"GM0037","20-29","GGD Groningen",3112,"Stadskanaal","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",3087
"GM0037","30-39","GGD Groningen",3222,"Stadskanaal","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",3162
"GM0037","40-49","GGD Groningen",3700,"Stadskanaal","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",3831
"GM0037","50-59","GGD Groningen",4935,"Stadskanaal","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",4915
"GM0037","60-69","GGD Groningen",4393,"Stadskanaal","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",4384
"GM0037","70-79","GGD Groningen",3837,"Stadskanaal","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",3811
"GM0037","80-89","GGD Groningen",1896,"Stadskanaal","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",1866
"GM0037","90+","GGD Groningen",331,"Stadskanaal","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",313
