"","Security_region_code","Security_region_name","population"
"1","VR13","Amsterdam-Amstelland",1071823
"2","VR21","Brabant-Noord",659524
"3","VR22","Brabant-Zuidoost",784390
"4","VR03","Drenthe",494771
"5","VR25","Flevoland",428226
"6","VR02","Fryslân",651435
"7","VR07","Gelderland-Midden",701253
"8","VR08","Gelderland-Zuid",564021
"9","VR14","Gooi en Vechtstreek",259109
"10","VR01","Groningen",586937
"11","VR15","Haaglanden",1122240
"12","VR16","Hollands-Midden",814457
"13","VR04","IJsselland",534800
"14","VR12","Kennemerland",551826
"15","VR23","Limburg-Noord",521618
"16","VR24","Limburg-Zuid",594254
"17","VR20","Midden- en West-Brabant",1130035
"18","VR06","Noord- en Oost-Gelderland",831329
"19","VR10","Noord-Holland-Noord",665867
"20","VR17","Rotterdam-Rijnmond",1328301
"21","VR05","Twente",631733
"22","VR09","Utrecht",1361153
"23","VR11","Zaanstreek-Waterland",339861
"24","VR19","Zeeland",385400
"25","VR18","Zuid-Holland-Zuid",461052
