"","year","week","smooth","covid_sterfte","cbs_deaths","lwr","upr","weekyear"
"1",2020,1,3164.83855858941,642,4145,2899.17857378704,3423.5144141378,"2020-01"
"2",2020,2,3101.91492281504,550,3850,2867.41092221633,3335.62048926491,"2020-02"
"3",2020,3,3169.63287517243,531,3863,2893.8958435461,3432.0211402939,"2020-03"
"4",2020,4,3177.27618107239,420,3714,2970.41636922856,3390.74723815281,"2020-04"
"5",2020,5,3163.88311916186,406,3655,2944.06620087467,3376.39374127833,"2020-05"
"6",2020,6,3105.78211492661,398,3551,2888.51080483448,3328.99902177754,"2020-06"
"7",2020,7,3094.7116988164,404,3531,2853.40391122201,3330.00526340879,"2020-07"
"8",2020,8,2937.32061536012,277,3205,2751.72735696257,3119.47974061549,"2020-08"
"9",2020,9,2879.31962757218,240,3105,2710.55929499819,3031.51932951229,"2020-09"
"10",2020,10,3051.30491771637,186,3244,2909.12270478531,3183.71033666964,"2020-10"
"11",2020,11,2866.44007842364,176,3044,2723.38005455004,2996.20379848289,"2020-11"
"12",2020,12,2886.60444061617,151,3046,2767.45448785943,3003.01716545272,"2020-12"
"13",2020,13,3005.37264854168,150,3176,2880.07484477522,3128.54085741183,"2020-13"
"14",2020,14,2999.4209691851,140,3165,2874.75045529449,3128.9064007783,"2020-14"
"15",2020,15,2960.15504344014,147,3140,2828.80309475967,3105.18612434791,"2020-15"
"16",2020,16,2962.71777929861,139,3144,2838.87057981245,3093.88013536532,"2020-16"
"17",2020,17,2932.36481093965,140,3121,2811.47295123588,3063.24994215114,"2020-17"
"18",2020,18,2821.23431970704,136,3008,2692.85294458067,2948.88547491779,"2020-18"
"19",2020,19,2884.34677657065,92,3017,2798.77932874321,2972.91637635555,"2020-19"
"20",2020,20,2864.69066787272,83,2990,2786.28961518548,2947.88223108164,"2020-20"
"21",2020,21,2726.36926888192,51,2805,2677.29600154416,2780.42650290233,"2020-21"
"22",2020,22,2919.26717907561,56,3010,2863.69573734915,2976.93922728715,"2020-22"
"23",2020,23,2844.03324958369,24,2884,2818.40644640521,2868.7486838465,"2020-23"
"24",2020,24,2847.74964088168,13,2870,2833.61978733756,2861.85396144094,"2020-24"
"25",2020,25,2658.98960299365,8,2673,2649.9189088619,2667.5425123176,"2020-25"
"26",2020,26,2777.61988243353,8,2792,2768.87565566996,2785.83598975284,"2020-26"
"27",2020,27,2814.94030509467,12,2837,2801.64200641646,2827.47537894566,"2020-27"
"28",2020,28,2850.46103141701,12,2873,2836.99848154937,2864.11727407561,"2020-28"
"29",2020,29,2724.08266064626,27,2776,2693.35275956388,2753.03193979858,"2020-29"
"30",2020,30,2844.77203465372,36,2916,2803.78844253378,2885.74034769777,"2020-30"
"31",2020,31,2856.35298711591,50,2958,2801.00719290966,2913.7244498007,"2020-31"
"32",2020,32,2749.55414797538,44,2841,2702.42008896951,2798.64339524654,"2020-32"
"33",2020,33,2825.00100828114,34,2898,2790.48898019506,2862.8868312595,"2020-33"
"34",2020,34,2817.66186965687,50,2927,2764.90409102551,2872.35305800355,"2020-34"
"35",2020,35,2766.62989365855,42,2860,2724.44955094194,2814.15071266578,"2020-35"
"36",2020,36,3008.32859048096,37,3093,2971.90486612937,3051.17647276985,"2020-36"
"37",2020,37,2819.29946944078,43,2919,2776.14502899823,2866.80323185224,"2020-37"
"38",2020,38,2833.3532157396,24,2890,2810.38790304104,2859.37230729946,"2020-38"
"39",2020,39,3007.0690139091,27,3072,2981.34855089263,3034.32586954329,"2020-39"
"40",2020,40,3015.7564472244,23,3072,2994.87667890027,3038.13777003229,"2020-40"
"41",2020,41,2942.32185900068,49,3064,2899.64078650218,2987.01511506915,"2020-41"
"42",2020,42,3066.91891960069,82,3275,3001.10701947061,3143.11087633882,"2020-42"
"43",2020,43,3023.36099740423,142,3388,2906.1515942812,3148.38769039279,"2020-43"
"44",2020,44,3063.8782984021,174,3518,2929.49817137103,3206.93620625213,"2020-44"
"45",2020,45,3242.38506496997,202,3788,3101.93473578511,3393.66525453717,"2020-45"
"46",2020,46,3096.35419008811,346,4005,2873.46515088159,3327.67646513146,"2020-46"
"47",2020,47,3081.32107777301,420,4192,2822.19044585313,3354.62640368077,"2020-47"
"48",2020,48,3193.12444223745,433,4395,2934.69574395741,3473.77977834865,"2020-48"
