"","week","model","mid","lwr","upr"
"1",1,"Dynamisch",959.500088732144,767.475924406721,1144.71210859242
"2",2,"Dynamisch",823.284011965747,658.52025869197,982.20255784833
"3",3,"Dynamisch",793.346408312239,634.573835943376,946.486045829049
"4",4,"Dynamisch",628.689612277588,502.869985943454,750.0458844165
"5",5,"Dynamisch",607.733294333297,486.107322503386,725.044361707629
"6",6,"Dynamisch",591.267620984379,472.937064594551,705.400463355155
"7",7,"Dynamisch",604.739542546137,483.712557799315,721.473221847403
"8",8,"Dynamisch",414.635778818947,331.654658727723,494.673456857034
"9",9,"Dynamisch",359.251214972644,287.354147838238,428.597952491492
"10",10,"Dynamisch",278.419686968554,222.699354799583,332.163309220372
"11",11,"Dynamisch",263.450889752467,210.726211090006,314.305083061333
"12",12,"Dynamisch",226.028892951231,180.793485108979,269.659372956246
"13",13,"Dynamisch",220.041370663182,176.004215904338,262.516072412669
"14",14,"Dynamisch",209.563210926072,167.622976475581,250.01533899945
"15",15,"Dynamisch",220.041373038536,176.0042188138,262.516006647944
"16",16,"Dynamisch",205.072568439525,164.031154604614,244.657792370121
"17",17,"Dynamisch",209.563205449077,167.623017337951,250.01526744473
"18",18,"Dynamisch",203.57568132223,162.833741664415,242.872044561634
"19",19,"Dynamisch",137.712959039045,110.152175552023,164.295866672541
"20",20,"Dynamisch",124.241040027997,99.37645735392,148.223485389152
"21",21,"Dynamisch",76.3408810759867,61.0626032191752,91.0770697877369
"22",22,"Dynamisch",83.8252815679525,67.0491197216293,100.006193003123
"23",23,"Dynamisch",34.4282400039441,27.5380524886235,41.0739595359784
"24",24,"Dynamisch",17.9625598363626,14.3676771108829,21.4298908175399
"25",25,"Dynamisch",11.9750401224712,9.57845931962488,14.2865893918245
"26",26,"Dynamisch",11.9750400576901,9.57845429371378,14.2865883852087
"27",27,"Dynamisch",17.9625601864786,14.3676694317375,21.4298886605536
"28",1,"Statisch",966.834010853915,773.115160390753,1168.40285875398
"29",2,"Statisch",829.57675574425,663.358713112291,1002.52975192792
"30",3,"Statisch",799.410322665928,639.237014257302,966.074103370125
"31",4,"Statisch",633.494966718746,506.565172892626,765.567973321328
"32",5,"Statisch",612.37846810254,489.67964099818,740.049288735432
"33",6,"Statisch",595.786926455022,476.412203872598,719.998997239021
"34",7,"Statisch",609.361820360367,487.26698590998,736.40401861623
"35",8,"Statisch",417.805008666582,334.091280843412,504.910485748643
"36",9,"Statisch",361.997118548615,289.465198999611,437.467519851817
"37",10,"Statisch",280.547769536828,224.335476396564,339.03741006171
"38",11,"Statisch",265.464558310988,212.274505926076,320.809689206693
"39",12,"Statisch",227.756522818344,182.121863731336,275.240087048868
"40",13,"Statisch",221.723236772932,177.297519510307,267.948896882678
"41",14,"Statisch",211.164988484101,168.854755718006,255.189386109888
"42",15,"Statisch",221.723243113158,177.297595629934,267.948912158541
"43",16,"Statisch",206.640029852751,165.236573330746,249.721092703949
"44",17,"Statisch",211.164995240183,168.85481580262,255.189296392235
"45",18,"Statisch",205.131708576217,164.030561935733,247.898257412728
"46",19,"Statisch",138.765565666058,110.961854694943,167.695942739126
"47",20,"Statisch",125.190673812341,100.106869136824,151.290887397127
"48",21,"Statisch",76.9243892586942,61.5114816872366,92.9618509128049
"49",22,"Statisch",84.465995379076,67.5419925088132,102.075751743666
"50",23,"Statisch",34.6913915881418,27.7404764530897,41.9239460090349
"51",24,"Statisch",18.0998562465479,14.47329691225,21.8733744148457
"52",25,"Statisch",12.0665705765204,9.64887107364168,14.582258651926
"53",26,"Statisch",12.0665706628669,9.64887151191047,14.5822634418024
"54",27,"Statisch",18.0998556918055,14.4733095814895,21.8734011682002
"55",1,"Interventie",934.171404666117,773.072201938265,1098.17526370982
"56",2,"Interventie",762.80992235275,597.014108994104,930.052356994735
"57",3,"Interventie",703.631947098788,552.135112447614,859.53700906597
"58",4,"Interventie",586.364252744572,431.441583212451,749.751500932983
"59",5,"Interventie",507.570408963516,345.959451868707,678.426253702704
"60",6,"Interventie",417.981019038425,264.812596417239,579.345631110942
"61",7,"Interventie",354.239625122373,185.906593689284,517.317527221884
"62",8,"Interventie",176.524147447121,6.59859691624653,339.202621232826
"63",9,"Interventie",101.753437225378,-73.5605971875959,267.331206980439
"64",10,"Interventie",141.955490637189,-54.6782482721441,323.616476679074
"65",11,"Interventie",59.6557566523972,-127.149297356361,243.037905710836
"66",12,"Interventie",75.0855631654043,-118.962046218674,270.225641450213
"67",13,"Interventie",148.858490833727,-43.9201045476637,343.857239010571
"68",14,"Interventie",162.26300294309,-15.3587256549182,340.275540610037
"69",15,"Interventie",173.539463599309,-23.6481477466124,368.688560870612
"70",16,"Interventie",189.014473820768,-17.3268462300337,400.262083525926
"71",17,"Interventie",190.283851954228,-19.6003285538557,387.569204802408
"72",18,"Interventie",133.510672989461,-72.2235440946969,331.006534584968
"73",19,"Interventie",139.736538925434,-57.5695245938494,320.932328443527
"74",20,"Interventie",122.298151915323,-79.7663459041023,305.027590692925
"75",21,"Interventie",54.993332137239,-149.859888510302,247.474547822758
"76",22,"Interventie",131.152535241526,-87.4671560981627,343.310333112557
"77",23,"Interventie",78.3993873310086,-119.742283808519,274.424328174879
"78",24,"Interventie",54.1711459955916,-150.336649484412,258.209369745908
"79",25,"Interventie",-39.0904934275187,-251.857108938545,160.649033816837
"80",26,"Interventie",11.3184426028272,-199.876066668048,220.345242300914
"81",27,"Interventie",62.9272532103094,-146.894226907382,260.256597999215
"82",44,"CBS/AMC",2862.16279069767,NA,NA
"83",45,"CBS/AMC",3363.25,NA,NA
